Date,'',PS4 player count,
2017-11-10,,0,
2017-11-11,,100,
2017-11-12,,200,
2017-11-13,,9400,
2017-11-14,,142500,
2017-11-15,,226100,
2017-11-16,,278300,
2017-11-17,,487600,
2017-11-18,,682600,
2017-11-19,,789900,
2017-11-20,,854200,
2017-11-21,,904500,
2017-11-22,,947300,
2017-11-23,,987900,
2017-11-24,,1034900,
2017-11-25,,1089000,
2017-11-26,,1132500,
2017-11-27,,1158600,
2017-11-28,,1181800,
2017-11-29,,1203400,
2017-11-30,,1223200,
2017-12-01,,1245200,
2017-12-02,,1276900,
2017-12-03,,1305300,
2017-12-04,,1324100,
2017-12-05,,1341400,
2017-12-06,,1358500,
2017-12-07,,1373700,
2017-12-08,,1393900,
2017-12-09,,1422400,
2017-12-10,,1448400,
2017-12-11,,1466100,
2017-12-12,,1481100,
2017-12-13,,1494100,
2017-12-14,,1509300,
2017-12-15,,1541500,
2017-12-16,,1593400,
2017-12-17,,1651400,
2017-12-18,,1693500,
2017-12-19,,1726300,
2017-12-20,,1754800,
2017-12-21,,1783900,
2017-12-22,,1816300,
2017-12-23,,1870200,
2017-12-24,,1953700,
2017-12-25,,2227800,
2017-12-26,,2500500,
2017-12-27,,2690300,
2017-12-28,,2829900,
2017-12-29,,2942800,
2017-12-30,,3042400,
2017-12-31,,3129900,
2018-01-01,,3205600,
2018-01-02,,3274600,
2018-01-03,,3332500,
2018-01-04,,3383500,
2018-01-05,,3432900,
2018-01-06,,3496000,
2018-01-07,,3554600,
2018-01-08,,3590300,
2018-01-09,,3617900,
2018-01-10,,3645600,
2018-01-11,,3669500,
2018-01-12,,3697500,
2018-01-13,,3735400,
2018-01-14,,3771100,
2018-01-15,,3795300,
2018-01-16,,3812600,
2018-01-17,,3829200,
2018-01-18,,3843500,
2018-01-19,,3860200,
2018-01-20,,3886400,
2018-01-21,,3910500,
2018-01-22,,3924800,
2018-01-23,,3938800,
2018-01-24,,3950800,
2018-01-25,,3965000,
2018-01-26,,3979500,
2018-01-27,,4002600,
2018-01-28,,4028500,
2018-01-29,,4041300,
2018-01-30,,4052000,
2018-01-31,,4062900,
2018-02-01,,4073100,
2018-02-02,,4087000,
2018-02-03,,4106500,
2018-02-04,,4124300,
2018-02-05,,4135100,
2018-02-06,,4144200,
2018-02-07,,4153300,
2018-02-08,,4164900,
2018-02-09,,4176900,
2018-02-10,,4194700,
2018-02-11,,4213300,
2018-02-12,,4225200,
2018-02-13,,4235600,
2018-02-14,,4247600,
2018-02-15,,4260900,
2018-02-16,,4275000,
2018-02-17,,4293100,
2018-02-18,,4311800,
2018-02-19,,4323000,
2018-02-20,,4332200,
2018-02-21,,4345700,
2018-02-22,,4358100,
2018-02-23,,4370600,
2018-02-24,,4389900,
2018-02-25,,4409700,
2018-02-26,,4423200,
2018-02-27,,4434000,
2018-02-28,,4443800,
2018-03-01,,4454300,
2018-03-02,,4464800,
2018-03-03,,4481400,
2018-03-04,,4500000,
2018-03-05,,4510900,
2018-03-06,,4520200,
2018-03-07,,4528300,
2018-03-08,,4535000,
2018-03-09,,4543200,
2018-03-10,,4557000,
2018-03-11,,4571100,
2018-03-12,,4578800,
2018-03-13,,4586300,
2018-03-14,,4593600,
2018-03-15,,4601000,
2018-03-16,,4612200,
2018-03-17,,4625300,
2018-03-18,,4640300,
2018-03-19,,4650700,
2018-03-20,,4657800,
2018-03-21,,4666100,
2018-03-22,,4673500,
2018-03-23,,4684200,
2018-03-24,,4700900,
2018-03-25,,4716000,
2018-03-26,,4727600,
2018-03-27,,4739100,
2018-03-28,,4749000,
2018-03-29,,4761700,
2018-03-30,,4776700,
2018-03-31,,4792600,
2018-04-01,,4810500,
2018-04-02,,4824500,
2018-04-03,,4836000,
2018-04-04,,4846500,
2018-04-05,,4855300,
2018-04-06,,4863400,
2018-04-07,,4875000,
2018-04-08,,4887600,
2018-04-09,,4894400,
2018-04-10,,4901900,
2018-04-11,,4910000,
2018-04-12,,4919400,
2018-04-13,,4927000,
2018-04-14,,4937000,
2018-04-15,,4948000,
2018-04-16,,4954800,
2018-04-17,,4960100,
2018-04-18,,4964100,
2018-04-19,,4969700,
2018-04-20,,4975400,
2018-04-21,,4986700,
2018-04-22,,4998000,
2018-04-23,,5003900,
2018-04-24,,5010400,
2018-04-25,,5016300,
2018-04-26,,5021300,
2018-04-27,,5027200,
2018-04-28,,5036900,
2018-04-29,,5046100,
2018-04-30,,5052500,
2018-05-01,,5059600,
2018-05-02,,5064100,
2018-05-03,,5068900,
2018-05-04,,5074700,
2018-05-05,,5084200,
2018-05-06,,5093200,
2018-05-07,,5099700,
2018-05-08,,5106000,
2018-05-09,,5111700,
2018-05-10,,5116600,
2018-05-11,,5122800,
2018-05-12,,5132900,
2018-05-13,,5143000,
2018-05-14,,5149700,
2018-05-15,,5155500,
2018-05-16,,5160700,
2018-05-17,,5165100,
2018-05-18,,5170300,
2018-05-19,,5178400,
2018-05-20,,5187000,
2018-05-21,,5193300,
2018-05-22,,5198100,
2018-05-23,,5203500,
2018-05-24,,5208100,
2018-05-25,,5214900,
2018-05-26,,5224500,
2018-05-27,,5235100,
2018-05-28,,5243800,
2018-05-29,,5250100,
2018-05-30,,5256700,
2018-05-31,,5262400,
2018-06-01,,5269700,
2018-06-02,,5279300,
2018-06-03,,5287900,
2018-06-04,,5293800,
2018-06-05,,5301100,
2018-06-06,,5307200,
2018-06-07,,5313000,
2018-06-08,,5318800,
2018-06-09,,5331200,
2018-06-10,,5345100,
2018-06-11,,5356100,
2018-06-12,,5365600,
2018-06-13,,5375500,
2018-06-14,,5384900,
2018-06-15,,5393800,
2018-06-16,,5405400,
2018-06-17,,5416100,
2018-06-18,,5424200,
2018-06-19,,5432000,
2018-06-20,,5439500,
2018-06-21,,5445700,
2018-06-22,,5451800,
2018-06-23,,5459500,
2018-06-24,,5469100,
2018-06-25,,5475000,
2018-06-26,,5481400,
2018-06-27,,5488700,
2018-06-28,,5495000,
2018-06-29,,5500300,
2018-06-30,,5507400,
2018-07-01,,5514900,
2018-07-02,,5520500,
2018-07-03,,5526400,
2018-07-04,,5533300,
2018-07-05,,5539800,
2018-07-06,,5546400,
2018-07-07,,5557200,
2018-07-08,,5569600,
2018-07-09,,5579500,
2018-07-10,,5588600,
2018-07-11,,5595400,
2018-07-12,,5603000,
2018-07-13,,5610000,
2018-07-14,,5618400,
2018-07-15,,5627600,
2018-07-16,,5634200,
2018-07-17,,5641500,
2018-07-18,,5648900,
2018-07-19,,5654800,
2018-07-20,,5660400,
2018-07-21,,5668200,
2018-07-22,,5675500,
2018-07-23,,5681800,
2018-07-24,,5688100,
2018-07-25,,5693700,
2018-07-26,,5699000,
2018-07-27,,5705400,
2018-07-28,,5713800,
2018-07-29,,5723700,
2018-07-30,,5731700,
2018-07-31,,5738500,
2018-08-01,,5745800,
2018-08-02,,5753000,
2018-08-03,,5761900,
2018-08-04,,5772200,
2018-08-05,,5781100,
2018-08-06,,5788000,
2018-08-07,,5795700,
2018-08-08,,5801700,
2018-08-09,,5808200,
2018-08-10,,5814200,
2018-08-11,,5820900,
2018-08-12,,5827900,
2018-08-13,,5834200,
2018-08-14,,5840400,
2018-08-15,,5846700,
2018-08-16,,5852300,
2018-08-17,,5857600,
2018-08-18,,5866200,
2018-08-19,,5874100,
2018-08-20,,5881200,
2018-08-21,,5887100,
2018-08-22,,5893800,
2018-08-23,,5900600,
2018-08-24,,5908000,
2018-08-25,,5914600,
2018-08-26,,5922900,
2018-08-27,,5930400,
2018-08-28,,5935600,
2018-08-29,,5940200,
2018-08-30,,5944700,
2018-08-31,,5949300,
2018-09-01,,5955900,
2018-09-02,,5962600,
2018-09-03,,5968300,
2018-09-04,,5972200,
2018-09-05,,5975900,
2018-09-06,,5980800,
2018-09-07,,5985800,
2018-09-08,,5993600,
2018-09-09,,6001000,
2018-09-10,,6004700,
2018-09-11,,6008400,
2018-09-12,,6012400,
2018-09-13,,6015200,
2018-09-14,,6018800,
2018-09-15,,6025500,
2018-09-16,,6030900,
2018-09-17,,6035200,
2018-09-18,,6037800,
2018-09-19,,6041400,
2018-09-20,,6043600,
2018-09-21,,6047500,
2018-09-22,,6056400,
2018-09-23,,6067900,
2018-09-24,,6076400,
2018-09-25,,6083200,
2018-09-26,,6089300,
2018-09-27,,6094400,
2018-09-28,,6099300,
2018-09-29,,6106100,
2018-09-30,,6112400,
2018-10-01,,6116700,
2018-10-02,,6120700,
2018-10-03,,6125900,
2018-10-04,,6130800,
2018-10-05,,6137700,
2018-10-06,,6147100,
2018-10-07,,6156700,
2018-10-08,,6164100,
2018-10-09,,6170300,
2018-10-10,,6177800,
2018-10-11,,6183900,
2018-10-12,,6190400,
2018-10-13,,6198200,
2018-10-14,,6208000,
2018-10-15,,6214200,
2018-10-16,,6220200,
2018-10-17,,6225200,
2018-10-18,,6230400,
2018-10-19,,6234500,
2018-10-20,,6240800,
2018-10-21,,6247000,
2018-10-22,,6250500,
2018-10-23,,6253400,
2018-10-24,,6257300,
2018-10-25,,6260900,
2018-10-26,,6265100,
2018-10-27,,6271100,
2018-10-28,,6276000,
2018-10-29,,6279700,
2018-10-30,,6282300,
2018-10-31,,6285500,
2018-11-01,,6289700,
2018-11-02,,6294400,
2018-11-03,,6300700,
2018-11-04,,6307100,
2018-11-05,,6310700,
2018-11-06,,6313900,
2018-11-07,,6316900,
2018-11-08,,6319600,
2018-11-09,,6322900,
2018-11-10,,6328200,
2018-11-11,,6334100,
2018-11-12,,6337700,
2018-11-13,,6341600,
2018-11-14,,6345000,
2018-11-15,,6347300,
2018-11-16,,6351200,
2018-11-17,,6359800,
2018-11-18,,6368500,
2018-11-19,,6373800,
2018-11-20,,6379800,
2018-11-21,,6384900,
2018-11-22,,6391200,
2018-11-23,,6402000,
2018-11-24,,6417000,
2018-11-25,,6431900,
