Date,'',PS4 player count,PS Vita player count
2014-03-19,,200,0
2014-03-20,,600,200
2014-03-21,,1000,600
2014-03-22,,2100,900
2014-03-23,,2700,1300
2014-03-24,,2900,1700
2014-03-25,,3300,2100
2014-03-26,,3800,2500
2014-03-27,,4400,2800
2014-03-28,,5000,3000
2014-03-29,,5900,3300
2014-03-30,,6400,3500
2014-03-31,,6900,3600
2014-04-01,,7500,3800
2014-04-02,,7900,4100
2014-04-03,,8200,4300
2014-04-04,,8500,4500
2014-04-05,,9000,4600
2014-04-06,,9400,4700
2014-04-07,,9600,5000
2014-04-08,,9800,5200
2014-04-09,,10100,5400
2014-04-10,,10300,5600
2014-04-11,,10500,5800
2014-04-12,,11100,6000
2014-04-13,,11400,6200
2014-04-14,,11500,6400
2014-04-15,,12000,6600
2014-04-16,,12100,6900
2014-04-17,,12300,7000
2014-04-18,,12500,7000
2014-04-19,,12800,7300
2014-04-20,,13000,7400
2014-04-21,,13300,7500
2014-04-22,,13700,7500
2014-04-23,,13800,7600
2014-04-24,,14000,7600
2014-04-25,,14100,7800
2014-04-26,,14300,7800
2014-04-27,,14300,7800
2014-04-28,,14400,7900
2014-04-29,,14500,7900
2014-04-30,,14600,7900
2014-05-01,,14600,8000
2014-05-02,,14900,8000
2014-05-03,,15000,8100
2014-05-04,,15200,8100
2014-05-05,,15200,8200
2014-05-06,,15400,8300
2014-05-07,,15700,8400
2014-05-08,,16300,8400
2014-05-09,,16400,8500
2014-05-10,,16800,8800
2014-05-11,,17300,8900
2014-05-12,,17600,9000
2014-05-13,,17800,9100
2014-05-14,,18000,9300
2014-05-15,,18200,9500
2014-05-16,,18300,9700
2014-05-17,,18500,9800
2014-05-18,,18500,9800
2014-05-19,,18500,10000
2014-05-20,,18600,10000
2014-05-21,,18700,10100
2014-05-22,,18800,10100
2014-05-23,,18900,10200
2014-05-24,,19000,10300
2014-05-25,,19200,10400
2014-05-26,,19300,10400
2014-05-27,,19400,10400
2014-05-28,,19500,10600
2014-05-29,,19700,10600
2014-05-30,,19700,10700
2014-05-31,,19800,10800
2014-06-01,,20000,10800
2014-06-02,,20000,10800
2014-06-03,,20000,10900
2014-06-04,,20100,10900
2014-06-05,,20300,10900
2014-06-06,,20300,10900
2014-06-07,,20400,10900
2014-06-08,,20400,10900
2014-06-09,,20500,10900
2014-06-10,,20600,10900
2014-06-11,,20600,10900
2014-06-12,,20600,11000
2014-06-13,,20600,11000
2014-06-14,,20800,11100
2014-06-15,,20800,11100
2014-06-16,,20800,11300
2014-06-17,,20800,11300
2014-06-18,,20800,11300
2014-06-19,,20900,11400
2014-06-20,,20900,11500
2014-06-21,,21100,11500
2014-06-22,,21100,11500
2014-06-23,,21200,11600
2014-06-24,,21300,11600
2014-06-25,,21400,11600
2014-06-26,,21400,11600
2014-06-27,,21500,11700
2014-06-28,,21600,11700
2014-06-29,,21800,11700
2014-06-30,,21800,11800
2014-07-01,,21800,11900
2014-07-02,,21900,12000
2014-07-03,,22200,12000
2014-07-04,,22200,12000
