Date,'',PS4 player count,
2016-12-01,,100,
2016-12-02,,9400,
2016-12-03,,16400,
2016-12-04,,21900,
2016-12-05,,27400,
2016-12-06,,32100,
2016-12-07,,36400,
2016-12-08,,40100,
2016-12-09,,44900,
2016-12-10,,50100,
2016-12-11,,56000,
2016-12-12,,58800,
2016-12-13,,62500,
2016-12-14,,65700,
2016-12-15,,69200,
2016-12-16,,72900,
2016-12-17,,77900,
2016-12-18,,82300,
2016-12-19,,85900,
2016-12-20,,89400,
2016-12-21,,93000,
2016-12-22,,97100,
2016-12-23,,103300,
2016-12-24,,112700,
2016-12-25,,134300,
2016-12-26,,153000,
2016-12-27,,167600,
2016-12-28,,179600,
2016-12-29,,189900,
2016-12-30,,200600,
2016-12-31,,209500,
2017-01-01,,216600,
2017-01-02,,224600,
2017-01-03,,232200,
2017-01-04,,239100,
2017-01-05,,244100,
2017-01-06,,249700,
2017-01-07,,257200,
2017-01-08,,263500,
2017-01-09,,267900,
2017-01-10,,272100,
2017-01-11,,276900,
2017-01-12,,280000,
2017-01-13,,284500,
2017-01-14,,292100,
2017-01-15,,298000,
2017-01-16,,303000,
2017-01-17,,306600,
2017-01-18,,309600,
2017-01-19,,312900,
2017-01-20,,316900,
2017-01-21,,321600,
2017-01-22,,327000,
2017-01-23,,329900,
2017-01-24,,332000,
2017-01-25,,334900,
2017-01-26,,338300,
2017-01-27,,342400,
2017-01-28,,347700,
2017-01-29,,351500,
2017-01-30,,354700,
2017-01-31,,357700,
2017-02-01,,361100,
2017-02-02,,364500,
2017-02-03,,368300,
2017-02-04,,374100,
2017-02-05,,379500,
2017-02-06,,383500,
2017-02-07,,386300,
2017-02-08,,389400,
2017-02-09,,393200,
2017-02-10,,396500,
2017-02-11,,401100,
2017-02-12,,405700,
2017-02-13,,409600,
2017-02-14,,412600,
2017-02-15,,415700,
2017-02-16,,419000,
2017-02-17,,421900,
2017-02-18,,426100,
2017-02-19,,429600,
2017-02-20,,432500,
2017-02-21,,434500,
2017-02-22,,437200,
2017-02-23,,439400,
2017-02-24,,441800,
2017-02-25,,445800,
2017-02-26,,447900,
2017-02-27,,450700,
2017-02-28,,453200,
2017-03-01,,455800,
2017-03-02,,458000,
2017-03-03,,460000,
2017-03-04,,463600,
2017-03-05,,467000,
2017-03-06,,469400,
2017-03-07,,470800,
2017-03-08,,473100,
2017-03-09,,476300,
2017-03-10,,479400,
2017-03-11,,484000,
2017-03-12,,488200,
2017-03-13,,491400,
2017-03-14,,495000,
2017-03-15,,497500,
2017-03-16,,500700,
2017-03-17,,503400,
2017-03-18,,508600,
2017-03-19,,512900,
2017-03-20,,514700,
2017-03-21,,517200,
2017-03-22,,519800,
2017-03-23,,522700,
2017-03-24,,524900,
2017-03-25,,528000,
2017-03-26,,531100,
2017-03-27,,533100,
2017-03-28,,534600,
2017-03-29,,536600,
2017-03-30,,538800,
2017-03-31,,541300,
2017-04-01,,544400,
2017-04-02,,547400,
2017-04-03,,549300,
2017-04-04,,551300,
2017-04-05,,553400,
2017-04-06,,555200,
2017-04-07,,556500,
2017-04-08,,559400,
2017-04-09,,562400,
2017-04-10,,564900,
2017-04-11,,567000,
