Date,'',PS4 player count,
2016-02-04,,100,
2016-02-05,,100,
2016-02-06,,100,
2016-02-07,,100,
2016-02-08,,100,
2016-02-09,,200,
2016-02-10,,500,
2016-02-11,,1400,
2016-02-12,,3800,
2016-02-13,,10400,
2016-02-14,,13100,
2016-02-15,,20700,
2016-02-16,,143200,
2016-02-17,,228000,
2016-02-18,,291000,
2016-02-19,,337300,
2016-02-20,,387000,
2016-02-21,,422800,
2016-02-22,,445200,
2016-02-23,,464700,
2016-02-24,,481800,
2016-02-25,,498100,
2016-02-26,,515500,
2016-02-27,,540100,
2016-02-28,,560100,
2016-02-29,,573800,
2016-03-01,,584400,
2016-03-02,,595300,
2016-03-03,,605500,
2016-03-04,,617900,
2016-03-05,,634400,
2016-03-06,,650000,
2016-03-07,,659300,
2016-03-08,,665900,
2016-03-09,,674200,
2016-03-10,,681900,
2016-03-11,,690800,
2016-03-12,,704200,
2016-03-13,,715500,
2016-03-14,,721500,
2016-03-15,,728300,
2016-03-16,,734900,
2016-03-17,,741800,
2016-03-18,,749100,
2016-03-19,,759600,
2016-03-20,,770000,
2016-03-21,,777200,
2016-03-22,,782500,
2016-03-23,,787100,
2016-03-24,,792500,
2016-03-25,,799700,
2016-03-26,,807000,
2016-03-27,,816700,
2016-03-28,,822100,
2016-03-29,,826700,
2016-03-30,,831000,
2016-03-31,,835400,
2016-04-01,,841100,
2016-04-02,,849100,
2016-04-03,,856100,
2016-04-04,,860400,
2016-04-05,,865200,
2016-04-06,,870000,
2016-04-07,,874200,
2016-04-08,,879800,
2016-04-09,,886900,
2016-04-10,,892700,
2016-04-11,,896800,
2016-04-12,,899800,
2016-04-13,,902300,
2016-04-14,,905200,
2016-04-15,,909700,
2016-04-16,,915700,
2016-04-17,,920800,
2016-04-18,,923800,
2016-04-19,,927600,
2016-04-20,,931000,
2016-04-21,,934400,
2016-04-22,,938700,
2016-04-23,,944300,
2016-04-24,,949300,
2016-04-25,,953000,
2016-04-26,,955900,
2016-04-27,,958500,
2016-04-28,,961300,
2016-04-29,,965700,
2016-04-30,,971700,
2016-05-01,,977500,
2016-05-02,,980700,
2016-05-03,,984900,
2016-05-04,,987500,
