Date,PS3 player count,PS4 player count,
2014-02-18,0,100,
2014-02-19,400,1300,
2014-02-20,800,2300,
2014-02-21,1300,3800,
2014-02-22,2000,4900,
2014-02-23,2900,5800,
2014-02-24,3400,6900,
2014-02-25,3800,7900,
2014-02-26,4200,9000,
2014-02-27,4500,9500,
2014-02-28,5000,10200,
2014-03-01,5600,11300,
2014-03-02,6100,12400,
2014-03-03,6500,13300,
2014-03-04,6700,14400,
2014-03-05,6900,14900,
2014-03-06,7000,16000,
2014-03-07,7500,16500,
2014-03-08,7800,17100,
2014-03-09,8000,18100,
2014-03-10,8300,18300,
2014-03-11,8400,18600,
2014-03-12,8800,18900,
2014-03-13,8800,19500,
2014-03-14,8900,20000,
2014-03-15,9300,20500,
2014-03-16,9600,21000,
2014-03-17,9800,21500,
2014-03-18,9900,22500,
2014-03-19,10200,23200,
2014-03-20,10600,23800,
2014-03-21,10700,24700,
2014-03-22,10900,25200,
2014-03-23,11000,25600,
2014-03-24,11000,25900,
2014-03-25,11300,26400,
2014-03-26,11400,26500,
2014-03-27,11700,26900,
2014-03-28,11900,27100,
2014-03-29,12100,27700,
2014-03-30,12200,28200,
2014-03-31,12500,28400,
2014-04-01,12600,28500,
2014-04-02,12700,28700,
2014-04-03,12700,29100,
2014-04-04,12700,29300,
2014-04-05,13100,29600,
2014-04-06,13200,30100,
2014-04-07,13200,30500,
2014-04-08,13300,30700,
2014-04-09,13600,30900,
2014-04-10,13600,31000,
2014-04-11,13700,31100,
2014-04-12,13800,31400,
2014-04-13,13900,31500,
2014-04-14,13900,31700,
2014-04-15,14000,31800,
2014-04-16,14100,32200,
2014-04-17,14200,32500,
2014-04-18,14300,32700,
2014-04-19,14400,32800,
2014-04-20,14500,33100,
2014-04-21,14500,33300,
2014-04-22,14600,33400,
2014-04-23,14700,33700,
2014-04-24,14800,33800,
2014-04-25,14900,33900,
2014-04-26,14900,34200,
2014-04-27,14900,34400,
2014-04-28,15000,34700,
2014-04-29,15100,34900,
2014-04-30,15100,35300,
2014-05-01,15300,35600,
2014-05-02,15400,35800,
2014-05-03,15500,35900,
2014-05-04,15600,36100,
2014-05-05,15600,36300,
2014-05-06,15700,36500,
2014-05-07,15800,36700,
2014-05-08,15900,36800,
2014-05-09,16000,36800,
2014-05-10,16000,36900,
2014-05-11,16100,37000,
2014-05-12,16100,37100,
2014-05-13,16200,37200,
2014-05-14,16300,37400,
2014-05-15,16500,37700,
2014-05-16,16500,37800,
2014-05-17,16700,37900,
2014-05-18,16900,38100,
2014-05-19,16900,38100,
2014-05-20,17000,38400,
2014-05-21,17100,38500,
2014-05-22,17100,38800,
2014-05-23,17200,39100,
2014-05-24,17300,39200,
2014-05-25,17400,39400,
2014-05-26,17600,39600,
2014-05-27,17600,39700,
2014-05-28,17700,39900,
2014-05-29,17800,40200,
2014-05-30,17800,40600,
2014-05-31,18000,40700,
2014-06-01,18100,40900,
2014-06-02,18200,41100,
2014-06-03,18200,41300,
2014-06-04,18200,41400,
2014-06-05,18300,41600,
2014-06-06,18400,41600,
2014-06-07,18500,42000,
2014-06-08,18500,42300,
2014-06-09,18500,42300,
2014-06-10,18500,42300,
2014-06-11,18600,42600,
2014-06-12,18600,42700,
2014-06-13,18700,42800,
2014-06-14,18800,42900,
2014-06-15,18800,43100,
2014-06-16,18800,43200,
2014-06-17,18900,43300,
2014-06-18,19000,43400,
2014-06-19,19100,43600,
2014-06-20,19100,43700,
2014-06-21,19100,43900,
