Date,'',PS4 player count,
2014-10-08,,100,
2014-10-09,,200,
2014-10-10,,300,
2014-10-11,,400,
2014-10-12,,600,
2014-10-13,,700,
2014-10-14,,900,
2014-10-15,,1100,
2014-10-16,,1100,
2014-10-17,,1400,
2014-10-18,,1600,
2014-10-19,,1700,
2014-10-20,,1800,
2014-10-21,,1800,
2014-10-22,,1900,
2014-10-23,,2100,
2014-10-24,,2200,
2014-10-25,,2200,
2014-10-26,,2200,
2014-10-27,,2200,
2014-10-28,,2600,
2014-10-29,,2700,
2014-10-30,,2900,
2014-10-31,,2900,
2014-11-01,,3000,
2014-11-02,,3200,
2014-11-03,,3400,
2014-11-04,,3600,
2014-11-05,,3700,
2014-11-06,,3900,
2014-11-07,,3900,
2014-11-08,,4000,
2014-11-09,,4100,
2014-11-10,,4100,
2014-11-11,,4200,
2014-11-12,,4300,
2014-11-13,,4500,
2014-11-14,,4600,
2014-11-15,,4700,
2014-11-16,,4800,
2014-11-17,,4900,
2014-11-18,,4900,
2014-11-19,,5000,
2014-11-20,,5000,
2014-11-21,,5100,
2014-11-22,,5300,
2014-11-23,,5300,
2014-11-24,,5400,
2014-11-25,,5400,
2014-11-26,,5400,
2014-11-27,,5500,
2014-11-28,,5700,
2014-11-29,,5800,
2014-11-30,,6000,
2014-12-01,,6100,
2014-12-02,,6200,
2014-12-03,,6300,
2014-12-04,,6300,
2014-12-05,,6400,
2014-12-06,,6400,
2014-12-07,,6600,
2014-12-08,,6700,
2014-12-09,,6800,
2014-12-10,,6800,
2014-12-11,,6800,
2014-12-12,,6800,
2014-12-13,,6900,
2014-12-14,,7000,
2014-12-15,,7000,
2014-12-16,,7000,
2014-12-17,,7100,
2014-12-18,,7100,
2014-12-19,,7200,
2014-12-20,,7400,
2014-12-21,,7400,
2014-12-22,,7600,
2014-12-23,,7800,
2014-12-24,,7900,
2014-12-25,,7900,
2014-12-26,,8000,
2014-12-27,,8000,
2014-12-28,,8100,
2014-12-29,,8300,
2014-12-30,,8400,
2014-12-31,,8400,
2015-01-01,,8500,
2015-01-02,,8600,
2015-01-03,,8700,
2015-01-04,,8800,
