Date,'',PS4 player count,PS Vita player count
2015-06-02,,500,200
2015-06-03,,7900,1000
2015-06-04,,20200,2000
2015-06-05,,32800,3700
2015-06-06,,47400,4500
2015-06-07,,61800,5300
2015-06-08,,72700,5800
2015-06-09,,82300,6500
2015-06-10,,90900,7300
2015-06-11,,98300,7600
2015-06-12,,105700,8400
2015-06-13,,114700,8900
2015-06-14,,123900,10100
2015-06-15,,131100,10800
2015-06-16,,136100,11300
2015-06-17,,141000,11700
2015-06-18,,146000,12200
2015-06-19,,151000,12400
2015-06-20,,157800,12800
2015-06-21,,164800,13100
2015-06-22,,171600,13400
2015-06-23,,177500,13600
2015-06-24,,182500,13700
2015-06-25,,187200,14300
2015-06-26,,191900,14300
2015-06-27,,198100,14700
2015-06-28,,205200,15000
2015-06-29,,211000,15400
2015-06-30,,215200,15800
2015-07-01,,219100,16000
2015-07-02,,222500,16200
2015-07-03,,226700,16600
2015-07-04,,231500,16900
2015-07-05,,237400,17100
2015-07-06,,241700,17400
2015-07-07,,248200,17600
2015-07-08,,253000,18100
2015-07-09,,257000,18200
2015-07-10,,261000,18400
2015-07-11,,266400,18600
2015-07-12,,270400,18600
2015-07-13,,273500,18700
2015-07-14,,276500,18800
2015-07-15,,278600,18800
2015-07-16,,281100,19000
2015-07-17,,283100,19100
2015-07-18,,286700,19100
2015-07-19,,290000,19100
2015-07-20,,292300,19400
2015-07-21,,294300,19400
2015-07-22,,296700,19600
2015-07-23,,299000,19700
2015-07-24,,300800,19800
2015-07-25,,303900,19900
2015-07-26,,305800,20100
2015-07-27,,307500,20100
2015-07-28,,309000,20100
2015-07-29,,311600,20200
2015-07-30,,313900,20300
2015-07-31,,315300,20400
2015-08-01,,316700,20600
2015-08-02,,318500,20700
2015-08-03,,319800,20800
2015-08-04,,321300,20800
2015-08-05,,323500,21100
2015-08-06,,325100,21400
2015-08-07,,326300,21600
2015-08-08,,328500,21700
2015-08-09,,330100,21900
2015-08-10,,331800,21900
2015-08-11,,333400,22000
2015-08-12,,335000,22300
2015-08-13,,336500,22400
2015-08-14,,337300,22500
2015-08-15,,339300,22600
2015-08-16,,340700,22700
2015-08-17,,341600,22800
2015-08-18,,342900,23000
2015-08-19,,344000,23100
2015-08-20,,345100,23100
2015-08-21,,345900,23100
2015-08-22,,347000,23100
2015-08-23,,348500,23100
2015-08-24,,349500,23200
2015-08-25,,350700,23300
2015-08-26,,351300,23400
2015-08-27,,352600,23500
2015-08-28,,353500,23500
2015-08-29,,354500,23500
2015-08-30,,356000,23500
2015-08-31,,357200,23500
2015-09-01,,358700,23500
2015-09-02,,359900,23500
2015-09-03,,360900,23500
2015-09-04,,361800,23600
2015-09-05,,363300,23800
2015-09-06,,364600,23900
2015-09-07,,364900,23900
2015-09-08,,365800,23900
2015-09-09,,366400,23900
2015-09-10,,367100,24000
2015-09-11,,368000,24100
2015-09-12,,368600,24100
2015-09-13,,369300,24300
2015-09-14,,370300,24300
2015-09-15,,370700,24400
2015-09-16,,371200,24400
2015-09-17,,371700,24400
2015-09-18,,372400,24400
2015-09-19,,373000,24400
2015-09-20,,374000,24400
2015-09-21,,374600,24400
2015-09-22,,374800,24400
2015-09-23,,375100,24400
2015-09-24,,375700,24400
2015-09-25,,376700,24400
2015-09-26,,377700,24600
2015-09-27,,378500,24600
2015-09-28,,379100,24600
2015-09-29,,379700,24600
2015-09-30,,380200,24600
2015-10-01,,380900,24600
2015-10-02,,381700,24600
2015-10-03,,382400,24600
2015-10-04,,383200,24600
2015-10-05,,383700,24600
2015-10-06,,384000,24600
2015-10-07,,384400,24600
2015-10-08,,384900,24600
2015-10-09,,385400,24700
2015-10-10,,386000,24700
2015-10-11,,386800,24700
2015-10-12,,387300,24700
2015-10-13,,387600,24700
2015-10-14,,388100,24700
2015-10-15,,388400,24700
2015-10-16,,388700,24700
2015-10-17,,389600,24800
2015-10-18,,390100,24800
2015-10-19,,390300,24900
2015-10-20,,390800,24900
2015-10-21,,391400,24900
2015-10-22,,391900,24900
2015-10-23,,392100,25000
2015-10-24,,392800,25000
2015-10-25,,393200,25000
2015-10-26,,393600,25000
2015-10-27,,393900,25100
2015-10-28,,394400,25100
2015-10-29,,394700,25100
2015-10-30,,394900,25200
2015-10-31,,395500,25200
2015-11-01,,396000,25200
2015-11-02,,396400,25200
2015-11-03,,396800,25200
2015-11-04,,397300,25200
2015-11-05,,397600,25300
2015-11-06,,398200,25300
2015-11-07,,399200,25300
2015-11-08,,399900,25300
2015-11-09,,400300,25300
2015-11-10,,401000,25400
2015-11-11,,401400,25400
2015-11-12,,401800,25400
2015-11-13,,402000,25400
2015-11-14,,402400,25400
2015-11-15,,402700,25400
2015-11-16,,402900,25400
2015-11-17,,403100,25400
2015-11-18,,403500,25400
2015-11-19,,403900,25400
2015-11-20,,404100,25400
2015-11-21,,404700,25400
2015-11-22,,405300,25400
2015-11-23,,405800,25400
2015-11-24,,405800,25500
2015-11-25,,406000,25500
2015-11-26,,406300,25500
2015-11-27,,406700,25500
2015-11-28,,407000,25500
2015-11-29,,407500,25500
2015-11-30,,407900,25500
2015-12-01,,408400,25500
2015-12-02,,408700,25500
2015-12-03,,409200,25600
2015-12-04,,409500,25600
2015-12-05,,410200,25600
2015-12-06,,410600,25600
2015-12-07,,410700,25600
2015-12-08,,410700,25600
2015-12-09,,411000,25600
2015-12-10,,411500,25600
2015-12-11,,411600,25600
2015-12-12,,412000,25700
2015-12-13,,412400,25700
2015-12-14,,412700,25700
2015-12-15,,412900,25700
2015-12-16,,413300,25700
2015-12-17,,413400,25700
2015-12-18,,413700,25700
2015-12-19,,413900,25700
2015-12-20,,414300,25800
2015-12-21,,414500,25800
2015-12-22,,415000,25800
2015-12-23,,415400,25800
2015-12-24,,415700,25800
2015-12-25,,416200,25800
2015-12-26,,416600,25800
2015-12-27,,416900,25800
2015-12-28,,417300,25800
2015-12-29,,417800,25800
2015-12-30,,417900,25800
2015-12-31,,418000,25800
2016-01-01,,418100,25800
2016-01-02,,418400,25800
2016-01-03,,418800,25800
2016-01-04,,419000,25800
2016-01-05,,419400,25800
2016-01-06,,419800,25800
2016-01-07,,420300,25800
2016-01-08,,420700,25800
2016-01-09,,421200,25800
2016-01-10,,421800,25800
2016-01-11,,422000,25800
2016-01-12,,422300,25800
2016-01-13,,422500,25800
2016-01-14,,423000,25800
2016-01-15,,423300,25800
2016-01-16,,423700,25800
2016-01-17,,424000,25800
2016-01-18,,424100,25900
2016-01-19,,424500,25900
2016-01-20,,424900,25900
2016-01-21,,425000,25900
2016-01-22,,425200,25900
2016-01-23,,425800,25900
2016-01-24,,426100,25900
2016-01-25,,426300,26000
2016-01-26,,426500,26000
2016-01-27,,427000,26000
2016-01-28,,427200,26000
2016-01-29,,427700,26000
2016-01-30,,427900,26000
2016-01-31,,428300,26000
2016-02-01,,428800,26000
2016-02-02,,429000,26000
2016-02-03,,429200,26000
2016-02-04,,429200,26000
2016-02-05,,429600,26100
2016-02-06,,429900,26100
2016-02-07,,430300,26100
2016-02-08,,430600,26100
2016-02-09,,431000,26100
2016-02-10,,431000,26100
2016-02-11,,431300,26100
2016-02-12,,431600,26100
2016-02-13,,431800,26100
2016-02-14,,432000,26100
2016-02-15,,432200,26100
2016-02-16,,432600,26200
2016-02-17,,432800,26200
2016-02-18,,432800,26200
2016-02-19,,433000,26300
2016-02-20,,433300,26300
2016-02-21,,433700,26300
2016-02-22,,433800,26300
2016-02-23,,434200,26300
2016-02-24,,434400,26300
2016-02-25,,434400,26300
2016-02-26,,434600,26300
2016-02-27,,435000,26300
2016-02-28,,435200,26300
2016-02-29,,435400,26300
2016-03-01,,435400,26300
2016-03-02,,435500,26300
2016-03-03,,435700,26300
2016-03-04,,435900,26300
2016-03-05,,436300,26300
2016-03-06,,436600,26300
2016-03-07,,436600,26300
2016-03-08,,436700,26300
2016-03-09,,436900,26300
2016-03-10,,437100,26300
2016-03-11,,437200,26300
2016-03-12,,437600,26300
2016-03-13,,437700,26300
2016-03-14,,438000,26300
2016-03-15,,438100,26400
2016-03-16,,438200,26400
2016-03-17,,438500,26400
2016-03-18,,438700,26400
2016-03-19,,438700,26400
2016-03-20,,438800,26400
2016-03-21,,439100,26400
2016-03-22,,439200,26400
2016-03-23,,439300,26400
2016-03-24,,439500,26400
2016-03-25,,439600,26400
2016-03-26,,439700,26400
2016-03-27,,440000,26400
2016-03-28,,440300,26400
2016-03-29,,440300,26400
2016-03-30,,440500,26400
2016-03-31,,440500,26400
2016-04-01,,440800,26500
2016-04-02,,440900,26500
2016-04-03,,440900,26600
2016-04-04,,441100,26600
2016-04-05,,441300,26600
2016-04-06,,441500,26600
2016-04-07,,441500,26600
2016-04-08,,441700,26600
2016-04-09,,442100,26600
2016-04-10,,442400,26600
2016-04-11,,442600,26600
2016-04-12,,442800,26600
2016-04-13,,442900,26600
2016-04-14,,443000,26600
2016-04-15,,443100,26600
2016-04-16,,443200,26600
2016-04-17,,443500,26600
2016-04-18,,443500,26600
2016-04-19,,443600,26600
2016-04-20,,443800,26600
2016-04-21,,443800,26600
2016-04-22,,444000,26600
2016-04-23,,444100,26600
2016-04-24,,444300,26600
2016-04-25,,444300,26600
2016-04-26,,444500,26600
2016-04-27,,444600,26600
2016-04-28,,444700,26700
2016-04-29,,444900,26700
2016-04-30,,444900,26700
2016-05-01,,445200,26700
2016-05-02,,445500,26700
2016-05-03,,445600,26700
2016-05-04,,445600,26700
2016-05-05,,445700,26700
2016-05-06,,445800,26700
2016-05-07,,446000,26700
2016-05-08,,446000,26700
2016-05-09,,446000,26700
2016-05-10,,446200,26700
2016-05-11,,446300,26700
2016-05-12,,446400,26700
2016-05-13,,446500,26700
2016-05-14,,446500,26700
2016-05-15,,446700,26700
2016-05-16,,446700,26700
2016-05-17,,446700,26700
2016-05-18,,446700,26700
2016-05-19,,446700,26700
2016-05-20,,446800,26700
2016-05-21,,447100,26700
2016-05-22,,447100,26700
2016-05-23,,447200,26700
2016-05-24,,447300,26700
2016-05-25,,447400,26700
2016-05-26,,447400,26700
2016-05-27,,447400,26700
2016-05-28,,447500,26800
2016-05-29,,447700,26800
2016-05-30,,447800,26800
2016-05-31,,447800,26800
2016-06-01,,447900,26800
2016-06-02,,447900,26800
2016-06-03,,447900,26800
2016-06-04,,448100,26800
2016-06-05,,448100,26800
2016-06-06,,448400,26800
2016-06-07,,448500,26800
2016-06-08,,448700,26800
2016-06-09,,448800,26800
2016-06-10,,449000,26800
2016-06-11,,449000,26800
2016-06-12,,449200,26800
2016-06-13,,449400,26800
2016-06-14,,449400,26800
2016-06-15,,449600,26800
2016-06-16,,449600,26800
2016-06-17,,449600,26800
2016-06-18,,449700,26800
2016-06-19,,449900,26800
2016-06-20,,450100,26800
2016-06-21,,450300,26800
2016-06-22,,450400,26800
2016-06-23,,450400,26800
2016-06-24,,450500,26800
2016-06-25,,450500,26800
2016-06-26,,450600,26800
2016-06-27,,450800,26800
2016-06-28,,450900,26800
2016-06-29,,451300,26800
2016-06-30,,451300,26800
2016-07-01,,451400,26800
2016-07-02,,451500,26800
2016-07-03,,451600,26800
2016-07-04,,451600,26800
2016-07-05,,452000,26800
2016-07-06,,452100,26800
2016-07-07,,452100,26800
2016-07-08,,452200,26800
2016-07-09,,452600,26800
2016-07-10,,452600,26800
2016-07-11,,452700,26800
2016-07-12,,452800,26800
2016-07-13,,452900,26800
2016-07-14,,452900,26800
2016-07-15,,453200,26800
2016-07-16,,453500,26800
2016-07-17,,453600,26800
2016-07-18,,453700,26800
2016-07-19,,453800,26800
2016-07-20,,454000,26800
2016-07-21,,454100,26800
2016-07-22,,454100,26800
2016-07-23,,454200,26800
2016-07-24,,454500,26800
2016-07-25,,454500,26800
2016-07-26,,454500,26800
2016-07-27,,454800,26800
2016-07-28,,455000,26800
2016-07-29,,455000,26800
2016-07-30,,455100,26800
2016-07-31,,455100,26800
2016-08-01,,455300,26800
2016-08-02,,455600,26800
2016-08-03,,455600,26800
2016-08-04,,455600,26800
2016-08-05,,455800,26800
2016-08-06,,455800,26800
2016-08-07,,456000,26800
2016-08-08,,456100,26800
2016-08-09,,456100,26800
2016-08-10,,456200,26800
2016-08-11,,456300,26800
2016-08-12,,456500,26800
2016-08-13,,456500,26800
2016-08-14,,456800,26800
2016-08-15,,456800,26800
2016-08-16,,457000,26800
2016-08-17,,457000,26800
2016-08-18,,457000,26800
2016-08-19,,457000,26800
2016-08-20,,457300,26800
2016-08-21,,457300,26800
2016-08-22,,457300,26800
2016-08-23,,457400,26800
2016-08-24,,457500,26800
2016-08-25,,457600,26800
2016-08-26,,457800,26800
2016-08-27,,457800,26800
2016-08-28,,457900,26800
2016-08-29,,458100,26800
2016-08-30,,458200,26900
2016-08-31,,458400,26900
2016-09-01,,458500,26900
2016-09-02,,458700,26900
2016-09-03,,458800,26900
2016-09-04,,458900,26900
2016-09-05,,458900,26900
2016-09-06,,458900,26900
2016-09-07,,459000,26900
2016-09-08,,459100,26900
2016-09-09,,459100,26900
2016-09-10,,459200,26900
2016-09-11,,459300,26900
2016-09-12,,459300,26900
2016-09-13,,459400,26900
2016-09-14,,459500,26900
2016-09-15,,459500,26900
2016-09-16,,459600,26900
2016-09-17,,459800,26900
2016-09-18,,459800,26900
2016-09-19,,459800,26900
2016-09-20,,460000,26900
2016-09-21,,460100,26900
2016-09-22,,460300,26900
2016-09-23,,460400,26900
2016-09-24,,460500,26900
2016-09-25,,460600,26900
2016-09-26,,460700,26900
2016-09-27,,460700,26900
2016-09-28,,460700,26900
2016-09-29,,460800,26900
2016-09-30,,460800,26900
2016-10-01,,460900,26900
2016-10-02,,461100,26900
2016-10-03,,461200,26900
2016-10-04,,461300,26900
2016-10-05,,461300,27000
2016-10-06,,461300,27000
2016-10-07,,461600,27000
2016-10-08,,461600,27000
2016-10-09,,462000,27000
2016-10-10,,462000,27000
2016-10-11,,462100,27000
2016-10-12,,462200,27000
2016-10-13,,462300,27000
2016-10-14,,462300,27000
2016-10-15,,462400,27000
2016-10-16,,462400,27000
2016-10-17,,462500,27000
2016-10-18,,462500,27000
2016-10-19,,462600,27000
2016-10-20,,462700,27000
2016-10-21,,462800,27000
2016-10-22,,462800,27000
2016-10-23,,462900,27000
2016-10-24,,463000,27000
2016-10-25,,463200,27000
2016-10-26,,463300,27000
2016-10-27,,463500,27000
2016-10-28,,463600,27000
2016-10-29,,463800,27000
2016-10-30,,463900,27000
2016-10-31,,464100,27000
2016-11-01,,464100,27000
2016-11-02,,464200,27000
2016-11-03,,464200,27000
2016-11-04,,464200,27000
2016-11-05,,464300,27000
2016-11-06,,464300,27000
2016-11-07,,464300,27000
2016-11-08,,464300,27000
2016-11-09,,464300,27000
2016-11-10,,464400,27000
2016-11-11,,464500,27000
2016-11-12,,464600,27000
2016-11-13,,464600,27000
2016-11-14,,464700,27000
2016-11-15,,464800,27000
2016-11-16,,464900,27000
2016-11-17,,464900,27000
2016-11-18,,465000,27000
2016-11-19,,465200,27000
2016-11-20,,465200,27000
2016-11-21,,465300,27000
2016-11-22,,465400,27000
2016-11-23,,465400,27000
2016-11-24,,465600,27000
2016-11-25,,465600,27000
2016-11-26,,465600,27000
2016-11-27,,465600,27000
2016-11-28,,465700,27000
2016-11-29,,465800,27000
2016-11-30,,465900,27000
2016-12-01,,466000,27000
2016-12-02,,466000,27000
2016-12-03,,466100,27000
2016-12-04,,466200,27000
2016-12-05,,466300,27000
2016-12-06,,466300,27000
2016-12-07,,466400,27000
2016-12-08,,466500,27000
2016-12-09,,466600,27000
2016-12-10,,466800,27000
2016-12-11,,466800,27000
2016-12-12,,467100,27000
2016-12-13,,467300,27000
2016-12-14,,467300,27000
2016-12-15,,467400,27000
2016-12-16,,467500,27000
2016-12-17,,467600,27000
2016-12-18,,467700,27000
2016-12-19,,467700,27000
2016-12-20,,467800,27000
2016-12-21,,467800,27000
2016-12-22,,467900,27000
2016-12-23,,468000,27000
2016-12-24,,468000,27000
2016-12-25,,468100,27000
2016-12-26,,468300,27000
2016-12-27,,468500,27000
2016-12-28,,468600,27000
2016-12-29,,468600,27000
2016-12-30,,468600,27000
2016-12-31,,468900,27000
2017-01-01,,469000,27000
2017-01-02,,469200,27000
2017-01-03,,469400,27000
2017-01-04,,469600,27000
2017-01-05,,469700,27000
2017-01-06,,469700,27000
2017-01-07,,469700,27000
2017-01-08,,469800,27000
2017-01-09,,470000,27000
2017-01-10,,470000,27000
2017-01-11,,470100,27000
2017-01-12,,470100,27000
2017-01-13,,470400,27000
2017-01-14,,470500,27000
2017-01-15,,470500,27000
2017-01-16,,470500,27000
2017-01-17,,470500,27000
2017-01-18,,470600,27000
2017-01-19,,470600,27000
