Date,'',PS4 player count,PS Vita player count
2015-10-06,,29800,300
2015-10-07,,97200,1300
2015-10-08,,163000,2100
2015-10-09,,224200,3600
2015-10-10,,297000,4400
2015-10-11,,360500,5200
2015-10-12,,402800,6000
2015-10-13,,448400,6400
2015-10-14,,485000,6900
2015-10-15,,517000,7200
2015-10-16,,552800,7500
2015-10-17,,597800,8100
2015-10-18,,641200,8800
2015-10-19,,669300,9000
2015-10-20,,695700,9100
2015-10-21,,719100,9500
2015-10-22,,742000,9700
2015-10-23,,765500,10000
2015-10-24,,796100,10300
2015-10-25,,826500,10700
2015-10-26,,847100,11000
2015-10-27,,864700,11200
2015-10-28,,882100,11500
2015-10-29,,899400,11900
2015-10-30,,919700,12200
2015-10-31,,944700,12300
2015-11-01,,967500,12800
2015-11-02,,983600,13100
2015-11-03,,1001800,13400
2015-11-04,,1017500,13600
2015-11-05,,1033400,14100
2015-11-06,,1049800,14600
2015-11-07,,1069500,15700
2015-11-08,,1085900,16100
2015-11-09,,1096000,16200
2015-11-10,,1107400,16400
2015-11-11,,1118100,16900
2015-11-12,,1126400,17100
2015-11-13,,1135400,17300
2015-11-14,,1149000,17500
2015-11-15,,1159400,17600
2015-11-16,,1165700,17600
2015-11-17,,1171400,18000
2015-11-18,,1176300,18100
2015-11-19,,1182400,18200
2015-11-20,,1189400,18300
2015-11-21,,1198600,19000
2015-11-22,,1207100,19000
2015-11-23,,1212100,19100
2015-11-24,,1217400,19100
2015-11-25,,1222500,19500
2015-11-26,,1228000,19600
2015-11-27,,1234100,19800
2015-11-28,,1242700,20000
2015-11-29,,1249500,20200
2015-11-30,,1253100,20400
2015-12-01,,1257600,20500
2015-12-02,,1261700,20500
2015-12-03,,1265200,20500
2015-12-04,,1269600,20800
2015-12-05,,1275300,20900
2015-12-06,,1281400,20900
2015-12-07,,1285700,20900
2015-12-08,,1289000,21000
2015-12-09,,1292000,21200
2015-12-10,,1295100,21200
2015-12-11,,1298500,21300
2015-12-12,,1302800,21400
2015-12-13,,1307600,21400
2015-12-14,,1310300,21500
2015-12-15,,1313700,21700
2015-12-16,,1316900,21700
2015-12-17,,1319700,21700
2015-12-18,,1323500,21700
2015-12-19,,1328200,21800
2015-12-20,,1332900,21900
2015-12-21,,1337000,21900
2015-12-22,,1341100,21900
2015-12-23,,1345300,22000
2015-12-24,,1349900,22100
2015-12-25,,1354300,22100
2015-12-26,,1358500,22400
2015-12-27,,1363000,22500
2015-12-28,,1367600,22500
2015-12-29,,1371900,22800
2015-12-30,,1375100,22800
2015-12-31,,1378900,22900
2016-01-01,,1382200,23000
2016-01-02,,1386000,23100
2016-01-03,,1388900,23200
2016-01-04,,1390400,23300
2016-01-05,,1392500,23400
2016-01-06,,1395000,23400
2016-01-07,,1397400,23400
2016-01-08,,1400500,23500
2016-01-09,,1404200,23700
2016-01-10,,1407300,23800
2016-01-11,,1409200,23800
2016-01-12,,1411000,23900
2016-01-13,,1413100,23900
2016-01-14,,1414900,23900
2016-01-15,,1416900,24000
2016-01-16,,1419100,24000
2016-01-17,,1421400,24000
2016-01-18,,1423400,24000
2016-01-19,,1425000,24000
2016-01-20,,1426700,24000
2016-01-21,,1428500,24100
2016-01-22,,1430000,24100
2016-01-23,,1433500,24200
2016-01-24,,1435600,24200
2016-01-25,,1436900,24200
2016-01-26,,1438500,24200
2016-01-27,,1440300,24300
2016-01-28,,1441600,24400
2016-01-29,,1443300,24400
2016-01-30,,1445300,24500
2016-01-31,,1447500,24500
2016-02-01,,1449500,24500
2016-02-02,,1451300,24600
2016-02-03,,1453100,24600
2016-02-04,,1454700,24600
2016-02-05,,1457000,24600
2016-02-06,,1459300,24700
2016-02-07,,1461400,24700
2016-02-08,,1463400,24900
2016-02-09,,1464600,24900
2016-02-10,,1466200,24900
2016-02-11,,1467000,24900
2016-02-12,,1468900,24900
2016-02-13,,1471000,24900
2016-02-14,,1472700,24900
2016-02-15,,1474600,24900
2016-02-16,,1476000,24900
2016-02-17,,1477300,25000
2016-02-18,,1478600,25000
2016-02-19,,1480200,25000
2016-02-20,,1482000,25000
2016-02-21,,1483500,25000
2016-02-22,,1484800,25000
2016-02-23,,1486200,25100
2016-02-24,,1487200,25100
2016-02-25,,1488300,25100
2016-02-26,,1489700,25100
2016-02-27,,1490900,25100
2016-02-28,,1492500,25100
2016-02-29,,1493400,25100
2016-03-01,,1494200,25100
2016-03-02,,1495200,25100
2016-03-03,,1496500,25100
2016-03-04,,1497600,25200
2016-03-05,,1499700,25300
2016-03-06,,1501900,25300
2016-03-07,,1503600,25300
2016-03-08,,1504700,25300
2016-03-09,,1505700,25300
2016-03-10,,1506700,25300
2016-03-11,,1507700,25300
2016-03-12,,1509300,25300
2016-03-13,,1510900,25300
2016-03-14,,1511500,25300
2016-03-15,,1512900,25400
2016-03-16,,1513400,25400
2016-03-17,,1514400,25400
2016-03-18,,1516100,25500
2016-03-19,,1517000,25500
2016-03-20,,1518600,25500
2016-03-21,,1519400,25500
2016-03-22,,1520500,25600
2016-03-23,,1521500,25600
2016-03-24,,1522500,25600
2016-03-25,,1523900,25600
2016-03-26,,1525500,25700
2016-03-27,,1526600,25700
2016-03-28,,1527600,25700
2016-03-29,,1528500,25700
2016-03-30,,1529900,25700
2016-03-31,,1530700,25700
2016-04-01,,1531700,25700
2016-04-02,,1533100,25800
2016-04-03,,1534400,25900
2016-04-04,,1535400,25900
2016-04-05,,1536200,25900
2016-04-06,,1537300,26000
2016-04-07,,1538300,26000
2016-04-08,,1539400,26000
2016-04-09,,1540800,26000
2016-04-10,,1541900,26000
2016-04-11,,1542600,26000
2016-04-12,,1543900,26000
2016-04-13,,1544500,26000
2016-04-14,,1545600,26000
2016-04-15,,1546800,26000
2016-04-16,,1548100,26100
2016-04-17,,1549100,26100
2016-04-18,,1549900,26100
2016-04-19,,1550500,26100
2016-04-20,,1551100,26100
2016-04-21,,1551700,26100
2016-04-22,,1552500,26100
2016-04-23,,1553800,26100
2016-04-24,,1554800,26100
2016-04-25,,1555400,26100
2016-04-26,,1556000,26100
2016-04-27,,1556800,26100
2016-04-28,,1557500,26100
2016-04-29,,1558200,26100
2016-04-30,,1558900,26100
2016-05-01,,1559700,26100
2016-05-02,,1560300,26200
2016-05-03,,1561000,26200
2016-05-04,,1561600,26200
2016-05-05,,1562400,26200
2016-05-06,,1563200,26200
2016-05-07,,1564000,26200
2016-05-08,,1565300,26300
2016-05-09,,1566000,26400
2016-05-10,,1566700,26400
2016-05-11,,1567200,26500
2016-05-12,,1567700,26500
2016-05-13,,1568300,26600
2016-05-14,,1569600,26600
2016-05-15,,1570400,26600
2016-05-16,,1571100,26700
2016-05-17,,1571600,26700
2016-05-18,,1572100,26700
2016-05-19,,1572500,26700
2016-05-20,,1573300,26700
2016-05-21,,1574400,26700
2016-05-22,,1575400,26700
2016-05-23,,1576300,26700
2016-05-24,,1577200,26700
2016-05-25,,1577800,26700
2016-05-26,,1578300,26700
2016-05-27,,1579000,26700
2016-05-28,,1579700,26700
2016-05-29,,1580700,26700
2016-05-30,,1581200,26700
2016-05-31,,1581900,26700
2016-06-01,,1582400,26700
2016-06-02,,1583000,26700
2016-06-03,,1584000,26700
2016-06-04,,1585100,26700
2016-06-05,,1586100,26800
2016-06-06,,1586700,26800
2016-06-07,,1587500,26800
2016-06-08,,1588200,26800
2016-06-09,,1588900,26800
2016-06-10,,1589600,26800
2016-06-11,,1590700,26800
2016-06-12,,1591500,26800
2016-06-13,,1592000,26800
2016-06-14,,1592900,26800
2016-06-15,,1593500,26800
2016-06-16,,1594000,26800
2016-06-17,,1594800,26800
2016-06-18,,1595800,26800
2016-06-19,,1596700,26800
2016-06-20,,1597400,26800
2016-06-21,,1598100,26800
2016-06-22,,1599100,26900
2016-06-23,,1599900,27000
2016-06-24,,1600500,27000
2016-06-25,,1601200,27000
2016-06-26,,1602300,27100
2016-06-27,,1603000,27100
2016-06-28,,1603600,27100
2016-06-29,,1604100,27100
2016-06-30,,1604700,27200
2016-07-01,,1606000,27200
2016-07-02,,1606800,27200
2016-07-03,,1608100,27200
2016-07-04,,1609100,27200
2016-07-05,,1610000,27200
2016-07-06,,1610900,27200
2016-07-07,,1612000,27200
2016-07-08,,1613100,27300
2016-07-09,,1614000,27300
2016-07-10,,1614500,27300
2016-07-11,,1615200,27300
2016-07-12,,1615800,27300
2016-07-13,,1616500,27400
2016-07-14,,1617400,27400
2016-07-15,,1618300,27400
2016-07-16,,1619200,27400
2016-07-17,,1619800,27500
2016-07-18,,1620500,27500
2016-07-19,,1621000,27500
2016-07-20,,1621600,27500
2016-07-21,,1622800,27500
2016-07-22,,1623400,27600
2016-07-23,,1623800,27600
2016-07-24,,1624400,27600
2016-07-25,,1625200,27600
2016-07-26,,1626000,27600
2016-07-27,,1626700,27700
2016-07-28,,1627500,27700
2016-07-29,,1628200,27700
2016-07-30,,1628700,27700
2016-07-31,,1629400,27700
2016-08-01,,1629800,27700
2016-08-02,,1630300,27700
2016-08-03,,1630900,27700
2016-08-04,,1631500,27700
2016-08-05,,1631800,27700
2016-08-06,,1632600,27800
2016-08-07,,1633300,27800
2016-08-08,,1633700,27800
2016-08-09,,1634500,27800
2016-08-10,,1635100,27800
2016-08-11,,1635700,27800
2016-08-12,,1636200,27800
2016-08-13,,1636700,27800
2016-08-14,,1637500,27800
2016-08-15,,1638000,27900
2016-08-16,,1638500,27900
2016-08-17,,1638900,27900
2016-08-18,,1639200,27900
2016-08-19,,1639900,27900
2016-08-20,,1640800,28000
2016-08-21,,1641500,28000
2016-08-22,,1642100,28000
2016-08-23,,1642600,28000
2016-08-24,,1643200,28000
2016-08-25,,1643700,28000
2016-08-26,,1644300,28000
2016-08-27,,1644800,28000
2016-08-28,,1645200,28000
2016-08-29,,1645600,28000
2016-08-30,,1646100,28000
2016-08-31,,1646900,28000
2016-09-01,,1647600,28000
2016-09-02,,1648200,28000
2016-09-03,,1648700,28000
2016-09-04,,1649200,28000
2016-09-05,,1649700,28000
2016-09-06,,1650400,28000
2016-09-07,,1650900,28100
2016-09-08,,1651400,28100
2016-09-09,,1652000,28100
2016-09-10,,1653100,28200
2016-09-11,,1653500,28200
2016-09-12,,1654100,28300
2016-09-13,,1654700,28300
2016-09-14,,1655300,28300
2016-09-15,,1655700,28300
2016-09-16,,1656100,28400
2016-09-17,,1656800,28500
2016-09-18,,1657700,28500
2016-09-19,,1658400,28500
2016-09-20,,1658800,28500
2016-09-21,,1659300,28500
2016-09-22,,1659600,28500
2016-09-23,,1660200,28500
2016-09-24,,1660800,28500
2016-09-25,,1661300,28500
2016-09-26,,1661400,28500
2016-09-27,,1662100,28500
2016-09-28,,1662600,28500
2016-09-29,,1663300,28600
2016-09-30,,1663800,28600
2016-10-01,,1664500,28600
2016-10-02,,1664900,28600
2016-10-03,,1665400,28600
2016-10-04,,1665800,28600
2016-10-05,,1666400,28600
2016-10-06,,1666900,28600
2016-10-07,,1667400,28600
2016-10-08,,1668200,28600
2016-10-09,,1669100,28600
2016-10-10,,1669600,28600
2016-10-11,,1670100,28600
2016-10-12,,1670500,28700
2016-10-13,,1670900,28700
2016-10-14,,1671800,28700
2016-10-15,,1672400,28700
2016-10-16,,1672800,28800
2016-10-17,,1673200,28800
2016-10-18,,1673700,28800
2016-10-19,,1674400,28800
2016-10-20,,1674700,28800
2016-10-21,,1675000,28800
2016-10-22,,1675400,28800
2016-10-23,,1675900,28900
2016-10-24,,1676100,28900
2016-10-25,,1676600,28900
2016-10-26,,1677200,28900
2016-10-27,,1677600,28900
2016-10-28,,1677900,28900
2016-10-29,,1678500,28900
2016-10-30,,1679100,28900
2016-10-31,,1679500,28900
2016-11-01,,1680300,28900
2016-11-02,,1680700,28900
2016-11-03,,1681400,29000
2016-11-04,,1682000,29000
2016-11-05,,1682600,29100
2016-11-06,,1683300,29100
2016-11-07,,1683700,29100
2016-11-08,,1684200,29100
2016-11-09,,1684500,29100
2016-11-10,,1684800,29100
2016-11-11,,1685100,29100
2016-11-12,,1685600,29300
2016-11-13,,1686000,29300
2016-11-14,,1686400,29300
2016-11-15,,1686800,29300
2016-11-16,,1686900,29300
2016-11-17,,1687300,29300
2016-11-18,,1688100,29300
2016-11-19,,1688800,29300
2016-11-20,,1689500,29400
2016-11-21,,1689700,29400
2016-11-22,,1689900,29400
2016-11-23,,1690300,29400
2016-11-24,,1690500,29400
2016-11-25,,1691000,29400
2016-11-26,,1691400,29400
2016-11-27,,1692400,29400
2016-11-28,,1692600,29400
2016-11-29,,1693200,29400
2016-11-30,,1693700,29400
2016-12-01,,1693900,29400
2016-12-02,,1694200,29400
2016-12-03,,1694600,29400
2016-12-04,,1695200,29400
2016-12-05,,1695500,29400
2016-12-06,,1696100,29400
2016-12-07,,1696400,29400
2016-12-08,,1696900,29400
2016-12-09,,1697700,29400
2016-12-10,,1698300,29400
2016-12-11,,1699000,29400
2016-12-12,,1699400,29500
2016-12-13,,1699600,29500
2016-12-14,,1699900,29500
2016-12-15,,1700300,29500
2016-12-16,,1700500,29500
2016-12-17,,1701100,29500
2016-12-18,,1701700,29600
2016-12-19,,1702200,29600
2016-12-20,,1702700,29600
2016-12-21,,1703200,29600
2016-12-22,,1703700,29600
2016-12-23,,1704300,29600
2016-12-24,,1704800,29700
2016-12-25,,1705500,29700
2016-12-26,,1706000,29700
2016-12-27,,1706700,29700
2016-12-28,,1707500,29700
2016-12-29,,1708100,29700
2016-12-30,,1709000,29700
2016-12-31,,1709600,29700
2017-01-01,,1710100,29700
2017-01-02,,1710700,29700
2017-01-03,,1711300,29700
2017-01-04,,1712000,29700
2017-01-05,,1712400,29700
2017-01-06,,1712800,29700
2017-01-07,,1713400,29700
2017-01-08,,1714000,29700
2017-01-09,,1714600,29700
2017-01-10,,1714900,29700
2017-01-11,,1715300,29700
2017-01-12,,1715600,29700
2017-01-13,,1715800,29700
2017-01-14,,1716600,29700
2017-01-15,,1717300,29700
2017-01-16,,1717600,29700
2017-01-17,,1718100,29700
2017-01-18,,1718400,29700
2017-01-19,,1718600,29700
2017-01-20,,1718900,29700
2017-01-21,,1719300,29700
2017-01-22,,1719900,29700
2017-01-23,,1720600,29700
2017-01-24,,1721100,29700
2017-01-25,,1721500,29700
2017-01-26,,1721900,29700
2017-01-27,,1722200,29700
2017-01-28,,1723000,29700
2017-01-29,,1723500,29700
2017-01-30,,1723800,29700
2017-01-31,,1724100,29700
2017-02-01,,1724500,29700
2017-02-02,,1724700,29700
2017-02-03,,1724800,29700
2017-02-04,,1725500,29700
2017-02-05,,1726000,29800
2017-02-06,,1726100,29800
2017-02-07,,1726500,29800
2017-02-08,,1727000,29800
2017-02-09,,1727100,29800
2017-02-10,,1727400,29900
2017-02-11,,1727900,29900
2017-02-12,,1728300,29900
2017-02-13,,1728800,29900
2017-02-14,,1729100,29900
2017-02-15,,1729400,29900
2017-02-16,,1729600,29900
2017-02-17,,1730000,29900
2017-02-18,,1730600,29900
2017-02-19,,1731400,29900
2017-02-20,,1731900,29900
2017-02-21,,1732300,29900
2017-02-22,,1732500,29900
2017-02-23,,1732800,29900
2017-02-24,,1733100,29900
2017-02-25,,1733700,29900
2017-02-26,,1734400,29900
2017-02-27,,1734500,29900
2017-02-28,,1734900,29900
2017-03-01,,1735100,29900
2017-03-02,,1735700,29900
2017-03-03,,1736200,29900
2017-03-04,,1736700,29900
2017-03-05,,1737500,29900
2017-03-06,,1737800,29900
2017-03-07,,1738100,29900
2017-03-08,,1738500,30000
2017-03-09,,1738900,30000
2017-03-10,,1739500,30000
2017-03-11,,1740300,30000
2017-03-12,,1740900,30000
2017-03-13,,1741200,30000
2017-03-14,,1741400,30000
2017-03-15,,1741600,30000
2017-03-16,,1741800,30000
2017-03-17,,1742500,30000
2017-03-18,,1743000,30000
2017-03-19,,1743400,30000
2017-03-20,,1743400,30000
2017-03-21,,1743700,30000
2017-03-22,,1744000,30000
2017-03-23,,1744400,30000
2017-03-24,,1744600,30000
2017-03-25,,1745400,30000
2017-03-26,,1745700,30100
2017-03-27,,1746100,30100
2017-03-28,,1746200,30100
2017-03-29,,1746500,30100
2017-03-30,,1746600,30100
2017-03-31,,1747000,30100
2017-04-01,,1747500,30100
2017-04-02,,1748000,30100
2017-04-03,,1748200,30100
2017-04-04,,1748500,30100
2017-04-05,,1748800,30100
2017-04-06,,1749100,30100
2017-04-07,,1749400,30100
2017-04-08,,1749900,30100
2017-04-09,,1750300,30100
2017-04-10,,1750600,30100
2017-04-11,,1751100,30100
2017-04-12,,1751200,30100
2017-04-13,,1751600,30100
2017-04-14,,1752300,30200
2017-04-15,,1752600,30200
2017-04-16,,1752600,30200
2017-04-17,,1752900,30200
2017-04-18,,1753000,30200
2017-04-19,,1753400,30200
2017-04-20,,1753700,30300
2017-04-21,,1754300,30300
2017-04-22,,1755000,30300
2017-04-23,,1755300,30400
2017-04-24,,1755800,30400
2017-04-25,,1756200,30400
2017-04-26,,1756800,30400
2017-04-27,,1757000,30400
2017-04-28,,1757300,30400
2017-04-29,,1758000,30400
2017-04-30,,1758400,30400
2017-05-01,,1758500,30800
2017-05-02,,1759200,30800
2017-05-03,,1759700,30800
2017-05-04,,1760300,30800
2017-05-05,,1760500,30800
2017-05-06,,1761000,30800
2017-05-07,,1761700,30800
2017-05-08,,1762100,30800
2017-05-09,,1762400,30800
2017-05-10,,1762800,30900
2017-05-11,,1762900,30900
2017-05-12,,1763500,30900
2017-05-13,,1764000,30900
2017-05-14,,1764500,30900
2017-05-15,,1764800,30900
2017-05-16,,1765200,30900
2017-05-17,,1765400,30900
2017-05-18,,1766000,30900
2017-05-19,,1766100,30900
2017-05-20,,1766400,30900
2017-05-21,,1766700,30900
2017-05-22,,1767000,30900
2017-05-23,,1767200,30900
2017-05-24,,1767400,30900
2017-05-25,,1767700,30900
2017-05-26,,1767900,30900
2017-05-27,,1768500,30900
2017-05-28,,1768800,30900
2017-05-29,,1769100,30900
2017-05-30,,1769300,31000
2017-05-31,,1769900,31100
2017-06-01,,1770200,31100
2017-06-02,,1770400,31100
2017-06-03,,1770800,31200
2017-06-04,,1771400,31200
2017-06-05,,1771900,31200
2017-06-06,,1772000,31200
2017-06-07,,1772300,31200
2017-06-08,,1772600,31200
2017-06-09,,1772700,31200
2017-06-10,,1773100,31200
2017-06-11,,1773300,31200
2017-06-12,,1773500,31200
2017-06-13,,1773900,31200
2017-06-14,,1774300,31200
