Date,PS3 player count,PS4 player count,
2013-11-15,0,0,
2013-11-16,0,200,
2013-11-17,0,200,
2013-11-18,0,400,
2013-11-19,0,500,
2013-11-20,0,600,
2013-11-21,0,800,
2013-11-22,0,900,
2013-11-23,0,1000,
2013-11-24,0,1200,
2013-11-25,0,1500,
2013-11-26,0,1600,
2013-11-27,0,1700,
2013-11-28,100,1800,
2013-11-29,100,1900,
2013-11-30,100,2000,
2013-12-01,100,2300,
2013-12-02,100,2400,
2013-12-03,100,2500,
2013-12-04,100,2600,
2013-12-05,100,2800,
2013-12-06,200,2800,
2013-12-07,200,2800,
2013-12-08,200,2900,
2013-12-09,300,3000,
2013-12-10,400,3000,
2013-12-11,500,3000,
2013-12-12,600,3000,
2013-12-13,600,3000,
2013-12-14,600,3200,
2013-12-15,600,3200,
2013-12-16,700,3200,
2013-12-17,700,3200,
2013-12-18,800,3300,
2013-12-19,800,3300,
2013-12-20,900,3400,
2013-12-21,900,3400,
2013-12-22,900,3400,
2013-12-23,900,3500,
2013-12-24,900,3500,
2013-12-25,900,3500,
2013-12-26,900,3600,
2013-12-27,1000,3600,
2013-12-28,1000,3900,
2013-12-29,1000,4000,
2013-12-30,1100,4000,
2013-12-31,1200,4100,
2014-01-01,1200,4200,
2014-01-02,1200,4300,
2014-01-03,1300,4500,
2014-01-04,1300,4700,
2014-01-05,1300,4700,
2014-01-06,1300,4800,
2014-01-07,1300,4800,
2014-01-08,1300,4800,
2014-01-09,1300,4800,
2014-01-10,1300,4800,
2014-01-11,1300,4900,
2014-01-12,1400,4900,
2014-01-13,1400,4900,
2014-01-14,1400,4900,
2014-01-15,1400,4900,
2014-01-16,1400,5000,
2014-01-17,1500,5000,
2014-01-18,1500,5100,
2014-01-19,1500,5200,
2014-01-20,1500,5300,
2014-01-21,1600,5300,
2014-01-22,1600,5400,
2014-01-23,1600,5400,
2014-01-24,1600,5500,
2014-01-25,1600,5500,
2014-01-26,1600,5700,
2014-01-27,1600,5700,
2014-01-28,1600,5700,
2014-01-29,1600,5700,
2014-01-30,1700,5700,
2014-01-31,1800,5900,
2014-02-01,1900,6100,
2014-02-02,1900,6300,
2014-02-03,2000,6300,
2014-02-04,2000,6400,
2014-02-05,2000,6500,
2014-02-06,2000,6500,
2014-02-07,2000,6600,
2014-02-08,2000,6700,
2014-02-09,2000,6900,
2014-02-10,2000,6900,
2014-02-11,2000,7000,
2014-02-12,2100,7000,
2014-02-13,2100,7100,
2014-02-14,2100,7200,
2014-02-15,2100,7200,
2014-02-16,2100,7400,
2014-02-17,2100,7400,
2014-02-18,2100,7500,
2014-02-19,2100,7500,
2014-02-20,2100,7600,
2014-02-21,2100,7600,
2014-02-22,2200,7600,
2014-02-23,2200,7700,
2014-02-24,2200,7700,
2014-02-25,2200,7800,
2014-02-26,2200,8000,
2014-02-27,2300,8000,
2014-02-28,2400,8200,
2014-03-01,2500,8400,
2014-03-02,2500,8700,
2014-03-03,2600,8900,
2014-03-04,2800,9000,
2014-03-05,2800,9300,
2014-03-06,2800,9500,
2014-03-07,2900,9600,
2014-03-08,3000,9600,
2014-03-09,3000,9700,
2014-03-10,3000,9800,
2014-03-11,3000,10000,
2014-03-12,3000,10200,
2014-03-13,3100,10300,
2014-03-14,3100,10300,
2014-03-15,3100,10300,
2014-03-16,3200,10500,
2014-03-17,3200,10500,
2014-03-18,3200,10500,
2014-03-19,3300,10600,
2014-03-20,3300,10700,
2014-03-21,3300,10700,
2014-03-22,3300,10900,
2014-03-23,3400,11100,
2014-03-24,3400,11100,
2014-03-25,3400,11200,
2014-03-26,3400,11300,
2014-03-27,3400,11300,
2014-03-28,3500,11400,
2014-03-29,3500,11400,
2014-03-30,3500,11400,
2014-03-31,3500,11500,
2014-04-01,3500,11500,
2014-04-02,3500,11500,
2014-04-03,3500,11500,
2014-04-04,3500,11600,
2014-04-05,3500,11600,
2014-04-06,3500,11600,
2014-04-07,3500,11600,
2014-04-08,3500,11600,
2014-04-09,3600,11700,
2014-04-10,3600,11700,
2014-04-11,3600,11700,
2014-04-12,3600,11700,
2014-04-13,3600,11800,
2014-04-14,3600,11800,
2014-04-15,3600,11900,
2014-04-16,3700,11900,
2014-04-17,3700,11900,
2014-04-18,3700,11900,
2014-04-19,3800,11900,
2014-04-20,3800,12000,
2014-04-21,3800,12000,
2014-04-22,3800,12000,
2014-04-23,3800,12000,
2014-04-24,3800,12100,
2014-04-25,3800,12100,
2014-04-26,3800,12100,
2014-04-27,3800,12200,
2014-04-28,3800,12200,
2014-04-29,3800,12200,
2014-04-30,3900,12200,
2014-05-01,3900,12200,
2014-05-02,3900,12300,
2014-05-03,3900,12300,
2014-05-04,3900,12400,
2014-05-05,3900,12500,
2014-05-06,3900,12500,
2014-05-07,3900,12500,
2014-05-08,3900,12600,
2014-05-09,3900,12600,
2014-05-10,3900,12700,
2014-05-11,3900,12700,
2014-05-12,3900,12700,
2014-05-13,3900,12800,
2014-05-14,3900,12800,
2014-05-15,3900,12800,
2014-05-16,3900,12800,
2014-05-17,4000,12800,
2014-05-18,4000,12800,
2014-05-19,4000,12800,
2014-05-20,4000,12900,
2014-05-21,4000,12900,
2014-05-22,4000,12900,
2014-05-23,4000,12900,
2014-05-24,4000,12900,
2014-05-25,4000,12900,
2014-05-26,4000,12900,
2014-05-27,4000,13000,
2014-05-28,4000,13000,
2014-05-29,4100,13000,
2014-05-30,4100,13100,
2014-05-31,4100,13100,
2014-06-01,4100,13200,
2014-06-02,4100,13200,
2014-06-03,4100,13200,
2014-06-04,4100,13300,
2014-06-05,4100,13300,
2014-06-06,4200,13400,
2014-06-07,4200,13400,
2014-06-08,4200,13500,
2014-06-09,4200,13500,
2014-06-10,4200,13500,
2014-06-11,4200,13500,
2014-06-12,4300,13500,
2014-06-13,4300,13500,
2014-06-14,4300,13500,
2014-06-15,4300,13600,
2014-06-16,4400,13700,
2014-06-17,4400,13800,
2014-06-18,4400,13800,
2014-06-19,4400,13800,
2014-06-20,4400,13800,
2014-06-21,4400,13800,
2014-06-22,4400,13800,
2014-06-23,4400,13800,
2014-06-24,4400,13800,
2014-06-25,4500,13800,
2014-06-26,4500,13800,
2014-06-27,4500,13800,
2014-06-28,4500,13900,
2014-06-29,4500,13900,
2014-06-30,4500,13900,
2014-07-01,4500,13900,
2014-07-02,4500,13900,
2014-07-03,4500,13900,
2014-07-04,4600,14000,
2014-07-05,4600,14000,
2014-07-06,4600,14000,
2014-07-07,4600,14000,
2014-07-08,4600,14100,
2014-07-09,4600,14100,
2014-07-10,4600,14100,
2014-07-11,4600,14100,
2014-07-12,4600,14100,
2014-07-13,4600,14100,
2014-07-14,4600,14200,
2014-07-15,4600,14200,
2014-07-16,4600,14200,
2014-07-17,4600,14200,
2014-07-18,4600,14200,
2014-07-19,4600,14200,
2014-07-20,4600,14300,
2014-07-21,4600,14300,
2014-07-22,4600,14400,
2014-07-23,4600,14400,
2014-07-24,4600,14500,
2014-07-25,4600,14500,
2014-07-26,4600,14600,
2014-07-27,4600,14600,
2014-07-28,4600,14600,
2014-07-29,4700,14600,
2014-07-30,4700,14600,
2014-07-31,4700,14700,
2014-08-01,4700,14800,
2014-08-02,4700,14900,
2014-08-03,4700,15000,
2014-08-04,4700,15000,
2014-08-05,4700,15000,
2014-08-06,4700,15000,
2014-08-07,4700,15000,
2014-08-08,4700,15000,
2014-08-09,4700,15000,
2014-08-10,4700,15100,
2014-08-11,4700,15100,
2014-08-12,4700,15100,
2014-08-13,4700,15100,
2014-08-14,4700,15300,
2014-08-15,4700,15300,
2014-08-16,4800,15300,
2014-08-17,4800,15300,
2014-08-18,4800,15300,
2014-08-19,4800,15300,
2014-08-20,4800,15400,
2014-08-21,4800,15500,
2014-08-22,4800,15500,
2014-08-23,4800,15500,
2014-08-24,4800,15500,
2014-08-25,4800,15500,
2014-08-26,4800,15500,
2014-08-27,4800,15500,
2014-08-28,4800,15500,
2014-08-29,4800,15600,
2014-08-30,4800,15700,
2014-08-31,4800,15700,
2014-09-01,4800,15700,
2014-09-02,4800,15700,
2014-09-03,4800,15700,
2014-09-04,4800,15800,
2014-09-05,4800,15800,
2014-09-06,4800,15800,
2014-09-07,4800,15800,
2014-09-08,4800,15800,
2014-09-09,4800,15800,
2014-09-10,4800,15900,
2014-09-11,4800,15900,
2014-09-12,4800,15900,
2014-09-13,4800,16100,
2014-09-14,4800,16100,
2014-09-15,4800,16100,
2014-09-16,4800,16100,
2014-09-17,4800,16100,
2014-09-18,4800,16100,
2014-09-19,4900,16100,
2014-09-20,4900,16100,
2014-09-21,4900,16100,
2014-09-22,4900,16100,
2014-09-23,4900,16100,
2014-09-24,4900,16100,
2014-09-25,4900,16100,
2014-09-26,4900,16200,
2014-09-27,4900,16200,
2014-09-28,4900,16300,
2014-09-29,4900,16300,
2014-09-30,5000,16400,
2014-10-01,5000,16400,
2014-10-02,5000,16500,
2014-10-03,5000,16600,
2014-10-04,5000,16700,
2014-10-05,5000,16700,
2014-10-06,5000,16700,
2014-10-07,5000,16800,
2014-10-08,5000,16800,
2014-10-09,5000,16800,
2014-10-10,5000,16800,
2014-10-11,5000,16800,
2014-10-12,5000,16800,
2014-10-13,5000,16800,
2014-10-14,5000,16800,
2014-10-15,5000,16800,
2014-10-16,5000,16800,
2014-10-17,5000,16800,
2014-10-18,5000,16900,
2014-10-19,5000,16900,
2014-10-20,5000,16900,
2014-10-21,5000,16900,
2014-10-22,5000,16900,
2014-10-23,5000,16900,
2014-10-24,5000,16900,
2014-10-25,5000,17000,
2014-10-26,5000,17100,
2014-10-27,5000,17200,
2014-10-28,5000,17200,
2014-10-29,5000,17200,
2014-10-30,5000,17300,
2014-10-31,5000,17300,
2014-11-01,5000,17300,
2014-11-02,5000,17300,
2014-11-03,5000,17300,
2014-11-04,5000,17300,
2014-11-05,5000,17300,
2014-11-06,5000,17300,
2014-11-07,5000,17400,
2014-11-08,5000,17400,
2014-11-09,5000,17400,
2014-11-10,5000,17400,
2014-11-11,5000,17400,
2014-11-12,5000,17400,
2014-11-13,5000,17400,
2014-11-14,5000,17400,
2014-11-15,5000,17500,
2014-11-16,5000,17500,
2014-11-17,5000,17500,
2014-11-18,5000,17500,
2014-11-19,5000,17500,
2014-11-20,5000,17500,
2014-11-21,5000,17500,
2014-11-22,5000,17500,
2014-11-23,5000,17500,
2014-11-24,5000,17500,
2014-11-25,5000,17500,
2014-11-26,5000,17600,
2014-11-27,5100,17600,
2014-11-28,5100,17600,
2014-11-29,5100,17600,
2014-11-30,5100,17600,
2014-12-01,5100,17600,
2014-12-02,5100,17700,
2014-12-03,5100,17700,
2014-12-04,5100,17700,
2014-12-05,5100,17700,
2014-12-06,5100,17700,
2014-12-07,5100,17700,
2014-12-08,5100,17700,
2014-12-09,5100,17700,
2014-12-10,5100,17700,
2014-12-11,5100,17700,
2014-12-12,5200,17800,
2014-12-13,5200,17800,
2014-12-14,5200,17800,
2014-12-15,5200,17800,
2014-12-16,5200,17900,
2014-12-17,5200,17900,
2014-12-18,5200,17900,
2014-12-19,5200,17900,
2014-12-20,5200,18000,
2014-12-21,5200,18100,
2014-12-22,5200,18100,
