Date,'',PS4 player count,PS Vita player count
2015-09-01,,5800,100
2015-09-02,,25700,500
2015-09-03,,46200,1100
2015-09-04,,68000,1700
2015-09-05,,95100,1900
2015-09-06,,120200,2300
2015-09-07,,139400,2600
2015-09-08,,156500,3100
2015-09-09,,169800,3300
2015-09-10,,183000,3600
2015-09-11,,195300,3600
2015-09-12,,212900,3700
2015-09-13,,229300,3900
2015-09-14,,242200,3900
2015-09-15,,253600,4000
2015-09-16,,264200,4300
2015-09-17,,273800,4400
2015-09-18,,285200,4700
2015-09-19,,299500,4800
2015-09-20,,314800,4800
2015-09-21,,323300,4900
2015-09-22,,332700,5100
2015-09-23,,342200,5200
2015-09-24,,350700,5500
2015-09-25,,360700,5600
2015-09-26,,373500,5800
2015-09-27,,386800,5900
2015-09-28,,394800,6000
2015-09-29,,402000,6200
2015-09-30,,410800,6400
2015-10-01,,421400,6500
2015-10-02,,431800,6700
2015-10-03,,445500,6800
2015-10-04,,456900,7200
2015-10-05,,465800,7200
2015-10-06,,475000,7500
2015-10-07,,482500,7600
2015-10-08,,490700,8500
2015-10-09,,498800,9300
2015-10-10,,508200,9400
2015-10-11,,516200,9900
2015-10-12,,522100,10200
2015-10-13,,528500,10400
2015-10-14,,533300,10600
2015-10-15,,538300,10900
2015-10-16,,543300,11300
2015-10-17,,549700,11800
2015-10-18,,555700,11900
2015-10-19,,558700,12000
2015-10-20,,562000,12100
2015-10-21,,564700,12200
2015-10-22,,568300,12400
2015-10-23,,573000,12800
2015-10-24,,578200,12900
2015-10-25,,583100,13000
2015-10-26,,586100,13100
2015-10-27,,589200,13200
2015-10-28,,592900,13300
2015-10-29,,595900,13500
2015-10-30,,598300,13600
2015-10-31,,601700,13700
2015-11-01,,605200,13800
2015-11-02,,608300,13800
2015-11-03,,611800,13900
2015-11-04,,614700,14100
2015-11-05,,617800,14200
2015-11-06,,621200,14300
2015-11-07,,625700,14300
2015-11-08,,629000,14500
2015-11-09,,631600,14500
2015-11-10,,635000,14500
2015-11-11,,637300,14500
2015-11-12,,640000,14600
2015-11-13,,642600,14600
2015-11-14,,646300,14600
2015-11-15,,649600,14600
2015-11-16,,651700,14600
2015-11-17,,653700,14800
2015-11-18,,655700,14800
2015-11-19,,657600,14800
2015-11-20,,659800,14800
2015-11-21,,662500,15000
2015-11-22,,665900,15100
2015-11-23,,667800,15100
2015-11-24,,669900,15100
2015-11-25,,672000,15100
2015-11-26,,674000,15100
2015-11-27,,676100,15300
2015-11-28,,678900,15400
2015-11-29,,680400,15500
2015-11-30,,681900,15500
2015-12-01,,683400,15500
2015-12-02,,685200,15500
2015-12-03,,686600,15500
2015-12-04,,688700,15500
2015-12-05,,691200,15600
2015-12-06,,693400,15600
2015-12-07,,695100,15600
2015-12-08,,696300,15600
2015-12-09,,697700,15600
2015-12-10,,699200,15600
2015-12-11,,700700,15600
2015-12-12,,702800,15600
2015-12-13,,704500,15600
2015-12-14,,705500,15600
2015-12-15,,707000,15700
2015-12-16,,708200,15700
2015-12-17,,709300,15700
2015-12-18,,710700,15700
2015-12-19,,712300,15700
2015-12-20,,714000,15700
2015-12-21,,715000,15700
2015-12-22,,716500,15800
2015-12-23,,718100,15800
2015-12-24,,719800,15900
2015-12-25,,721600,16000
2015-12-26,,723500,16000
2015-12-27,,725900,16000
2015-12-28,,727500,16100
2015-12-29,,729400,16100
2015-12-30,,731000,16200
2015-12-31,,732800,16200
2016-01-01,,734100,16200
2016-01-02,,735400,16200
2016-01-03,,737100,16200
2016-01-04,,737900,16300
2016-01-05,,739200,16300
2016-01-06,,740600,16300
2016-01-07,,741400,16300
2016-01-08,,742700,16400
2016-01-09,,744200,16500
2016-01-10,,745600,16500
2016-01-11,,746500,16600
2016-01-12,,747600,16600
2016-01-13,,748600,16600
2016-01-14,,749800,16600
2016-01-15,,750700,16600
2016-01-16,,751800,16600
2016-01-17,,753200,16600
2016-01-18,,754200,16600
2016-01-19,,754800,16600
2016-01-20,,755200,16700
2016-01-21,,756000,16700
2016-01-22,,757100,16700
2016-01-23,,758600,16700
2016-01-24,,759500,16700
2016-01-25,,760300,16700
2016-01-26,,760900,16700
2016-01-27,,761600,16700
2016-01-28,,762300,16700
2016-01-29,,762900,16700
2016-01-30,,764500,16700
2016-01-31,,765600,16700
2016-02-01,,766500,16700
2016-02-02,,767200,16700
2016-02-03,,767800,16700
2016-02-04,,768300,16700
2016-02-05,,769000,16700
2016-02-06,,770400,16700
2016-02-07,,771400,16700
2016-02-08,,772400,16700
2016-02-09,,773300,16700
2016-02-10,,773900,16700
2016-02-11,,774600,16700
2016-02-12,,775100,16700
2016-02-13,,776000,16700
2016-02-14,,776800,16700
2016-02-15,,777500,16700
2016-02-16,,778400,16800
2016-02-17,,779200,16900
2016-02-18,,779800,16900
2016-02-19,,780300,16900
2016-02-20,,780900,16900
2016-02-21,,781600,17000
2016-02-22,,782200,17000
2016-02-23,,782900,17000
2016-02-24,,783500,17000
2016-02-25,,783700,17000
2016-02-26,,784300,17100
2016-02-27,,784900,17100
2016-02-28,,785600,17100
2016-02-29,,786400,17100
2016-03-01,,787100,17100
2016-03-02,,787700,17100
2016-03-03,,788300,17100
2016-03-04,,788700,17100
2016-03-05,,789500,17200
2016-03-06,,790100,17200
2016-03-07,,790500,17200
2016-03-08,,790900,17200
2016-03-09,,791400,17200
2016-03-10,,791800,17200
2016-03-11,,792600,17300
