Date,'',PS4 player count,
2016-05-03,,16800,
2016-05-04,,58500,
2016-05-05,,110900,
2016-05-06,,163100,
2016-05-07,,226800,
2016-05-08,,291800,
2016-05-09,,337600,
2016-05-10,,387500,
2016-05-11,,441500,
2016-05-12,,487600,
2016-05-13,,538400,
2016-05-14,,601300,
2016-05-15,,668200,
2016-05-16,,714700,
2016-05-17,,754700,
2016-05-18,,794300,
2016-05-19,,833300,
2016-05-20,,874800,
2016-05-21,,932400,
2016-05-22,,986000,
2016-05-23,,1026500,
2016-05-24,,1063500,
2016-05-25,,1097900,
2016-05-26,,1133800,
2016-05-27,,1175500,
2016-05-28,,1224600,
2016-05-29,,1269600,
2016-05-30,,1309500,
2016-05-31,,1344700,
2016-06-01,,1382300,
2016-06-02,,1419500,
2016-06-03,,1460300,
2016-06-04,,1506900,
2016-06-05,,1549800,
2016-06-06,,1584100,
2016-06-07,,1622400,
2016-06-08,,1656300,
2016-06-09,,1684200,
2016-06-10,,1714300,
2016-06-11,,1746800,
2016-06-12,,1776200,
2016-06-13,,1798000,
2016-06-14,,1820800,
2016-06-15,,1842900,
2016-06-16,,1861600,
2016-06-17,,1881500,
2016-06-18,,1905000,
2016-06-19,,1925600,
2016-06-20,,1941600,
2016-06-21,,1955500,
2016-06-22,,1969000,
2016-06-23,,1983900,
2016-06-24,,1998900,
2016-06-25,,2014200,
2016-06-26,,2030900,
2016-06-27,,2043700,
2016-06-28,,2056400,
2016-06-29,,2069700,
2016-06-30,,2081000,
2016-07-01,,2093800,
2016-07-02,,2106300,
2016-07-03,,2119000,
2016-07-04,,2129900,
2016-07-05,,2140500,
2016-07-06,,2151300,
2016-07-07,,2161700,
2016-07-08,,2173200,
2016-07-09,,2187100,
2016-07-10,,2198600,
2016-07-11,,2210000,
2016-07-12,,2223100,
2016-07-13,,2233400,
2016-07-14,,2243300,
2016-07-15,,2253200,
2016-07-16,,2264300,
2016-07-17,,2275900,
2016-07-18,,2285100,
2016-07-19,,2292600,
2016-07-20,,2300700,
2016-07-21,,2309200,
2016-07-22,,2316400,
2016-07-23,,2324800,
2016-07-24,,2335200,
2016-07-25,,2342900,
2016-07-26,,2350900,
2016-07-27,,2359100,
2016-07-28,,2366900,
2016-07-29,,2373600,
2016-07-30,,2382800,
2016-07-31,,2390800,
2016-08-01,,2397000,
2016-08-02,,2404100,
2016-08-03,,2410800,
2016-08-04,,2417000,
2016-08-05,,2423200,
2016-08-06,,2430600,
2016-08-07,,2437400,
2016-08-08,,2442500,
2016-08-09,,2448200,
2016-08-10,,2454200,
2016-08-11,,2461000,
2016-08-12,,2467300,
2016-08-13,,2473900,
2016-08-14,,2480800,
2016-08-15,,2486000,
2016-08-16,,2491900,
2016-08-17,,2497500,
