Date,PS3 player count,PS4 player count,
2014-11-25,0,0,
2014-11-26,100,500,
2014-11-27,200,1000,
2014-11-28,500,1500,
2014-11-29,500,1900,
2014-11-30,600,2500,
2014-12-01,600,2600,
2014-12-02,800,3000,
2014-12-03,1000,3100,
2014-12-04,1000,3700,
2014-12-05,1100,4000,
2014-12-06,1300,4600,
2014-12-07,1500,5000,
2014-12-08,1600,5300,
2014-12-09,1900,5600,
2014-12-10,2000,6100,
2014-12-11,2100,6400,
2014-12-12,2200,6500,
2014-12-13,2300,7000,
2014-12-14,2500,7400,
2014-12-15,2800,7700,
2014-12-16,2900,7900,
2014-12-17,3200,8300,
2014-12-18,3300,8600,
2014-12-19,3400,8800,
2014-12-20,3400,8800,
2014-12-21,3400,9400,
2014-12-22,3500,9600,
2014-12-23,3600,9800,
2014-12-24,3700,10200,
2014-12-25,3700,10600,
2014-12-26,3800,10800,
2014-12-27,4000,11200,
2014-12-28,4100,11800,
2014-12-29,4100,12600,
2014-12-30,4600,13100,
2014-12-31,4800,13500,
2015-01-01,5100,13800,
2015-01-02,5200,14000,
2015-01-03,5500,14400,
2015-01-04,5700,14700,
2015-01-05,5700,14900,
2015-01-06,5900,15100,
2015-01-07,5900,15300,
2015-01-08,6000,15600,
2015-01-09,6100,16000,
2015-01-10,6100,16100,
2015-01-11,6300,16400,
2015-01-12,6300,16700,
2015-01-13,6500,16900,
2015-01-14,6600,17100,
2015-01-15,6600,17200,
2015-01-16,6700,17500,
2015-01-17,6700,17700,
2015-01-18,6900,18300,
2015-01-19,6900,18400,
2015-01-20,6900,18700,
2015-01-21,6900,18900,
2015-01-22,7100,19000,
2015-01-23,7100,19300,
2015-01-24,7100,19700,
2015-01-25,7200,20200,
2015-01-26,7300,20500,
2015-01-27,7400,20800,
2015-01-28,7400,21100,
2015-01-29,7400,21500,
2015-01-30,7600,21900,
2015-01-31,7600,22500,
2015-02-01,7800,22800,
2015-02-02,7800,22900,
2015-02-03,8000,23200,
2015-02-04,8000,23300,
2015-02-05,8000,23300,
2015-02-06,8000,23400,
2015-02-07,8100,23700,
2015-02-08,8200,24100,
2015-02-09,8200,24200,
2015-02-10,8300,24200,
2015-02-11,8500,24400,
2015-02-12,8500,24600,
2015-02-13,8500,24700,
2015-02-14,8500,24900,
2015-02-15,8600,25100,
2015-02-16,8700,25300,
2015-02-17,8700,25500,
2015-02-18,8700,25700,
2015-02-19,8700,26000,
2015-02-20,8700,26200,
2015-02-21,8800,26400,
2015-02-22,8800,26500,
2015-02-23,8800,26700,
2015-02-24,8900,26900,
2015-02-25,8900,27100,
2015-02-26,8900,27300,
2015-02-27,9100,27400,
2015-02-28,9100,27500,
2015-03-01,9100,27700,
2015-03-02,9100,27800,
2015-03-03,9200,27900,
2015-03-04,9200,28100,
2015-03-05,9300,28100,
2015-03-06,9300,28200,
2015-03-07,9300,28300,
2015-03-08,9300,28400,
2015-03-09,9300,28600,
2015-03-10,9300,28900,
2015-03-11,9300,29200,
2015-03-12,9300,29400,
2015-03-13,9300,29500,
2015-03-14,9400,29600,
2015-03-15,9400,29700,
2015-03-16,9400,29900,
2015-03-17,9400,29900,
2015-03-18,9400,30300,
2015-03-19,9600,30500,
2015-03-20,9700,30800,
2015-03-21,9900,31200,
2015-03-22,10000,31600,
