Date,'',PS4 player count,
2015-09-07,,100,
2015-09-08,,300,
2015-09-09,,700,
2015-09-10,,1100,
2015-09-11,,1400,
2015-09-12,,2000,
2015-09-13,,2700,
2015-09-14,,3000,
2015-09-15,,3200,
2015-09-16,,3800,
2015-09-17,,4000,
2015-09-18,,4400,
2015-09-19,,4800,
2015-09-20,,5500,
2015-09-21,,5900,
2015-09-22,,6200,
2015-09-23,,6500,
2015-09-24,,6800,
2015-09-25,,6900,
2015-09-26,,7300,
2015-09-27,,7700,
2015-09-28,,8100,
2015-09-29,,8400,
2015-09-30,,8700,
2015-10-01,,9100,
2015-10-02,,9500,
2015-10-03,,9800,
2015-10-04,,10300,
2015-10-05,,10800,
2015-10-06,,11200,
2015-10-07,,11400,
2015-10-08,,11500,
2015-10-09,,11800,
2015-10-10,,12300,
2015-10-11,,12600,
2015-10-12,,12800,
2015-10-13,,13000,
2015-10-14,,13200,
2015-10-15,,13400,
2015-10-16,,13500,
2015-10-17,,13600,
2015-10-18,,13800,
2015-10-19,,14100,
2015-10-20,,14500,
2015-10-21,,14500,
2015-10-22,,14700,
2015-10-23,,14800,
2015-10-24,,15100,
2015-10-25,,15300,
2015-10-26,,15500,
2015-10-27,,15600,
2015-10-28,,15800,
2015-10-29,,16000,
2015-10-30,,16100,
2015-10-31,,16200,
2015-11-01,,16400,
2015-11-02,,16600,
2015-11-03,,16700,
2015-11-04,,17000,
2015-11-05,,17200,
2015-11-06,,17400,
2015-11-07,,17800,
2015-11-08,,18100,
2015-11-09,,18400,
2015-11-10,,18500,
2015-11-11,,18700,
2015-11-12,,19000,
2015-11-13,,19100,
2015-11-14,,19200,
2015-11-15,,19300,
2015-11-16,,19500,
2015-11-17,,19600,
2015-11-18,,19900,
2015-11-19,,20000,
2015-11-20,,20200,
2015-11-21,,20400,
2015-11-22,,20800,
2015-11-23,,20900,
2015-11-24,,21000,
2015-11-25,,21100,
2015-11-26,,21200,
2015-11-27,,21400,
2015-11-28,,21600,
2015-11-29,,22000,
2015-11-30,,22200,
2015-12-01,,22500,
2015-12-02,,22800,
2015-12-03,,23100,
2015-12-04,,23400,
2015-12-05,,23800,
2015-12-06,,24100,
2015-12-07,,24400,
2015-12-08,,24600,
2015-12-09,,25000,
2015-12-10,,25100,
2015-12-11,,25400,
2015-12-12,,25600,
2015-12-13,,26000,
2015-12-14,,26300,
2015-12-15,,26700,
2015-12-16,,26800,
2015-12-17,,27100,
2015-12-18,,27300,
2015-12-19,,27600,
2015-12-20,,28300,
2015-12-21,,28500,
2015-12-22,,28600,
2015-12-23,,28900,
2015-12-24,,29300,
2015-12-25,,30600,
2015-12-26,,32000,
2015-12-27,,32900,
2015-12-28,,34300,
2015-12-29,,35100,
2015-12-30,,35800,
2015-12-31,,36400,
2016-01-01,,37300,
2016-01-02,,38200,
2016-01-03,,39100,
2016-01-04,,39500,
2016-01-05,,40200,
2016-01-06,,40900,
2016-01-07,,41400,
2016-01-08,,42200,
2016-01-09,,42900,
2016-01-10,,43800,
2016-01-11,,44200,
2016-01-12,,44600,
2016-01-13,,45100,
2016-01-14,,45600,
2016-01-15,,46100,
2016-01-16,,47000,
2016-01-17,,47800,
2016-01-18,,48200,
2016-01-19,,48700,
2016-01-20,,49200,
2016-01-21,,49600,
2016-01-22,,49700,
2016-01-23,,50200,
2016-01-24,,50900,
2016-01-25,,51400,
2016-01-26,,51700,
2016-01-27,,52100,
2016-01-28,,52800,
2016-01-29,,52900,
2016-01-30,,53500,
2016-01-31,,53900,
2016-02-01,,54300,
2016-02-02,,54600,
2016-02-03,,55000,
2016-02-04,,55400,
2016-02-05,,56000,
2016-02-06,,56700,
2016-02-07,,57400,
2016-02-08,,57600,
2016-02-09,,58100,
2016-02-10,,58300,
2016-02-11,,58700,
2016-02-12,,59100,
2016-02-13,,59500,
2016-02-14,,60200,
2016-02-15,,60600,
2016-02-16,,60900,
2016-02-17,,61300,
2016-02-18,,61700,
2016-02-19,,62000,
2016-02-20,,62600,
2016-02-21,,63200,
2016-02-22,,63500,
2016-02-23,,63700,
2016-02-24,,64000,
2016-02-25,,64200,
2016-02-26,,64600,
2016-02-27,,65300,
2016-02-28,,65800,
2016-02-29,,66100,
2016-03-01,,66200,
2016-03-02,,66500,
2016-03-03,,66800,
2016-03-04,,67200,
2016-03-05,,67700,
2016-03-06,,68200,
2016-03-07,,68400,
2016-03-08,,68800,
2016-03-09,,69000,
2016-03-10,,69400,
2016-03-11,,69500,
2016-03-12,,70100,
2016-03-13,,70600,
2016-03-14,,70900,
2016-03-15,,71100,
2016-03-16,,71200,
2016-03-17,,71400,
2016-03-18,,71900,
2016-03-19,,72500,
2016-03-20,,73000,
2016-03-21,,73300,
2016-03-22,,73400,
2016-03-23,,73800,
2016-03-24,,74100,
2016-03-25,,74600,
2016-03-26,,75100,
2016-03-27,,75500,
2016-03-28,,75800,
2016-03-29,,76100,
2016-03-30,,76600,
2016-03-31,,77000,
2016-04-01,,77100,
2016-04-02,,77400,
2016-04-03,,77900,
2016-04-04,,78000,
2016-04-05,,78300,
2016-04-06,,78600,
2016-04-07,,79000,
2016-04-08,,79300,
2016-04-09,,79600,
2016-04-10,,80100,
2016-04-11,,80400,
2016-04-12,,80700,
2016-04-13,,81000,
2016-04-14,,81300,
2016-04-15,,81700,
2016-04-16,,82500,
2016-04-17,,82800,
2016-04-18,,83200,
2016-04-19,,83700,
2016-04-20,,84100,
2016-04-21,,84300,
2016-04-22,,84400,
2016-04-23,,85100,
2016-04-24,,85900,
2016-04-25,,86500,
2016-04-26,,86800,
2016-04-27,,87100,
2016-04-28,,87300,
2016-04-29,,87900,
2016-04-30,,88600,
2016-05-01,,89200,
2016-05-02,,89500,
2016-05-03,,90000,
2016-05-04,,90300,
2016-05-05,,90600,
2016-05-06,,90800,
2016-05-07,,91300,
2016-05-08,,91800,
2016-05-09,,92200,
2016-05-10,,92600,
2016-05-11,,92800,
2016-05-12,,93200,
2016-05-13,,93600,
2016-05-14,,94300,
2016-05-15,,95000,
2016-05-16,,95500,
2016-05-17,,95600,
2016-05-18,,95800,
2016-05-19,,96000,
2016-05-20,,96400,
2016-05-21,,96600,
2016-05-22,,97000,
2016-05-23,,97400,
2016-05-24,,97700,
2016-05-25,,98100,
2016-05-26,,98500,
2016-05-27,,98700,
2016-05-28,,99400,
2016-05-29,,99500,
2016-05-30,,99700,
2016-05-31,,99900,
2016-06-01,,100500,
2016-06-02,,100700,
2016-06-03,,101100,
2016-06-04,,101900,
2016-06-05,,102600,
2016-06-06,,102900,
2016-06-07,,103400,
2016-06-08,,103700,
2016-06-09,,104000,
2016-06-10,,104400,
2016-06-11,,104900,
2016-06-12,,105500,
2016-06-13,,105600,
2016-06-14,,106000,
2016-06-15,,106200,
2016-06-16,,106600,
2016-06-17,,106800,
2016-06-18,,107300,
2016-06-19,,108200,
2016-06-20,,108600,
2016-06-21,,108800,
2016-06-22,,109000,
2016-06-23,,109400,
2016-06-24,,109600,
2016-06-25,,110000,
2016-06-26,,110500,
2016-06-27,,110900,
2016-06-28,,111100,
2016-06-29,,111400,
2016-06-30,,111600,
2016-07-01,,112100,
2016-07-02,,112500,
2016-07-03,,112800,
2016-07-04,,113200,
2016-07-05,,113800,
2016-07-06,,114100,
2016-07-07,,114600,
2016-07-08,,114900,
2016-07-09,,115100,
2016-07-10,,115800,
2016-07-11,,116100,
2016-07-12,,116600,
2016-07-13,,116900,
2016-07-14,,117400,
2016-07-15,,117700,
2016-07-16,,118100,
2016-07-17,,118500,
2016-07-18,,118700,
2016-07-19,,118900,
2016-07-20,,119100,
2016-07-21,,119300,
2016-07-22,,119700,
2016-07-23,,120100,
2016-07-24,,120700,
2016-07-25,,121000,
2016-07-26,,121300,
2016-07-27,,121500,
2016-07-28,,121700,
2016-07-29,,122200,
2016-07-30,,122800,
2016-07-31,,123100,
2016-08-01,,123400,
2016-08-02,,123700,
2016-08-03,,123900,
2016-08-04,,124300,
2016-08-05,,124600,
2016-08-06,,124800,
2016-08-07,,125000,
2016-08-08,,125300,
2016-08-09,,125700,
2016-08-10,,126000,
2016-08-11,,126300,
2016-08-12,,126600,
2016-08-13,,127000,
2016-08-14,,127500,
2016-08-15,,128100,
2016-08-16,,128500,
2016-08-17,,128700,
2016-08-18,,128800,
2016-08-19,,129100,
2016-08-20,,129500,
2016-08-21,,129700,
2016-08-22,,130100,
2016-08-23,,130300,
2016-08-24,,130500,
2016-08-25,,130900,
2016-08-26,,131000,
2016-08-27,,131200,
2016-08-28,,131600,
2016-08-29,,131800,
2016-08-30,,131900,
2016-08-31,,132100,
2016-09-01,,132500,
2016-09-02,,132800,
2016-09-03,,133200,
2016-09-04,,133700,
2016-09-05,,133700,
2016-09-06,,133900,
2016-09-07,,134200,
2016-09-08,,134500,
2016-09-09,,134800,
2016-09-10,,135200,
2016-09-11,,135600,
2016-09-12,,135900,
2016-09-13,,136200,
2016-09-14,,136500,
2016-09-15,,136800,
2016-09-16,,137400,
2016-09-17,,138000,
2016-09-18,,138600,
2016-09-19,,139000,
2016-09-20,,139400,
2016-09-21,,139700,
2016-09-22,,139900,
2016-09-23,,140300,
2016-09-24,,140600,
2016-09-25,,141200,
2016-09-26,,141600,
2016-09-27,,142000,
2016-09-28,,142300,
2016-09-29,,142700,
2016-09-30,,143300,
2016-10-01,,143600,
2016-10-02,,144600,
2016-10-03,,144800,
2016-10-04,,145200,
2016-10-05,,145500,
2016-10-06,,145600,
2016-10-07,,145900,
2016-10-08,,146200,
2016-10-09,,146600,
2016-10-10,,146800,
2016-10-11,,147000,
2016-10-12,,147100,
2016-10-13,,147200,
2016-10-14,,147300,
2016-10-15,,147600,
2016-10-16,,147900,
2016-10-17,,148100,
2016-10-18,,148300,
2016-10-19,,148500,
2016-10-20,,148800,
2016-10-21,,149000,
2016-10-22,,149600,
2016-10-23,,149900,
2016-10-24,,150000,
2016-10-25,,150100,
2016-10-26,,150300,
2016-10-27,,150400,
2016-10-28,,150800,
2016-10-29,,151200,
2016-10-30,,151800,
2016-10-31,,152100,
2016-11-01,,152200,
2016-11-02,,152500,
2016-11-03,,152800,
2016-11-04,,153000,
2016-11-05,,153400,
2016-11-06,,154300,
2016-11-07,,154400,
2016-11-08,,154500,
2016-11-09,,154800,
2016-11-10,,155000,
2016-11-11,,155100,
2016-11-12,,155400,
2016-11-13,,156200,
2016-11-14,,156400,
2016-11-15,,156500,
2016-11-16,,156600,
2016-11-17,,156900,
2016-11-18,,157000,
2016-11-19,,157200,
2016-11-20,,157500,
2016-11-21,,157600,
2016-11-22,,157700,
2016-11-23,,157900,
2016-11-24,,158200,
2016-11-25,,158500,
2016-11-26,,159100,
2016-11-27,,159500,
2016-11-28,,160000,
2016-11-29,,160400,
2016-11-30,,160600,
2016-12-01,,160900,
2016-12-02,,161400,
2016-12-03,,161700,
2016-12-04,,162200,
2016-12-05,,162400,
2016-12-06,,162700,
2016-12-07,,163000,
2016-12-08,,163300,
2016-12-09,,163400,
2016-12-10,,163700,
2016-12-11,,164200,
2016-12-12,,164600,
2016-12-13,,164800,
2016-12-14,,165100,
2016-12-15,,165500,
2016-12-16,,165800,
2016-12-17,,166500,
2016-12-18,,166700,
2016-12-19,,167100,
2016-12-20,,167600,
2016-12-21,,167800,
2016-12-22,,168100,
2016-12-23,,168700,
2016-12-24,,169000,
2016-12-25,,169800,
2016-12-26,,170500,
2016-12-27,,171200,
2016-12-28,,172000,
