Date,'',PS4 player count,
2017-07-04,,6000,
2017-07-05,,23500,
2017-07-06,,42400,
2017-07-07,,60200,
2017-07-08,,81900,
2017-07-09,,103800,
2017-07-10,,119900,
2017-07-11,,134000,
2017-07-12,,149300,
2017-07-13,,164700,
2017-07-14,,180300,
2017-07-15,,199900,
2017-07-16,,216100,
2017-07-17,,231900,
2017-07-18,,245400,
2017-07-19,,258900,
2017-07-20,,273200,
2017-07-21,,288200,
2017-07-22,,304600,
2017-07-23,,320400,
2017-07-24,,334300,
2017-07-25,,346200,
2017-07-26,,356300,
2017-07-27,,367700,
2017-07-28,,380200,
2017-07-29,,393800,
2017-07-30,,408600,
2017-07-31,,419400,
2017-08-01,,430000,
2017-08-02,,441900,
2017-08-03,,452700,
2017-08-04,,463500,
2017-08-05,,475200,
2017-08-06,,489100,
2017-08-07,,498600,
2017-08-08,,507900,
2017-08-09,,516200,
2017-08-10,,524900,
2017-08-11,,534500,
2017-08-12,,545300,
2017-08-13,,554200,
2017-08-14,,562400,
2017-08-15,,571500,
2017-08-16,,579200,
2017-08-17,,586400,
2017-08-18,,595000,
2017-08-19,,606300,
2017-08-20,,617300,
2017-08-21,,624600,
2017-08-22,,632400,
2017-08-23,,639100,
2017-08-24,,647300,
2017-08-25,,657000,
2017-08-26,,669800,
2017-08-27,,680900,
2017-08-28,,690000,
2017-08-29,,698700,
2017-08-30,,707500,
2017-08-31,,715500,
2017-09-01,,725000,
2017-09-02,,737900,
2017-09-03,,750000,
2017-09-04,,758800,
2017-09-05,,766200,
2017-09-06,,772300,
2017-09-07,,778800,
2017-09-08,,787400,
2017-09-09,,798700,
2017-09-10,,809400,
2017-09-11,,816400,
2017-09-12,,822400,
2017-09-13,,827100,
2017-09-14,,831500,
2017-09-15,,837700,
2017-09-16,,848400,
2017-09-17,,856600,
2017-09-18,,860600,
2017-09-19,,863700,
2017-09-20,,867900,
2017-09-21,,872300,
2017-09-22,,877100,
2017-09-23,,885900,
2017-09-24,,893400,
2017-09-25,,897400,
2017-09-26,,901400,
2017-09-27,,905600,
2017-09-28,,909500,
2017-09-29,,914300,
2017-09-30,,923800,
2017-10-01,,932200,
2017-10-02,,936000,
2017-10-03,,939700,
2017-10-04,,944500,
2017-10-05,,948600,
2017-10-06,,953600,
2017-10-07,,962100,
2017-10-08,,970800,
2017-10-09,,975100,
2017-10-10,,978000,
2017-10-11,,980400,
2017-10-12,,983600,
2017-10-13,,989000,
2017-10-14,,996600,
2017-10-15,,1003800,
2017-10-16,,1006500,
2017-10-17,,1009100,
2017-10-18,,1011900,
2017-10-19,,1014700,
2017-10-20,,1020600,
2017-10-21,,1029100,
2017-10-22,,1037500,
2017-10-23,,1042900,
2017-10-24,,1046900,
2017-10-25,,1051100,
2017-10-26,,1055300,
2017-10-27,,1060300,
2017-10-28,,1068600,
2017-10-29,,1076000,
2017-10-30,,1080800,
2017-10-31,,1086100,
2017-11-01,,1091100,
2017-11-02,,1095700,
2017-11-03,,1101500,
2017-11-04,,1111300,
2017-11-05,,1119800,
2017-11-06,,1123000,
2017-11-07,,1126800,
2017-11-08,,1130000,
2017-11-09,,1133100,
2017-11-10,,1138100,
2017-11-11,,1148000,
2017-11-12,,1156500,
2017-11-13,,1160100,
2017-11-14,,1163100,
2017-11-15,,1166400,
2017-11-16,,1169100,
2017-11-17,,1173200,
2017-11-18,,1181600,
2017-11-19,,1188600,
2017-11-20,,1191300,
2017-11-21,,1193600,
2017-11-22,,1196700,
2017-11-23,,1200900,
2017-11-24,,1207600,
2017-11-25,,1217800,
2017-11-26,,1227200,
2017-11-27,,1231000,
2017-11-28,,1236000,
2017-11-29,,1240000,
2017-11-30,,1244300,
2017-12-01,,1249700,
2017-12-02,,1260500,
2017-12-03,,1270900,
2017-12-04,,1275100,
2017-12-05,,1279500,
2017-12-06,,1284900,
2017-12-07,,1290600,
