Date,'',PS4 player count,PS Vita player count
2014-11-04,,1000,200
2014-11-05,,11400,1100
2014-11-06,,31400,3300
2014-11-07,,51700,5200
2014-11-08,,76300,6100
2014-11-09,,99500,8100
2014-11-10,,115100,10100
2014-11-11,,134600,11200
2014-11-12,,149000,12600
2014-11-13,,163800,13500
2014-11-14,,178900,14300
2014-11-15,,198800,15100
2014-11-16,,219000,16000
2014-11-17,,233400,16700
2014-11-18,,247500,17000
2014-11-19,,257900,17600
2014-11-20,,269500,18300
2014-11-21,,282100,18800
2014-11-22,,296200,19400
2014-11-23,,309200,20400
2014-11-24,,318300,21200
2014-11-25,,324800,21700
2014-11-26,,333200,22300
2014-11-27,,343000,22800
2014-11-28,,353500,23200
2014-11-29,,366400,23800
2014-11-30,,379300,24500
2014-12-01,,387500,25100
2014-12-02,,395900,25800
2014-12-03,,406200,26000
2014-12-04,,414700,26300
2014-12-05,,421600,26600
2014-12-06,,431200,27200
2014-12-07,,441000,27700
2014-12-08,,447500,28000
2014-12-09,,452100,28300
2014-12-10,,457300,28700
2014-12-11,,462200,28800
2014-12-12,,466900,29200
2014-12-13,,473000,29400
2014-12-14,,479400,29600
2014-12-15,,482700,29800
2014-12-16,,486900,30000
2014-12-17,,490800,30500
2014-12-18,,495100,30700
2014-12-19,,499700,30900
2014-12-20,,504600,31000
2014-12-21,,508800,31300
2014-12-22,,513400,31500
2014-12-23,,517100,31800
2014-12-24,,521100,32200
2014-12-25,,523900,32300
2014-12-26,,525000,32600
2014-12-27,,527200,32900
2014-12-28,,532900,33200
2014-12-29,,537500,33600
2014-12-30,,542500,33800
2014-12-31,,546500,33900
2015-01-01,,550500,34100
2015-01-02,,554200,34300
2015-01-03,,558800,34600
2015-01-04,,562200,34700
2015-01-05,,565000,34800
2015-01-06,,567300,35100
2015-01-07,,569500,35300
2015-01-08,,572500,35400
2015-01-09,,574800,35500
2015-01-10,,577200,35700
2015-01-11,,580800,36100
2015-01-12,,583100,36100
2015-01-13,,585000,36300
2015-01-14,,586800,36300
2015-01-15,,589400,36300
2015-01-16,,591300,36400
2015-01-17,,593500,36500
2015-01-18,,595800,36600
2015-01-19,,597500,36700
2015-01-20,,599800,36700
2015-01-21,,601500,36700
2015-01-22,,603700,36800
2015-01-23,,605200,37000
2015-01-24,,607100,37100
2015-01-25,,609200,37300
2015-01-26,,611000,37300
2015-01-27,,613000,37300
2015-01-28,,614800,37400
2015-01-29,,615900,37400
2015-01-30,,618100,37600
2015-01-31,,620000,37800
2015-02-01,,622700,37900
2015-02-02,,623900,38100
2015-02-03,,625800,38200
2015-02-04,,627700,38300
2015-02-05,,629100,38300
2015-02-06,,630500,38400
2015-02-07,,633200,38400
2015-02-08,,635400,38500
2015-02-09,,636800,38800
2015-02-10,,638300,39000
2015-02-11,,639000,39100
2015-02-12,,640000,39100
2015-02-13,,641500,39300
2015-02-14,,643600,39300
2015-02-15,,645000,39600
2015-02-16,,646600,39600
2015-02-17,,647300,39700
2015-02-18,,648000,39800
2015-02-19,,649300,39800
2015-02-20,,650700,40000
2015-02-21,,652800,40200
2015-02-22,,654700,40400
2015-02-23,,655800,40400
2015-02-24,,657500,40500
2015-02-25,,658200,40500
2015-02-26,,659600,40500
2015-02-27,,660400,40600
2015-02-28,,661500,40700
2015-03-01,,663500,40800
2015-03-02,,664300,40900
2015-03-03,,665500,41000
2015-03-04,,666900,41200
2015-03-05,,668200,41200
2015-03-06,,669600,41300
2015-03-07,,671600,41500
2015-03-08,,672800,41600
2015-03-09,,674100,41600
2015-03-10,,674900,41800
2015-03-11,,675600,41800
2015-03-12,,676200,42000
2015-03-13,,677500,42100
2015-03-14,,678800,42100
2015-03-15,,680600,42300
2015-03-16,,681600,42400
