Date,PS3 player count,PS4 player count,
2013-06-04,0,0,
2013-06-05,0,0,
2013-06-06,100,0,
2013-06-07,400,0,
2013-06-08,1300,0,
2013-06-09,2600,0,
2013-06-10,4400,0,
2013-06-11,6400,0,
2013-06-12,9700,0,
2013-06-13,22700,0,
2013-06-14,87500,0,
2013-06-15,257400,0,
2013-06-16,436900,0,
2013-06-17,563400,0,
2013-06-18,672300,0,
2013-06-19,768500,0,
2013-06-20,864300,0,
2013-06-21,958000,0,
2013-06-22,1066500,0,
2013-06-23,1178600,0,
2013-06-24,1262000,0,
2013-06-25,1337000,0,
2013-06-26,1403000,0,
2013-06-27,1457800,0,
2013-06-28,1515600,0,
2013-06-29,1585800,0,
2013-06-30,1657900,0,
2013-07-01,1714700,0,
2013-07-02,1772800,0,
2013-07-03,1825900,0,
2013-07-04,1877400,0,
2013-07-05,1922800,0,
2013-07-06,1976400,0,
2013-07-07,2032700,0,
2013-07-08,2077700,0,
2013-07-09,2118200,0,
2013-07-10,2161400,0,
2013-07-11,2200100,0,
2013-07-12,2238000,0,
2013-07-13,2280600,0,
2013-07-14,2330100,0,
2013-07-15,2365800,0,
2013-07-16,2402000,0,
2013-07-17,2434300,0,
2013-07-18,2464800,0,
2013-07-19,2497500,0,
2013-07-20,2534000,0,
2013-07-21,2574500,0,
2013-07-22,2606000,0,
2013-07-23,2635100,0,
2013-07-24,2662900,0,
2013-07-25,2690500,0,
2013-07-26,2719600,0,
2013-07-27,2750500,0,
2013-07-28,2786900,0,
2013-07-29,2815500,0,
2013-07-30,2843200,0,
2013-07-31,2871000,0,
2013-08-01,2896900,0,
2013-08-02,2920600,0,
2013-08-03,2947900,0,
2013-08-04,2977600,0,
2013-08-05,3001200,0,
2013-08-06,3027000,0,
2013-08-07,3051100,0,
2013-08-08,3072300,0,
2013-08-09,3092400,0,
2013-08-10,3117100,0,
2013-08-11,3144800,0,
2013-08-12,3167200,0,
2013-08-13,3189100,0,
2013-08-14,3210600,0,
2013-08-15,3230000,0,
2013-08-16,3249600,0,
2013-08-17,3273500,0,
2013-08-18,3298900,0,
2013-08-19,3319300,0,
2013-08-20,3339900,0,
2013-08-21,3359000,0,
2013-08-22,3376000,0,
2013-08-23,3393100,0,
2013-08-24,3415900,0,
2013-08-25,3439800,0,
2013-08-26,3456200,0,
2013-08-27,3473000,0,
2013-08-28,3488700,0,
2013-08-29,3504200,0,
2013-08-30,3519200,0,
2013-08-31,3539300,0,
2013-09-01,3562000,0,
2013-09-02,3580600,0,
2013-09-03,3595000,0,
2013-09-04,3608500,0,
2013-09-05,3622300,0,
2013-09-06,3636300,0,
2013-09-07,3656600,0,
2013-09-08,3677700,0,
2013-09-09,3691500,0,
2013-09-10,3706200,0,
2013-09-11,3720700,0,
2013-09-12,3734300,0,
2013-09-13,3747300,0,
2013-09-14,3765900,0,
2013-09-15,3786000,0,
2013-09-16,3797500,0,
2013-09-17,3809300,0,
2013-09-18,3819600,0,
2013-09-19,3830300,0,
2013-09-20,3843100,0,
2013-09-21,3859400,0,
2013-09-22,3875900,0,
2013-09-23,3888200,0,
2013-09-24,3898900,0,
2013-09-25,3910000,0,
2013-09-26,3920500,0,
2013-09-27,3932700,0,
2013-09-28,3946500,0,
2013-09-29,3962800,0,
2013-09-30,3973800,0,
2013-10-01,3983700,0,
2013-10-02,3991800,0,
2013-10-03,4001900,0,
2013-10-04,4012800,0,
2013-10-05,4026000,0,
2013-10-06,4039400,0,
2013-10-07,4048400,0,
2013-10-08,4057700,0,
2013-10-09,4066300,0,
2013-10-10,4075200,0,
2013-10-11,4085900,0,
2013-10-12,4099100,0,
2013-10-13,4113000,0,
2013-10-14,4125200,0,
2013-10-15,4135800,0,
2013-10-16,4144600,0,
2013-10-17,4153400,0,
2013-10-18,4162400,0,
2013-10-19,4175400,0,
2013-10-20,4188900,0,
2013-10-21,4199400,0,
2013-10-22,4208300,0,
2013-10-23,4217200,0,
2013-10-24,4226700,0,
2013-10-25,4235000,0,
2013-10-26,4246600,0,
2013-10-27,4259200,0,
2013-10-28,4268500,0,
2013-10-29,4277000,0,
2013-10-30,4285300,0,
2013-10-31,4294100,0,
2013-11-01,4303400,0,
2013-11-02,4316100,0,
2013-11-03,4329600,0,
2013-11-04,4337900,0,
2013-11-05,4346200,0,
2013-11-06,4354300,0,
2013-11-07,4361000,0,
2013-11-08,4369600,0,
2013-11-09,4379600,0,
2013-11-10,4390300,0,
2013-11-11,4398300,0,
2013-11-12,4404900,0,
2013-11-13,4411800,0,
2013-11-14,4418000,0,
2013-11-15,4425200,0,
2013-11-16,4437900,0,
2013-11-17,4450100,0,
2013-11-18,4459300,0,
2013-11-19,4466900,0,
2013-11-20,4474400,0,
2013-11-21,4480400,0,
2013-11-22,4490000,0,
2013-11-23,4500300,0,
2013-11-24,4512900,0,
2013-11-25,4522000,0,
2013-11-26,4529400,0,
2013-11-27,4537900,0,
2013-11-28,4546600,0,
2013-11-29,4558900,0,
2013-11-30,4577500,0,
2013-12-01,4597000,0,
