Date,'',PS4 player count,
2017-11-11,,0,
2017-11-12,,200,
2017-11-13,,1100,
2017-11-14,,21200,
2017-11-15,,34300,
2017-11-16,,43100,
2017-11-17,,66800,
2017-11-18,,93900,
2017-11-19,,118900,
2017-11-20,,132700,
2017-11-21,,144000,
2017-11-22,,154300,
2017-11-23,,163900,
2017-11-24,,179800,
2017-11-25,,198900,
2017-11-26,,214800,
2017-11-27,,224000,
2017-11-28,,231600,
2017-11-29,,238100,
2017-11-30,,245100,
2017-12-01,,253000,
2017-12-02,,263200,
2017-12-03,,273600,
2017-12-04,,280800,
2017-12-05,,286800,
2017-12-06,,293400,
2017-12-07,,299100,
2017-12-08,,305000,
2017-12-09,,313200,
2017-12-10,,321800,
2017-12-11,,327700,
2017-12-12,,332600,
2017-12-13,,336700,
2017-12-14,,341500,
2017-12-15,,347100,
2017-12-16,,356400,
2017-12-17,,365500,
2017-12-18,,373800,
2017-12-19,,380600,
2017-12-20,,388400,
2017-12-21,,395000,
2017-12-22,,403800,
2017-12-23,,416600,
2017-12-24,,435600,
2017-12-25,,485200,
2017-12-26,,534400,
2017-12-27,,572000,
2017-12-28,,602800,
2017-12-29,,625500,
2017-12-30,,645900,
2017-12-31,,663600,
2018-01-01,,678000,
2018-01-02,,693200,
2018-01-03,,705600,
2018-01-04,,718500,
2018-01-05,,728800,
2018-01-06,,742800,
2018-01-07,,757000,
2018-01-08,,766300,
2018-01-09,,773000,
2018-01-10,,779700,
2018-01-11,,786400,
2018-01-12,,792400,
2018-01-13,,801800,
2018-01-14,,812000,
2018-01-15,,819300,
2018-01-16,,825300,
2018-01-17,,831300,
2018-01-18,,835300,
2018-01-19,,840900,
2018-01-20,,848800,
2018-01-21,,857000,
2018-01-22,,861200,
2018-01-23,,865300,
2018-01-24,,869500,
2018-01-25,,873900,
2018-01-26,,877300,
2018-01-27,,883100,
2018-01-28,,889200,
2018-01-29,,893500,
2018-01-30,,897200,
2018-01-31,,900900,
2018-02-01,,905100,
2018-02-02,,911000,
2018-02-03,,918300,
2018-02-04,,926500,
2018-02-05,,931500,
2018-02-06,,935900,
2018-02-07,,940900,
2018-02-08,,945700,
2018-02-09,,951300,
2018-02-10,,960900,
2018-02-11,,969500,
2018-02-12,,977000,
2018-02-13,,983700,
2018-02-14,,990400,
2018-02-15,,996400,
2018-02-16,,1003800,
2018-02-17,,1013300,
2018-02-18,,1023800,
2018-02-19,,1030100,
2018-02-20,,1035400,
2018-02-21,,1041400,
2018-02-22,,1046500,
2018-02-23,,1054700,
2018-02-24,,1062900,
2018-02-25,,1074100,
2018-02-26,,1080300,
2018-02-27,,1086300,
2018-02-28,,1093100,
2018-03-01,,1099000,
2018-03-02,,1104900,
2018-03-03,,1112700,
2018-03-04,,1121600,
2018-03-05,,1127300,
2018-03-06,,1132300,
2018-03-07,,1137100,
2018-03-08,,1141700,
2018-03-09,,1145900,
2018-03-10,,1152200,
2018-03-11,,1159200,
2018-03-12,,1163900,
2018-03-13,,1167500,
2018-03-14,,1171400,
2018-03-15,,1175900,
2018-03-16,,1179800,
2018-03-17,,1185900,
2018-03-18,,1193000,
2018-03-19,,1198800,
2018-03-20,,1204400,
2018-03-21,,1209900,
2018-03-22,,1214100,
2018-03-23,,1220100,
2018-03-24,,1227100,
2018-03-25,,1235300,
2018-03-26,,1240700,
2018-03-27,,1246400,
2018-03-28,,1251100,
2018-03-29,,1256000,
2018-03-30,,1261800,
2018-03-31,,1267900,
2018-04-01,,1275500,
2018-04-02,,1281500,
2018-04-03,,1286000,
2018-04-04,,1290900,
2018-04-05,,1295200,
2018-04-06,,1299200,
2018-04-07,,1304400,
2018-04-08,,1310500,
2018-04-09,,1314800,
2018-04-10,,1318400,
2018-04-11,,1321900,
2018-04-12,,1324900,
2018-04-13,,1328700,
2018-04-14,,1333200,
2018-04-15,,1337700,
2018-04-16,,1340300,
2018-04-17,,1343300,
2018-04-18,,1345800,
2018-04-19,,1349100,
2018-04-20,,1352000,
2018-04-21,,1356300,
2018-04-22,,1360700,
2018-04-23,,1364800,
2018-04-24,,1367400,
2018-04-25,,1370000,
2018-04-26,,1373000,
2018-04-27,,1375500,
2018-04-28,,1379200,
2018-04-29,,1383500,
2018-04-30,,1386500,
2018-05-01,,1390000,
2018-05-02,,1392000,
2018-05-03,,1394400,
2018-05-04,,1397000,
2018-05-05,,1401300,
2018-05-06,,1405200,
2018-05-07,,1407800,
2018-05-08,,1410300,
2018-05-09,,1412100,
2018-05-10,,1414100,
2018-05-11,,1417000,
2018-05-12,,1420400,
2018-05-13,,1424700,
2018-05-14,,1428000,
2018-05-15,,1430200,
2018-05-16,,1433000,
2018-05-17,,1435200,
2018-05-18,,1437400,
2018-05-19,,1441200,
2018-05-20,,1445400,
2018-05-21,,1448800,
2018-05-22,,1452000,
2018-05-23,,1454800,
2018-05-24,,1457600,
2018-05-25,,1460400,
2018-05-26,,1464800,
2018-05-27,,1469900,
2018-05-28,,1474300,
2018-05-29,,1478100,
2018-05-30,,1482300,
2018-05-31,,1486000,
2018-06-01,,1489700,
2018-06-02,,1495300,
2018-06-03,,1501400,
2018-06-04,,1506200,
2018-06-05,,1509800,
2018-06-06,,1514100,
2018-06-07,,1517400,
2018-06-08,,1521900,
2018-06-09,,1529600,
2018-06-10,,1537300,
2018-06-11,,1543900,
2018-06-12,,1549200,
2018-06-13,,1555000,
2018-06-14,,1560800,
2018-06-15,,1565900,
2018-06-16,,1572300,
2018-06-17,,1579600,
2018-06-18,,1585600,
2018-06-19,,1590400,
2018-06-20,,1595000,
2018-06-21,,1599100,
2018-06-22,,1603100,
2018-06-23,,1606800,
2018-06-24,,1611400,
2018-06-25,,1615200,
2018-06-26,,1618500,
2018-06-27,,1621300,
2018-06-28,,1624000,
2018-06-29,,1627800,
2018-06-30,,1631700,
2018-07-01,,1636600,
2018-07-02,,1640900,
2018-07-03,,1645100,
2018-07-04,,1649400,
2018-07-05,,1652800,
2018-07-06,,1657200,
2018-07-07,,1664700,
2018-07-08,,1671800,
2018-07-09,,1678300,
2018-07-10,,1683700,
2018-07-11,,1688500,
2018-07-12,,1693000,
2018-07-13,,1697600,
2018-07-14,,1702600,
2018-07-15,,1708000,
2018-07-16,,1713200,
2018-07-17,,1718000,
2018-07-18,,1722300,
2018-07-19,,1725500,
2018-07-20,,1728700,
2018-07-21,,1732300,
2018-07-22,,1736400,
2018-07-23,,1740700,
2018-07-24,,1744200,
2018-07-25,,1749100,
2018-07-26,,1752900,
2018-07-27,,1756900,
2018-07-28,,1762200,
2018-07-29,,1766900,
2018-07-30,,1771200,
2018-07-31,,1776100,
2018-08-01,,1781700,
2018-08-02,,1788000,
2018-08-03,,1794900,
2018-08-04,,1802100,
2018-08-05,,1809900,
2018-08-06,,1816400,
2018-08-07,,1822100,
2018-08-08,,1827300,
2018-08-09,,1831200,
2018-08-10,,1835500,
2018-08-11,,1840900,
2018-08-12,,1845700,
2018-08-13,,1850400,
2018-08-14,,1854900,
2018-08-15,,1858700,
2018-08-16,,1862000,
2018-08-17,,1866500,
2018-08-18,,1871000,
2018-08-19,,1876100,
2018-08-20,,1881500,
2018-08-21,,1885600,
2018-08-22,,1889000,
2018-08-23,,1892300,
2018-08-24,,1895700,
2018-08-25,,1899100,
2018-08-26,,1903000,
2018-08-27,,1905900,
2018-08-28,,1908800,
2018-08-29,,1911900,
2018-08-30,,1915200,
2018-08-31,,1918300,
2018-09-01,,1923400,
2018-09-02,,1928700,
2018-09-03,,1933400,
2018-09-04,,1937100,
2018-09-05,,1940200,
2018-09-06,,1943000,
2018-09-07,,1945700,
2018-09-08,,1948900,
2018-09-09,,1952900,
2018-09-10,,1955700,
2018-09-11,,1958500,
2018-09-12,,1960800,
2018-09-13,,1963100,
2018-09-14,,1965100,
2018-09-15,,1968900,
2018-09-16,,1973200,
2018-09-17,,1975800,
2018-09-18,,1978000,
2018-09-19,,1980600,
2018-09-20,,1982800,
2018-09-21,,1984900,
2018-09-22,,1988600,
2018-09-23,,1992300,
2018-09-24,,1994500,
2018-09-25,,1996800,
2018-09-26,,1998600,
2018-09-27,,2000700,
2018-09-28,,2003600,
2018-09-29,,2006800,
2018-09-30,,2010800,
2018-10-01,,2013400,
2018-10-02,,2016600,
2018-10-03,,2019500,
2018-10-04,,2022400,
2018-10-05,,2025500,
2018-10-06,,2030800,
2018-10-07,,2036500,
2018-10-08,,2040900,
2018-10-09,,2045200,
2018-10-10,,2048200,
2018-10-11,,2051200,
2018-10-12,,2055200,
2018-10-13,,2061200,
2018-10-14,,2066700,
2018-10-15,,2069500,
2018-10-16,,2072400,
2018-10-17,,2074600,
2018-10-18,,2077300,
2018-10-19,,2080100,
2018-10-20,,2084000,
2018-10-21,,2088400,
2018-10-22,,2090600,
2018-10-23,,2092800,
2018-10-24,,2094700,
2018-10-25,,2097100,
2018-10-26,,2099700,
2018-10-27,,2102900,
2018-10-28,,2106600,
2018-10-29,,2108600,
2018-10-30,,2111000,
2018-10-31,,2112700,
2018-11-01,,2115400,
2018-11-02,,2118400,
2018-11-03,,2121700,
2018-11-04,,2125800,
2018-11-05,,2127500,
2018-11-06,,2129900,
2018-11-07,,2132000,
2018-11-08,,2134500,
2018-11-09,,2136300,
2018-11-10,,2139800,
