Date,'',PS4 player count,
2017-05-12,,100,
2017-05-13,,300,
2017-05-14,,500,
2017-05-15,,1100,
2017-05-16,,3700,
2017-05-17,,6000,
2017-05-18,,7800,
2017-05-19,,9500,
2017-05-20,,11400,
2017-05-21,,13500,
2017-05-22,,15000,
2017-05-23,,16500,
2017-05-24,,18000,
2017-05-25,,19200,
2017-05-26,,20400,
2017-05-27,,21900,
2017-05-28,,23300,
2017-05-29,,24800,
2017-05-30,,25600,
2017-05-31,,26800,
2017-06-01,,28000,
2017-06-02,,29300,
2017-06-03,,30800,
2017-06-04,,32400,
2017-06-05,,33100,
2017-06-06,,33800,
2017-06-07,,34800,
2017-06-08,,35700,
2017-06-09,,36400,
2017-06-10,,37200,
2017-06-11,,37800,
2017-06-12,,38500,
2017-06-13,,39000,
2017-06-14,,39900,
2017-06-15,,40600,
2017-06-16,,41100,
2017-06-17,,41800,
2017-06-18,,42600,
2017-06-19,,43200,
2017-06-20,,43700,
2017-06-21,,44200,
2017-06-22,,44800,
2017-06-23,,45200,
2017-06-24,,45700,
2017-06-25,,46500,
2017-06-26,,46900,
2017-06-27,,47800,
2017-06-28,,48300,
2017-06-29,,48600,
2017-06-30,,49100,
2017-07-01,,50000,
2017-07-02,,50700,
2017-07-03,,51000,
2017-07-04,,51500,
2017-07-05,,52000,
2017-07-06,,52400,
2017-07-07,,53300,
2017-07-08,,53800,
2017-07-09,,54400,
2017-07-10,,55200,
2017-07-11,,55700,
2017-07-12,,56200,
2017-07-13,,56600,
2017-07-14,,57300,
2017-07-15,,57900,
2017-07-16,,58600,
2017-07-17,,59100,
2017-07-18,,59500,
2017-07-19,,59900,
2017-07-20,,60500,
2017-07-21,,61000,
2017-07-22,,61400,
2017-07-23,,62100,
2017-07-24,,62500,
2017-07-25,,63000,
2017-07-26,,63500,
2017-07-27,,64100,
2017-07-28,,64700,
2017-07-29,,65900,
2017-07-30,,66900,
2017-07-31,,67200,
2017-08-01,,67900,
2017-08-02,,68500,
2017-08-03,,69200,
2017-08-04,,69800,
2017-08-05,,70300,
2017-08-06,,70700,
2017-08-07,,71200,
2017-08-08,,72000,
2017-08-09,,72200,
2017-08-10,,72300,
2017-08-11,,72800,
2017-08-12,,73300,
2017-08-13,,73700,
2017-08-14,,74000,
2017-08-15,,74400,
2017-08-16,,74700,
2017-08-17,,75100,
2017-08-18,,75600,
2017-08-19,,76100,
2017-08-20,,76800,
2017-08-21,,77300,
2017-08-22,,77800,
2017-08-23,,78200,
2017-08-24,,78600,
2017-08-25,,79500,
2017-08-26,,79900,
