Date,PS3 player count,PS4 player count,PS Vita player count
2014-07-28,100,0,0
2014-07-29,100,0,0
2014-07-30,100,0,0
2014-07-31,100,0,0
2014-08-01,100,0,0
2014-08-02,100,0,0
2014-08-03,100,0,0
2014-08-04,100,0,0
2014-08-05,200,0,0
2014-08-06,200,300,100
2014-08-07,200,800,200
2014-08-08,200,1200,200
2014-08-09,300,1500,300
2014-08-10,500,1600,300
2014-08-11,600,1700,300
2014-08-12,700,1800,300
2014-08-13,900,2000,400
2014-08-14,900,2100,400
2014-08-15,1000,2300,400
2014-08-16,1000,2500,400
2014-08-17,1200,2800,400
2014-08-18,1200,2900,400
2014-08-19,1300,3000,400
2014-08-20,1300,3100,400
2014-08-21,1300,3100,400
2014-08-22,1300,3400,400
2014-08-23,1300,3500,400
2014-08-24,1300,3700,400
2014-08-25,1300,3800,500
2014-08-26,1500,3900,500
2014-08-27,1600,4000,500
2014-08-28,1700,4000,500
2014-08-29,1700,4000,500
2014-08-30,1700,4000,500
2014-08-31,1700,4100,600
2014-09-01,1800,4100,600
2014-09-02,1800,4200,600
2014-09-03,1900,4200,600
2014-09-04,1900,4200,600
2014-09-05,1900,4200,600
2014-09-06,2000,4400,600
2014-09-07,2000,4500,600
2014-09-08,2000,4600,700
2014-09-09,2000,4700,700
2014-09-10,2000,4700,700
2014-09-11,2000,4700,700
2014-09-12,2000,4700,700
2014-09-13,2100,4700,700
2014-09-14,2100,4700,700
2014-09-15,2100,4700,700
2014-09-16,2100,4700,700
2014-09-17,2100,4800,700
2014-09-18,2100,5000,700
2014-09-19,2100,5100,700
2014-09-20,2100,5200,700
2014-09-21,2100,5300,700
2014-09-22,2100,5400,700
2014-09-23,2100,5400,700
2014-09-24,2100,5400,800
2014-09-25,2100,5600,800
2014-09-26,2100,5600,800
2014-09-27,2100,5600,800
2014-09-28,2100,5600,800
2014-09-29,2100,5700,800
2014-09-30,2100,5700,800
2014-10-01,2100,5700,900
2014-10-02,2100,5700,900
2014-10-03,2200,5700,900
2014-10-04,2200,5700,900
2014-10-05,2400,5700,900
2014-10-06,2400,5800,900
2014-10-07,2400,5900,900
2014-10-08,2400,5900,900
2014-10-09,2400,5900,900
2014-10-10,2400,6000,900
2014-10-11,2400,6000,900
2014-10-12,2500,6100,900
2014-10-13,2600,6200,900
2014-10-14,2600,6200,900
2014-10-15,2700,6200,900
2014-10-16,2700,6200,900
2014-10-17,2900,6200,900
2014-10-18,2900,6200,900
2014-10-19,2900,6200,900
