Date,PS3 player count,PS4 player count,PS Vita player count
2012-10-17,100,0,0
2012-10-18,600,0,0
2012-10-19,1200,0,0
2012-10-20,1700,0,0
2012-10-21,2200,0,0
2012-10-22,2700,0,0
2012-10-23,2900,0,0
2012-10-24,3400,0,0
2012-10-25,4000,0,0
2012-10-26,4400,0,0
2012-10-27,4800,0,0
2012-10-28,5400,0,0
2012-10-29,5900,0,0
2012-10-30,6500,0,0
2012-10-31,6900,0,0
2012-11-01,7200,0,0
2012-11-02,7500,0,0
2012-11-03,8100,0,0
2012-11-04,8500,0,0
2012-11-05,8800,0,0
2012-11-06,9200,0,0
2012-11-07,9400,0,0
2012-11-08,9600,0,0
2012-11-09,9800,0,0
2012-11-10,10200,0,0
2012-11-11,10400,0,0
2012-11-12,10700,0,0
2012-11-13,10900,0,0
2012-11-14,11100,0,0
2012-11-15,11200,0,0
2012-11-16,11300,0,0
2012-11-17,11700,0,0
2012-11-18,12000,0,0
2012-11-19,12100,0,0
2012-11-20,12300,0,0
2012-11-21,12400,0,0
2012-11-22,12700,0,0
2012-11-23,12800,0,0
2012-11-24,13000,0,0
2012-11-25,13200,0,0
2012-11-26,13500,0,0
2012-11-27,13600,0,0
2012-11-28,13700,0,0
2012-11-29,14000,0,0
2012-11-30,14200,0,0
2012-12-01,14400,0,0
2012-12-02,14500,0,0
2012-12-03,14800,0,0
2012-12-04,14900,0,0
2012-12-05,15100,0,0
2012-12-06,15100,0,0
2012-12-07,15200,0,0
2012-12-08,15500,0,0
2012-12-09,15600,0,0
2012-12-10,15700,0,0
2012-12-11,15900,0,0
2012-12-12,16100,0,0
2012-12-13,16300,0,0
2012-12-14,16400,0,0
2012-12-15,16900,0,0
2012-12-16,17200,0,0
2012-12-17,17700,0,0
2012-12-18,17700,0,0
2012-12-19,18400,0,0
2012-12-20,19000,0,0
2012-12-21,19700,0,0
2012-12-22,20200,0,0
2012-12-23,20700,0,0
2012-12-24,21600,0,0
2012-12-25,21800,0,0
2012-12-26,22200,0,0
2012-12-27,22800,0,0
2012-12-28,23300,0,0
2012-12-29,23800,0,0
2012-12-30,24300,0,0
2012-12-31,24500,0,0
2013-01-01,24700,0,0
2013-01-02,24800,0,0
2013-01-03,25200,0,0
2013-01-04,25700,0,0
2013-01-05,25900,0,0
2013-01-06,26500,0,0
2013-01-07,26800,0,0
2013-01-08,27200,0,0
2013-01-09,27400,0,0
2013-01-10,27600,0,0
2013-01-11,28000,0,0
2013-01-12,28200,0,0
2013-01-13,28600,0,0
2013-01-14,29000,0,0
2013-01-15,29200,0,0
2013-01-16,29700,0,0
2013-01-17,29900,0,0
2013-01-18,30300,0,0
2013-01-19,30500,0,0
2013-01-20,31200,0,0
2013-01-21,31400,0,0
2013-01-22,31500,0,0
2013-01-23,32300,0,0
2013-01-24,33800,0,0
2013-01-25,35200,0,0
2013-01-26,36600,0,0
2013-01-27,38400,0,0
2013-01-28,39600,0,0
