Date,PS3 player count,PS4 player count,PS Vita player count
2013-12-17,400,0,0
2013-12-18,4300,0,0
2013-12-19,6600,0,0
2013-12-20,8500,0,0
2013-12-21,10700,0,0
2013-12-22,13100,0,0
2013-12-23,14600,0,0
2013-12-24,16100,0,0
2013-12-25,17700,0,0
2013-12-26,19400,0,0
2013-12-27,21100,0,0
2013-12-28,22500,0,0
2013-12-29,23800,0,0
2013-12-30,25500,0,0
2013-12-31,26400,0,0
2014-01-01,27300,0,0
2014-01-02,28800,0,0
2014-01-03,30100,0,0
2014-01-04,31500,0,0
2014-01-05,33300,0,0
2014-01-06,34100,0,0
2014-01-07,34700,0,0
2014-01-08,35400,0,0
2014-01-09,36000,0,0
2014-01-10,36700,0,0
2014-01-11,37300,0,0
2014-01-12,38300,0,0
2014-01-13,38800,0,0
2014-01-14,39200,0,0
2014-01-15,39400,0,0
2014-01-16,40000,0,0
2014-01-17,40600,0,0
2014-01-18,41500,0,0
2014-01-19,42500,0,0
2014-01-20,43300,0,0
2014-01-21,43600,0,0
2014-01-22,43900,0,0
2014-01-23,44300,0,0
2014-01-24,44600,0,0
2014-01-25,45000,0,0
2014-01-26,45500,0,0
2014-01-27,45800,0,0
2014-01-28,46300,0,0
2014-01-29,46700,0,0
2014-01-30,47000,0,0
2014-01-31,47300,0,0
2014-02-01,47700,0,0
2014-02-02,48200,0,0
2014-02-03,48800,0,0
2014-02-04,48900,0,0
2014-02-05,49400,0,0
2014-02-06,49700,0,0
2014-02-07,50300,0,0
2014-02-08,50800,0,0
2014-02-09,51500,0,0
2014-02-10,51800,0,0
2014-02-11,52200,0,0
2014-02-12,52600,0,0
2014-02-13,52800,0,0
2014-02-14,53300,0,0
2014-02-15,54400,0,0
2014-02-16,54900,0,0
2014-02-17,55400,0,0
2014-02-18,56000,0,0
2014-02-19,56400,0,0
2014-02-20,56800,0,0
2014-02-21,57200,0,0
2014-02-22,57800,0,0
2014-02-23,58500,0,0
2014-02-24,59000,0,0
2014-02-25,59200,0,0
2014-02-26,59800,0,0
2014-02-27,60300,0,0
2014-02-28,61000,0,0
2014-03-01,61400,0,0
2014-03-02,62300,0,0
2014-03-03,62700,0,0
2014-03-04,63500,0,0
2014-03-05,64600,0,0
2014-03-06,65800,0,0
2014-03-07,66400,0,0
2014-03-08,67700,0,0
2014-03-09,68900,0,0
2014-03-10,69600,0,0
2014-03-11,70300,0,0
2014-03-12,71200,0,0
2014-03-13,71800,0,0
2014-03-14,72700,0,0
2014-03-15,73500,0,0
2014-03-16,74400,0,0
2014-03-17,75500,0,0
2014-03-18,76300,0,0
2014-03-19,77100,0,0
2014-03-20,77400,0,0
2014-03-21,78100,0,0
2014-03-22,78700,0,0
2014-03-23,79500,0,0
2014-03-24,80200,0,0
2014-03-25,80900,0,0
2014-03-26,81400,0,0
2014-03-27,81700,0,0
2014-03-28,82100,0,0
2014-03-29,82600,0,0
2014-03-30,83100,0,0
2014-03-31,83200,0,0
2014-04-01,83600,0,0
2014-04-02,84100,0,0
2014-04-03,84400,0,0
2014-04-04,84800,0,0
2014-04-05,85400,0,0
2014-04-06,85900,0,0
2014-04-07,86200,0,0
2014-04-08,86600,0,0
2014-04-09,87100,0,0
2014-04-10,87500,0,0
2014-04-11,87700,0,0
2014-04-12,88300,0,0
2014-04-13,88600,0,0
2014-04-14,89200,0,0
2014-04-15,89500,0,0
2014-04-16,89700,0,0
2014-04-17,90100,0,0
2014-04-18,90500,0,0
2014-04-19,91100,0,0
2014-04-20,91500,0,0
2014-04-21,91900,0,0
2014-04-22,92500,0,0
2014-04-23,92600,0,200
2014-04-24,92900,0,500
2014-04-25,93300,0,700
2014-04-26,93400,0,700
2014-04-27,93900,0,900
2014-04-28,94100,0,1100
2014-04-29,94500,0,1100
2014-04-30,94800,0,1200
2014-05-01,95300,0,1200
2014-05-02,95500,0,1300
2014-05-03,95700,0,1500
2014-05-04,96200,0,1600
2014-05-05,96400,0,1800
2014-05-06,96600,0,1800
2014-05-07,96700,0,1800
2014-05-08,97000,0,1900
2014-05-09,97100,0,1900
2014-05-10,97200,0,2100
2014-05-11,97500,0,2300
2014-05-12,97700,0,2400
2014-05-13,97900,0,2500
2014-05-14,98800,0,2600
2014-05-15,99500,0,2600
2014-05-16,100700,0,2800
2014-05-17,101400,0,3000
2014-05-18,102000,0,3100
2014-05-19,102500,0,3100
2014-05-20,103000,0,3300
2014-05-21,103500,0,3400
2014-05-22,103600,0,3400
2014-05-23,103800,0,3500
2014-05-24,104400,0,3500
2014-05-25,104900,0,3600
2014-05-26,105400,0,3700
2014-05-27,105700,0,3700
2014-05-28,106000,0,3700
2014-05-29,106300,0,3800
2014-05-30,106800,0,3900
2014-05-31,107300,0,3900
2014-06-01,107800,0,4100
2014-06-02,108100,0,4200
2014-06-03,108300,0,4200
2014-06-04,108500,0,4300
2014-06-05,109000,0,4400
2014-06-06,109500,0,4600
2014-06-07,109900,0,4800
2014-06-08,110200,0,4800
2014-06-09,110600,0,5000
2014-06-10,110900,0,5200
2014-06-11,111500,0,5200
2014-06-12,112100,0,5300
2014-06-13,113000,0,5400
2014-06-14,113800,0,5500
2014-06-15,114400,0,5700
2014-06-16,115300,0,5800
2014-06-17,116200,0,5800
2014-06-18,117000,0,5800
2014-06-19,117300,0,5900
2014-06-20,117900,0,5900
2014-06-21,118500,0,5900
2014-06-22,119100,0,5900
2014-06-23,119800,0,5900
2014-06-24,120200,0,5900
2014-06-25,120500,0,5900
2014-06-26,120900,0,6000
2014-06-27,121400,0,6100
2014-06-28,121800,0,6100
2014-06-29,122400,0,6300
2014-06-30,122800,0,6400
2014-07-01,123300,0,6600
2014-07-02,123900,0,6600
2014-07-03,124200,0,6600
2014-07-04,124600,0,6700
2014-07-05,124800,0,6700
2014-07-06,125200,0,6900
2014-07-07,125800,0,6900
2014-07-08,126400,0,6900
2014-07-09,126800,0,7000
2014-07-10,127200,0,7000
2014-07-11,127400,0,7100
2014-07-12,127500,0,7200
2014-07-13,128000,0,7200
2014-07-14,128200,0,7200
2014-07-15,128600,0,7300
2014-07-16,128900,0,7400
2014-07-17,129200,0,7400
2014-07-18,129300,0,7500
2014-07-19,129600,0,7700
2014-07-20,130100,0,7700
2014-07-21,130400,0,7700
2014-07-22,131000,0,7800
2014-07-23,131900,0,7900
2014-07-24,132600,0,8000
2014-07-25,133300,0,8100
2014-07-26,133800,0,8200
2014-07-27,134500,0,8400
2014-07-28,135500,0,8500
2014-07-29,136300,0,8500
2014-07-30,137100,0,8700
2014-07-31,137300,0,8700
2014-08-01,137800,0,8800
2014-08-02,138600,0,8900
2014-08-03,139100,0,9000
2014-08-04,139800,0,9100
2014-08-05,140200,0,9200
2014-08-06,140500,0,9300
2014-08-07,140800,0,9400
2014-08-08,141200,0,9500
2014-08-09,141600,0,9600
2014-08-10,141900,0,9800
2014-08-11,142700,0,9800
2014-08-12,143000,0,10200
2014-08-13,143700,0,10200
2014-08-14,144200,0,10300
2014-08-15,144900,0,10400
2014-08-16,145400,0,10500
2014-08-17,145800,0,10600
2014-08-18,146200,0,10600
2014-08-19,146500,0,10700
2014-08-20,147000,0,10700
2014-08-21,147500,0,10800
2014-08-22,148200,0,10800
2014-08-23,148500,0,10800
2014-08-24,149000,0,10900
2014-08-25,149200,0,10900
2014-08-26,152000,0,11000
2014-08-27,160600,0,11800
2014-08-28,165900,0,12300
2014-08-29,171400,0,12600
2014-08-30,175700,0,13200
2014-08-31,179600,0,13400
2014-09-01,182700,0,13800
2014-09-02,186100,0,13900
2014-09-03,187900,0,14500
2014-09-04,189400,0,15100
2014-09-05,191200,0,15600
2014-09-06,193200,0,15800
2014-09-07,195000,0,16200
2014-09-08,196500,0,16400
2014-09-09,197900,0,16600
2014-09-10,199200,0,16700
2014-09-11,200300,0,16700
2014-09-12,201500,0,16800
2014-09-13,203000,0,16900
2014-09-14,204200,0,17100
2014-09-15,205300,0,17100
2014-09-16,205900,0,17200
2014-09-17,206700,0,17300
2014-09-18,207500,0,17300
2014-09-19,208400,0,17400
2014-09-20,210000,0,17700
2014-09-21,211400,0,17800
2014-09-22,212100,0,17800
2014-09-23,212800,0,18000
2014-09-24,213200,0,18000
2014-09-25,213700,0,18100
2014-09-26,214200,0,18100
