Date,'',PS4 player count,
2016-01-26,,1700,
2016-01-27,,5000,
2016-01-28,,7500,
2016-01-29,,9500,
2016-01-30,,12400,
2016-01-31,,15400,
2016-02-01,,17100,
2016-02-02,,19300,
2016-02-03,,21500,
2016-02-04,,23000,
2016-02-05,,24600,
2016-02-06,,28000,
2016-02-07,,30600,
2016-02-08,,32500,
2016-02-09,,34000,
2016-02-10,,35800,
2016-02-11,,37400,
2016-02-12,,38600,
2016-02-13,,41000,
2016-02-14,,43600,
2016-02-15,,45000,
2016-02-16,,46100,
2016-02-17,,47400,
2016-02-18,,48400,
2016-02-19,,49500,
2016-02-20,,50800,
2016-02-21,,52300,
2016-02-22,,53100,
2016-02-23,,54100,
2016-02-24,,54800,
2016-02-25,,55500,
2016-02-26,,56200,
2016-02-27,,57400,
2016-02-28,,58700,
2016-02-29,,59700,
2016-03-01,,60000,
2016-03-02,,60500,
2016-03-03,,61100,
2016-03-04,,61800,
2016-03-05,,63100,
2016-03-06,,64200,
2016-03-07,,64800,
2016-03-08,,65200,
2016-03-09,,65400,
2016-03-10,,65600,
2016-03-11,,66100,
2016-03-12,,66600,
2016-03-13,,67200,
2016-03-14,,67900,
2016-03-15,,68400,
2016-03-16,,68700,
2016-03-17,,69000,
2016-03-18,,69300,
2016-03-19,,69600,
2016-03-20,,69900,
2016-03-21,,70300,
2016-03-22,,70600,
2016-03-23,,71200,
2016-03-24,,71500,
2016-03-25,,71900,
2016-03-26,,72200,
2016-03-27,,72500,
2016-03-28,,73000,
2016-03-29,,73400,
2016-03-30,,73800,
2016-03-31,,74000,
2016-04-01,,74400,
2016-04-02,,75000,
2016-04-03,,75300,
2016-04-04,,75500,
2016-04-05,,75700,
2016-04-06,,76200,
2016-04-07,,76500,
2016-04-08,,76700,
2016-04-09,,77300,
2016-04-10,,77800,
2016-04-11,,77900,
2016-04-12,,78200,
2016-04-13,,78400,
2016-04-14,,78400,
2016-04-15,,78600,
2016-04-16,,78800,
2016-04-17,,79000,
2016-04-18,,79300,
2016-04-19,,79400,
2016-04-20,,79600,
2016-04-21,,79600,
2016-04-22,,79800,
2016-04-23,,80300,
2016-04-24,,80600,
2016-04-25,,80900,
2016-04-26,,81000,
2016-04-27,,81200,
2016-04-28,,81500,
2016-04-29,,81800,
2016-04-30,,82000,
2016-05-01,,82200,
2016-05-02,,82500,
2016-05-03,,82600,
2016-05-04,,82800,
2016-05-05,,82900,
2016-05-06,,83000,
2016-05-07,,83200,
2016-05-08,,83400,
2016-05-09,,83600,
2016-05-10,,83800,
2016-05-11,,83900,
2016-05-12,,84000,
2016-05-13,,84200,
2016-05-14,,84500,
2016-05-15,,84800,
2016-05-16,,85100,
2016-05-17,,85100,
2016-05-18,,85300,
2016-05-19,,85400,
2016-05-20,,85500,
2016-05-21,,85700,
2016-05-22,,85800,
2016-05-23,,86000,
2016-05-24,,86100,
2016-05-25,,86300,
2016-05-26,,86500,
2016-05-27,,86800,
2016-05-28,,86900,
2016-05-29,,87200,
2016-05-30,,87600,
2016-05-31,,87600,
2016-06-01,,87800,
2016-06-02,,87800,
2016-06-03,,88000,
2016-06-04,,88200,
2016-06-05,,88600,
2016-06-06,,89000,
2016-06-07,,89300,
2016-06-08,,89500,
2016-06-09,,89600,
2016-06-10,,89700,
2016-06-11,,89800,
2016-06-12,,90000,
2016-06-13,,90100,
2016-06-14,,90300,
2016-06-15,,90500,
2016-06-16,,90600,
2016-06-17,,90700,
2016-06-18,,90900,
2016-06-19,,91000,
2016-06-20,,91000,
2016-06-21,,91100,
2016-06-22,,91300,
2016-06-23,,91400,
2016-06-24,,91500,
2016-06-25,,91500,
2016-06-26,,91700,
2016-06-27,,91700,
2016-06-28,,91900,
2016-06-29,,92000,
2016-06-30,,92100,
2016-07-01,,92300,
2016-07-02,,92400,
2016-07-03,,92700,
2016-07-04,,92900,
2016-07-05,,93000,
2016-07-06,,93100,
2016-07-07,,93200,
2016-07-08,,93400,
2016-07-09,,93600,
2016-07-10,,93900,
2016-07-11,,94000,
2016-07-12,,94200,
2016-07-13,,94200,
2016-07-14,,94500,
2016-07-15,,94600,
2016-07-16,,94700,
2016-07-17,,95000,
2016-07-18,,95300,
2016-07-19,,95400,
2016-07-20,,95400,
2016-07-21,,95500,
2016-07-22,,95700,
2016-07-23,,95900,
2016-07-24,,96000,
2016-07-25,,96100,
2016-07-26,,96100,
2016-07-27,,96200,
2016-07-28,,96400,
2016-07-29,,96600,
2016-07-30,,96700,
2016-07-31,,96900,
2016-08-01,,97100,
2016-08-02,,97100,
2016-08-03,,97200,
2016-08-04,,97300,
2016-08-05,,97400,
2016-08-06,,97700,
2016-08-07,,98000,
2016-08-08,,98100,
2016-08-09,,98100,
2016-08-10,,98300,
2016-08-11,,98400,
2016-08-12,,98600,
2016-08-13,,98700,
2016-08-14,,99100,
2016-08-15,,99300,
2016-08-16,,99400,
2016-08-17,,99400,
2016-08-18,,99600,
2016-08-19,,99600,
2016-08-20,,99700,
2016-08-21,,99900,
2016-08-22,,100000,
2016-08-23,,100100,
2016-08-24,,100400,
2016-08-25,,100500,
2016-08-26,,100600,
2016-08-27,,100700,
2016-08-28,,100700,
2016-08-29,,100800,
2016-08-30,,100900,
2016-08-31,,101100,
2016-09-01,,101300,
2016-09-02,,101500,
2016-09-03,,101800,
2016-09-04,,101900,
2016-09-05,,102300,
2016-09-06,,102700,
2016-09-07,,103100,
2016-09-08,,103300,
2016-09-09,,103700,
2016-09-10,,104000,
2016-09-11,,104100,
2016-09-12,,104300,
2016-09-13,,104400,
2016-09-14,,104800,
2016-09-15,,104800,
2016-09-16,,105000,
2016-09-17,,105100,
2016-09-18,,105200,
2016-09-19,,105300,
2016-09-20,,105500,
2016-09-21,,105600,
2016-09-22,,105600,
2016-09-23,,105700,
2016-09-24,,105800,
2016-09-25,,105900,
2016-09-26,,106000,
2016-09-27,,106100,
2016-09-28,,106200,
2016-09-29,,106300,
2016-09-30,,106400,
2016-10-01,,106400,
2016-10-02,,106500,
2016-10-03,,106800,
2016-10-04,,106900,
2016-10-05,,106900,
2016-10-06,,107300,
2016-10-07,,107400,
2016-10-08,,107600,
2016-10-09,,108000,
2016-10-10,,108100,
2016-10-11,,108200,
2016-10-12,,108400,
2016-10-13,,108500,
2016-10-14,,108600,
2016-10-15,,108900,
2016-10-16,,109300,
2016-10-17,,109300,
2016-10-18,,109500,
2016-10-19,,109600,
2016-10-20,,109800,
2016-10-21,,109900,
2016-10-22,,110100,
2016-10-23,,110200,
2016-10-24,,110300,
2016-10-25,,110300,
2016-10-26,,110500,
2016-10-27,,110500,
2016-10-28,,110600,
2016-10-29,,110600,
2016-10-30,,110700,
2016-10-31,,110700,
2016-11-01,,110800,
2016-11-02,,110900,
2016-11-03,,110900,
2016-11-04,,111100,
2016-11-05,,111500,
2016-11-06,,111600,
2016-11-07,,111800,
