Date,PS3 player count,PS4 player count,PS Vita player count
2013-04-24,1000,0,300
2013-04-25,3400,0,1800
2013-04-26,6900,0,2500
2013-04-27,10900,0,3000
2013-04-28,14400,0,3500
2013-04-29,17400,0,4500
2013-04-30,20200,0,5200
2013-05-01,23100,0,6400
2013-05-02,26800,0,6700
2013-05-03,29700,0,7200
2013-05-04,33700,0,7900
2013-05-05,35800,0,8400
2013-05-06,37300,0,8700
2013-05-07,39000,0,8900
2013-05-08,41200,0,9400
2013-05-09,43400,0,9500
2013-05-10,45000,0,9900
2013-05-11,46200,0,10100
2013-05-12,47500,0,10500
2013-05-13,49400,0,10800
2013-05-14,51000,0,11000
2013-05-15,52100,0,11200
2013-05-16,52900,0,11400
2013-05-17,54200,0,11700
2013-05-18,55700,0,12000
2013-05-19,57600,0,12100
2013-05-20,58900,0,12400
2013-05-21,60100,0,12500
2013-05-22,61300,0,12600
2013-05-23,61900,0,12600
2013-05-24,62700,0,12600
2013-05-25,63500,0,13000
2013-05-26,64500,0,13100
2013-05-27,65000,0,13100
2013-05-28,65500,0,13400
2013-05-29,65900,0,13500
2013-05-30,66700,0,13700
2013-05-31,67400,0,13700
2013-06-01,68300,0,13800
2013-06-02,69200,0,13900
2013-06-03,69600,0,14000
2013-06-04,70200,0,14200
2013-06-05,70500,0,14300
2013-06-06,70900,0,14300
2013-06-07,71600,0,14500
2013-06-08,71600,0,14600
2013-06-09,71900,0,14700
2013-06-10,71900,0,14700
2013-06-11,72300,0,14700
2013-06-12,73100,0,14900
2013-06-13,73600,0,15200
2013-06-14,73900,0,15300
2013-06-15,74300,0,15400
2013-06-16,75100,0,15400
2013-06-17,75600,0,15400
2013-06-18,76000,0,15500
2013-06-19,76300,0,15500
2013-06-20,76700,0,15500
2013-06-21,77200,0,15600
2013-06-22,77700,0,15800
2013-06-23,78400,0,16100
2013-06-24,79100,0,16100
2013-06-25,79600,0,16100
2013-06-26,79700,0,16100
2013-06-27,80100,0,16100
2013-06-28,80400,0,16200
2013-06-29,80900,0,16200
2013-06-30,81300,0,16300
2013-07-01,81500,0,16400
2013-07-02,81700,0,16400
2013-07-03,82300,0,16500
2013-07-04,82400,0,16600
2013-07-05,82800,0,16700
2013-07-06,83000,0,16700
2013-07-07,83100,0,16700
2013-07-08,83200,0,16700
2013-07-09,83600,0,16800
2013-07-10,83600,0,16800
2013-07-11,83900,0,16800
2013-07-12,84200,0,17000
2013-07-13,84600,0,17000
2013-07-14,84900,0,17000
2013-07-15,85300,0,17000
2013-07-16,85300,0,17000
2013-07-17,85300,0,17000
2013-07-18,85600,0,17100
2013-07-19,85700,0,17100
2013-07-20,85800,0,17100
2013-07-21,86300,0,17100
2013-07-22,86600,0,17200
2013-07-23,86600,0,17300
2013-07-24,86700,0,17300
2013-07-25,86900,0,17300
2013-07-26,87100,0,17300
2013-07-27,87100,0,17300
2013-07-28,87600,0,17300
2013-07-29,88000,0,17300
2013-07-30,88200,0,17300
2013-07-31,88400,0,17300
2013-08-01,88600,0,17300
2013-08-02,89000,0,17300
2013-08-03,89200,0,17400
2013-08-04,89300,0,17600
2013-08-05,89600,0,17600
2013-08-06,89700,0,17700
2013-08-07,89900,0,17700
2013-08-08,90200,0,17700
2013-08-09,90700,0,17700
2013-08-10,90900,0,17800
2013-08-11,91100,0,17900
2013-08-12,91300,0,17900
2013-08-13,91500,0,17900
2013-08-14,91500,0,17900
2013-08-15,91600,0,18000
2013-08-16,91800,0,18000
2013-08-17,91900,0,18100
2013-08-18,92000,0,18100
2013-08-19,92200,0,18100
2013-08-20,92300,0,18100
2013-08-21,92400,0,18200
2013-08-22,92800,0,18200
2013-08-23,93200,0,18200
2013-08-24,93500,0,18300
2013-08-25,93700,0,18600
2013-08-26,93900,0,18700
2013-08-27,94400,0,18700
2013-08-28,94800,0,18900
2013-08-29,95000,0,18900
2013-08-30,95400,0,19000
2013-08-31,95600,0,19000
2013-09-01,95900,0,19100
2013-09-02,96000,0,19100
2013-09-03,96100,0,19300
2013-09-04,96200,0,19500
2013-09-05,96200,0,19600
2013-09-06,96300,0,19600
2013-09-07,96500,0,19600
2013-09-08,96900,0,19600
2013-09-09,96900,0,19900
2013-09-10,97000,0,19900
2013-09-11,97000,0,19900
2013-09-12,97000,0,19900
2013-09-13,97200,0,19900
2013-09-14,97200,0,19900
2013-09-15,97400,0,19900
2013-09-16,97700,0,19900
2013-09-17,98000,0,19900
2013-09-18,98100,0,19900
2013-09-19,98100,0,19900
2013-09-20,98100,0,19900
2013-09-21,98300,0,19900
2013-09-22,98300,0,19900
2013-09-23,98400,0,19900
2013-09-24,98500,0,19900
2013-09-25,98900,0,19900
2013-09-26,99000,0,20000
2013-09-27,99100,0,20000
2013-09-28,99100,0,20000
2013-09-29,99400,0,20000
2013-09-30,99500,0,20000
2013-10-01,99600,0,20100
2013-10-02,99700,0,20100
2013-10-03,99700,0,20100
2013-10-04,99700,0,20300
2013-10-05,99900,0,20300
2013-10-06,100200,0,20300
2013-10-07,100200,0,20300
