Date,'',PS4 player count,
2016-10-22,,0,
2016-10-23,,100,
2016-10-24,,200,
2016-10-25,,200,
2016-10-26,,1100,
2016-10-27,,9700,
2016-10-28,,86200,
2016-10-29,,145100,
2016-10-30,,181500,
2016-10-31,,208300,
2016-11-01,,231400,
2016-11-02,,251800,
2016-11-03,,268800,
2016-11-04,,287200,
2016-11-05,,310900,
2016-11-06,,330000,
2016-11-07,,341600,
2016-11-08,,354000,
2016-11-09,,363700,
2016-11-10,,376400,
2016-11-11,,393600,
2016-11-12,,412100,
2016-11-13,,428800,
2016-11-14,,438000,
2016-11-15,,447200,
2016-11-16,,455400,
2016-11-17,,465200,
2016-11-18,,477400,
2016-11-19,,493200,
2016-11-20,,505000,
2016-11-21,,513600,
2016-11-22,,522900,
2016-11-23,,533200,
2016-11-24,,544300,
2016-11-25,,588900,
2016-11-26,,633800,
2016-11-27,,665100,
2016-11-28,,687500,
2016-11-29,,705600,
2016-11-30,,716900,
2016-12-01,,727500,
2016-12-02,,739900,
2016-12-03,,759300,
2016-12-04,,774500,
2016-12-05,,784300,
2016-12-06,,792800,
2016-12-07,,799900,
2016-12-08,,807400,
2016-12-09,,815200,
2016-12-10,,825900,
2016-12-11,,838700,
2016-12-12,,845100,
2016-12-13,,853500,
2016-12-14,,867100,
2016-12-15,,880900,
2016-12-16,,891500,
2016-12-17,,904600,
2016-12-18,,916900,
2016-12-19,,926500,
2016-12-20,,935000,
2016-12-21,,943100,
2016-12-22,,951500,
2016-12-23,,964800,
2016-12-24,,992600,
2016-12-25,,1095300,
2016-12-26,,1169500,
2016-12-27,,1225000,
2016-12-28,,1262300,
2016-12-29,,1293400,
2016-12-30,,1321900,
2016-12-31,,1348000,
2017-01-01,,1372200,
2017-01-02,,1395200,
2017-01-03,,1417000,
2017-01-04,,1430300,
2017-01-05,,1442800,
2017-01-06,,1456400,
2017-01-07,,1472800,
2017-01-08,,1486300,
2017-01-09,,1496500,
2017-01-10,,1504600,
2017-01-11,,1511300,
2017-01-12,,1517500,
2017-01-13,,1525000,
2017-01-14,,1537200,
2017-01-15,,1548300,
2017-01-16,,1557900,
2017-01-17,,1564700,
2017-01-18,,1571000,
2017-01-19,,1576800,
2017-01-20,,1583000,
2017-01-21,,1591900,
2017-01-22,,1599800,
2017-01-23,,1605500,
2017-01-24,,1610400,
2017-01-25,,1616500,
2017-01-26,,1623000,
2017-01-27,,1630200,
2017-01-28,,1640600,
2017-01-29,,1650300,
2017-01-30,,1657300,
2017-01-31,,1663700,
2017-02-01,,1669600,
2017-02-02,,1674200,
2017-02-03,,1680200,
2017-02-04,,1689100,
2017-02-05,,1696300,
2017-02-06,,1701000,
2017-02-07,,1706100,
2017-02-08,,1710000,
2017-02-09,,1714500,
2017-02-10,,1719500,
2017-02-11,,1726500,
2017-02-12,,1733300,
2017-02-13,,1737000,
2017-02-14,,1739900,
2017-02-15,,1743700,
2017-02-16,,1747500,
2017-02-17,,1751200,
2017-02-18,,1757700,
2017-02-19,,1763600,
2017-02-20,,1768200,
2017-02-21,,1772500,
2017-02-22,,1778300,
2017-02-23,,1786300,
2017-02-24,,1796000,
2017-02-25,,1809900,
2017-02-26,,1823600,
2017-02-27,,1833900,
2017-02-28,,1845100,
2017-03-01,,1854000,
2017-03-02,,1861100,
2017-03-03,,1869300,
2017-03-04,,1879700,
2017-03-05,,1891100,
2017-03-06,,1898200,
2017-03-07,,1904700,
2017-03-08,,1910600,
2017-03-09,,1916400,
2017-03-10,,1921400,
2017-03-11,,1928800,
2017-03-12,,1933700,
2017-03-13,,1938700,
2017-03-14,,1942800,
2017-03-15,,1946600,
2017-03-16,,1950700,
2017-03-17,,1954500,
2017-03-18,,1961500,
2017-03-19,,1966700,
2017-03-20,,1970400,
2017-03-21,,1973900,
2017-03-22,,1976800,
2017-03-23,,1979700,
2017-03-24,,1983200,
2017-03-25,,1987600,
2017-03-26,,1991900,
2017-03-27,,1994500,
2017-03-28,,1997000,
2017-03-29,,1999500,
2017-03-30,,2002200,
2017-03-31,,2005500,
2017-04-01,,2011100,
2017-04-02,,2017100,
2017-04-03,,2020200,
2017-04-04,,2023800,
2017-04-05,,2027300,
2017-04-06,,2030200,
2017-04-07,,2033400,
2017-04-08,,2038200,
2017-04-09,,2042300,
2017-04-10,,2046100,
2017-04-11,,2049300,
2017-04-12,,2052100,
2017-04-13,,2055300,
2017-04-14,,2058800,
2017-04-15,,2064100,
2017-04-16,,2068000,
2017-04-17,,2071300,
2017-04-18,,2075000,
2017-04-19,,2077800,
2017-04-20,,2080600,
2017-04-21,,2084300,
2017-04-22,,2087900,
2017-04-23,,2093000,
2017-04-24,,2095300,
2017-04-25,,2097500,
2017-04-26,,2100600,
2017-04-27,,2104700,
2017-04-28,,2109900,
2017-04-29,,2116700,
2017-04-30,,2124000,
2017-05-01,,2129900,
2017-05-02,,2133900,
2017-05-03,,2138600,
2017-05-04,,2142400,
2017-05-05,,2146800,
2017-05-06,,2152400,
2017-05-07,,2158700,
2017-05-08,,2162600,
2017-05-09,,2165500,
2017-05-10,,2169300,
2017-05-11,,2172600,
2017-05-12,,2176600,
2017-05-13,,2181500,
2017-05-14,,2186000,
2017-05-15,,2188500,
2017-05-16,,2191100,
2017-05-17,,2193900,
2017-05-18,,2196700,
2017-05-19,,2200200,
2017-05-20,,2205400,
2017-05-21,,2210500,
2017-05-22,,2213300,
2017-05-23,,2216200,
2017-05-24,,2219000,
2017-05-25,,2221900,
2017-05-26,,2225300,
2017-05-27,,2228700,
2017-05-28,,2232600,
2017-05-29,,2235800,
2017-05-30,,2238700,
2017-05-31,,2241500,
2017-06-01,,2243800,
2017-06-02,,2247000,
2017-06-03,,2250700,
2017-06-04,,2254600,
2017-06-05,,2257900,
2017-06-06,,2260800,
2017-06-07,,2263800,
2017-06-08,,2267000,
2017-06-09,,2271000,
2017-06-10,,2275800,
2017-06-11,,2281200,
2017-06-12,,2285900,
2017-06-13,,2290200,
2017-06-14,,2294800,
2017-06-15,,2300500,
2017-06-16,,2307700,
2017-06-17,,2315600,
2017-06-18,,2325000,
2017-06-19,,2332200,
2017-06-20,,2338600,
2017-06-21,,2344200,
2017-06-22,,2349400,
2017-06-23,,2354100,
2017-06-24,,2360300,
2017-06-25,,2365800,
2017-06-26,,2370600,
2017-06-27,,2374200,
2017-06-28,,2378400,
2017-06-29,,2381600,
2017-06-30,,2385600,
2017-07-01,,2390100,
2017-07-02,,2394400,
2017-07-03,,2398900,
2017-07-04,,2402900,
2017-07-05,,2406100,
2017-07-06,,2410300,
2017-07-07,,2413900,
2017-07-08,,2417600,
2017-07-09,,2421500,
2017-07-10,,2425100,
2017-07-11,,2428900,
2017-07-12,,2432900,
2017-07-13,,2436500,
2017-07-14,,2441000,
2017-07-15,,2445700,
2017-07-16,,2450300,
2017-07-17,,2454100,
2017-07-18,,2458300,
2017-07-19,,2461500,
2017-07-20,,2465900,
2017-07-21,,2470500,
2017-07-22,,2475800,
2017-07-23,,2480700,
2017-07-24,,2484600,
2017-07-25,,2488400,
2017-07-26,,2494500,
2017-07-27,,2500300,
2017-07-28,,2506600,
2017-07-29,,2513800,
2017-07-30,,2520800,
2017-07-31,,2527800,
2017-08-01,,2534100,
2017-08-02,,2538500,
2017-08-03,,2542400,
2017-08-04,,2546700,
2017-08-05,,2553300,
2017-08-06,,2560000,
2017-08-07,,2563900,
2017-08-08,,2567900,
2017-08-09,,2571700,
2017-08-10,,2576200,
2017-08-11,,2581000,
2017-08-12,,2586800,
2017-08-13,,2591700,
2017-08-14,,2595200,
2017-08-15,,2599500,
2017-08-16,,2604200,
2017-08-17,,2608800,
2017-08-18,,2613800,
2017-08-19,,2619600,
2017-08-20,,2625100,
2017-08-21,,2630100,
2017-08-22,,2633800,
2017-08-23,,2637200,
2017-08-24,,2640200,
2017-08-25,,2642800,
2017-08-26,,2647400,
2017-08-27,,2651100,
2017-08-28,,2654200,
2017-08-29,,2656700,
2017-08-30,,2659600,
2017-08-31,,2662400,
2017-09-01,,2664900,
2017-09-02,,2669100,
2017-09-03,,2672900,
2017-09-04,,2675900,
2017-09-05,,2678000,
2017-09-06,,2679900,
2017-09-07,,2682500,
2017-09-08,,2685700,
2017-09-09,,2689900,
2017-09-10,,2694400,
2017-09-11,,2696700,
2017-09-12,,2699700,
2017-09-13,,2703600,
2017-09-14,,2707000,
2017-09-15,,2711800,
2017-09-16,,2718000,
2017-09-17,,2724300,
2017-09-18,,2729000,
2017-09-19,,2733500,
2017-09-20,,2737400,
2017-09-21,,2741600,
2017-09-22,,2746300,
2017-09-23,,2752300,
2017-09-24,,2757200,
2017-09-25,,2760600,
2017-09-26,,2763800,
2017-09-27,,2766800,
2017-09-28,,2770000,
2017-09-29,,2773500,
2017-09-30,,2779100,
2017-10-01,,2784100,
2017-10-02,,2787900,
2017-10-03,,2790800,
2017-10-04,,2793700,
2017-10-05,,2796600,
2017-10-06,,2799200,
2017-10-07,,2803200,
2017-10-08,,2807300,
2017-10-09,,2809800,
2017-10-10,,2811700,
2017-10-11,,2813400,
2017-10-12,,2816100,
2017-10-13,,2818700,
2017-10-14,,2821800,
2017-10-15,,2825100,
2017-10-16,,2827500,
2017-10-17,,2829800,
2017-10-18,,2832100,
2017-10-19,,2833900,
2017-10-20,,2836300,
2017-10-21,,2839200,
2017-10-22,,2842600,
2017-10-23,,2844500,
2017-10-24,,2846300,
2017-10-25,,2848100,
2017-10-26,,2850000,
2017-10-27,,2851700,
2017-10-28,,2854500,
2017-10-29,,2857600,
2017-10-30,,2859400,
2017-10-31,,2861200,
2017-11-01,,2863500,
2017-11-02,,2865200,
2017-11-03,,2867900,
2017-11-04,,2871600,
2017-11-05,,2875400,
2017-11-06,,2878000,
2017-11-07,,2880200,
2017-11-08,,2882200,
2017-11-09,,2884300,
2017-11-10,,2887200,
2017-11-11,,2891500,
2017-11-12,,2894900,
2017-11-13,,2897500,
2017-11-14,,2899100,
2017-11-15,,2901500,
2017-11-16,,2903700,
2017-11-17,,2906300,
2017-11-18,,2909700,
2017-11-19,,2912800,
2017-11-20,,2915300,
2017-11-21,,2917800,
2017-11-22,,2921200,
2017-11-23,,2924500,
2017-11-24,,2930500,
2017-11-25,,2938300,
2017-11-26,,2943900,
2017-11-27,,2948300,
2017-11-28,,2951700,
2017-11-29,,2954400,
2017-11-30,,2956700,
2017-12-01,,2959400,
2017-12-02,,2963000,
2017-12-03,,2966700,
2017-12-04,,2968800,
2017-12-05,,2971300,
2017-12-06,,2973100,
2017-12-07,,2975200,
2017-12-08,,2976800,
2017-12-09,,2980500,
2017-12-10,,2984200,
2017-12-11,,2986400,
2017-12-12,,2987900,
2017-12-13,,2989800,
2017-12-14,,2991300,
2017-12-15,,2993100,
2017-12-16,,2996300,
2017-12-17,,3000200,
2017-12-18,,3002400,
2017-12-19,,3004500,
2017-12-20,,3006900,
2017-12-21,,3010000,
2017-12-22,,3012400,
2017-12-23,,3016400,
2017-12-24,,3023600,
2017-12-25,,3036900,
2017-12-26,,3049600,
2017-12-27,,3059500,
2017-12-28,,3066800,
2017-12-29,,3074100,
2017-12-30,,3082400,
2017-12-31,,3089200,
2018-01-01,,3094400,
2018-01-02,,3099900,
2018-01-03,,3104700,
2018-01-04,,3109200,
2018-01-05,,3114000,
2018-01-06,,3119200,
2018-01-07,,3124800,
2018-01-08,,3128000,
2018-01-09,,3130500,
2018-01-10,,3132500,
2018-01-11,,3134700,
2018-01-12,,3137800,
2018-01-13,,3141700,
2018-01-14,,3146200,
2018-01-15,,3150200,
2018-01-16,,3152700,
2018-01-17,,3155600,
2018-01-18,,3158200,
2018-01-19,,3160500,
2018-01-20,,3164200,
2018-01-21,,3168200,
2018-01-22,,3170500,
2018-01-23,,3173400,
2018-01-24,,3175900,
2018-01-25,,3178500,
2018-01-26,,3181500,
2018-01-27,,3185900,
2018-01-28,,3189700,
2018-01-29,,3192000,
2018-01-30,,3194900,
2018-01-31,,3197100,
2018-02-01,,3199500,
2018-02-02,,3201600,
2018-02-03,,3205300,
2018-02-04,,3208500,
2018-02-05,,3210500,
2018-02-06,,3212700,
2018-02-07,,3214800,
2018-02-08,,3217300,
2018-02-09,,3220800,
2018-02-10,,3226500,
2018-02-11,,3232000,
2018-02-12,,3235600,
2018-02-13,,3238300,
2018-02-14,,3242300,
2018-02-15,,3246200,
2018-02-16,,3250600,
2018-02-17,,3259400,
2018-02-18,,3267600,
2018-02-19,,3274300,
2018-02-20,,3279300,
2018-02-21,,3284100,
2018-02-22,,3290100,
2018-02-23,,3295300,
2018-02-24,,3302500,
2018-02-25,,3310500,
2018-02-26,,3317000,
2018-02-27,,3321600,
2018-02-28,,3326800,
2018-03-01,,3333000,
2018-03-02,,3339500,
2018-03-03,,3348300,
2018-03-04,,3358000,
2018-03-05,,3365000,
2018-03-06,,3372000,
2018-03-07,,3377400,
2018-03-08,,3381300,
2018-03-09,,3385400,
2018-03-10,,3390500,
2018-03-11,,3396100,
2018-03-12,,3399600,
2018-03-13,,3402800,
2018-03-14,,3406900,
2018-03-15,,3410700,
2018-03-16,,3415400,
2018-03-17,,3422800,
2018-03-18,,3430100,
2018-03-19,,3435200,
2018-03-20,,3439500,
