Date,'',PS4 player count,PS Vita player count
2015-04-14,,100,0
2015-04-15,,800,0
2015-04-16,,1300,200
2015-04-17,,2100,200
2015-04-18,,2700,200
2015-04-19,,3400,300
2015-04-20,,3900,500
2015-04-21,,4300,500
2015-04-22,,4600,500
2015-04-23,,4900,500
2015-04-24,,5000,600
2015-04-25,,5400,600
2015-04-26,,5700,700
2015-04-27,,5900,700
2015-04-28,,6400,800
2015-04-29,,6600,800
2015-04-30,,6800,900
2015-05-01,,7000,900
2015-05-02,,7200,900
2015-05-03,,7200,900
2015-05-04,,7300,900
2015-05-05,,7600,1000
2015-05-06,,7900,1000
2015-05-07,,7900,1000
2015-05-08,,8100,1000
2015-05-09,,8200,1000
2015-05-10,,8500,1000
2015-05-11,,8700,1100
2015-05-12,,8900,1100
2015-05-13,,9000,1100
2015-05-14,,9200,1100
2015-05-15,,9400,1100
2015-05-16,,9500,1100
2015-05-17,,9600,1100
2015-05-18,,9600,1100
2015-05-19,,9700,1100
2015-05-20,,9900,1100
2015-05-21,,10000,1100
2015-05-22,,10000,1100
2015-05-23,,10000,1200
2015-05-24,,10000,1200
2015-05-25,,10100,1200
2015-05-26,,10100,1300
2015-05-27,,10200,1300
2015-05-28,,10200,1300
2015-05-29,,10200,1300
2015-05-30,,10300,1300
2015-05-31,,10500,1300
2015-06-01,,10500,1300
2015-06-02,,10600,1300
2015-06-03,,10700,1300
2015-06-04,,10700,1300
2015-06-05,,10700,1300
2015-06-06,,10700,1300
2015-06-07,,10700,1300
2015-06-08,,10700,1400
2015-06-09,,10700,1400
2015-06-10,,10800,1400
2015-06-11,,10900,1600
2015-06-12,,11100,1600
2015-06-13,,11100,1600
2015-06-14,,11100,1600
2015-06-15,,11100,1600
2015-06-16,,11300,1600
2015-06-17,,11400,1600
2015-06-18,,11400,1600
2015-06-19,,11500,1600
2015-06-20,,11700,1600
2015-06-21,,11700,1600
2015-06-22,,11800,1600
2015-06-23,,12000,1600
2015-06-24,,12000,1600
2015-06-25,,12100,1600
2015-06-26,,12100,1600
2015-06-27,,12300,1600
2015-06-28,,12400,1600
2015-06-29,,12400,1600
2015-06-30,,12500,1600
2015-07-01,,12500,1600
2015-07-02,,12600,1600
2015-07-03,,12700,1600
2015-07-04,,12700,1600
2015-07-05,,12700,1600
2015-07-06,,12800,1700
2015-07-07,,13000,1700
2015-07-08,,13000,1700
2015-07-09,,13100,1800
2015-07-10,,13100,1800
2015-07-11,,13100,1800
2015-07-12,,13100,1800
2015-07-13,,13100,1800
2015-07-14,,13100,1800
2015-07-15,,13200,1800
2015-07-16,,13200,1800
2015-07-17,,13200,1800
2015-07-18,,13200,1800
2015-07-19,,13300,1800
2015-07-20,,13300,1800
2015-07-21,,13300,1800
2015-07-22,,13400,1800
2015-07-23,,13400,1800
2015-07-24,,13500,1900
2015-07-25,,13500,1900
2015-07-26,,13600,1900
2015-07-27,,13600,1900
2015-07-28,,13600,1900
2015-07-29,,13600,1900
2015-07-30,,13600,1900
2015-07-31,,13600,1900
2015-08-01,,13600,1900
2015-08-02,,13800,1900
2015-08-03,,13800,1900
2015-08-04,,13800,1900
2015-08-05,,13900,1900
2015-08-06,,13900,1900
2015-08-07,,13900,1900
2015-08-08,,13900,1900
2015-08-09,,13900,1900
2015-08-10,,13900,1900
2015-08-11,,13900,1900
2015-08-12,,13900,1900
2015-08-13,,14000,1900
2015-08-14,,14000,1900
2015-08-15,,14000,1900
2015-08-16,,14000,1900
2015-08-17,,14100,1900
2015-08-18,,14200,1900
2015-08-19,,14200,1900
2015-08-20,,14200,1900
2015-08-21,,14300,1900
2015-08-22,,14300,1900
2015-08-23,,14300,1900
2015-08-24,,14400,1900
2015-08-25,,14400,1900
2015-08-26,,14600,1900
2015-08-27,,14700,2000
2015-08-28,,15100,2200
2015-08-29,,15400,2200
2015-08-30,,15700,2300
2015-08-31,,15800,2300
2015-09-01,,16100,2400
2015-09-02,,16500,2400
2015-09-03,,16700,2500
2015-09-04,,16900,2600
2015-09-05,,17100,2600
2015-09-06,,17300,2800
2015-09-07,,17500,2800
2015-09-08,,17700,2800
2015-09-09,,17800,2800
2015-09-10,,18000,2800
2015-09-11,,18100,2800
2015-09-12,,18100,2800
2015-09-13,,18300,2800
2015-09-14,,18500,2900
2015-09-15,,18500,2900
2015-09-16,,18600,2900
2015-09-17,,18600,3000
2015-09-18,,18700,3000
2015-09-19,,18700,3000
2015-09-20,,18900,3000
2015-09-21,,18900,3000
2015-09-22,,18900,3000
2015-09-23,,19000,3000
2015-09-24,,19100,3000
2015-09-25,,19100,3000
2015-09-26,,19200,3100
2015-09-27,,19300,3100
2015-09-28,,19300,3100
2015-09-29,,19300,3100
2015-09-30,,19300,3100
2015-10-01,,19300,3100
2015-10-02,,19400,3100
2015-10-03,,19500,3100
2015-10-04,,19500,3100
2015-10-05,,19600,3100
2015-10-06,,19600,3100
2015-10-07,,19700,3100
2015-10-08,,19700,3100
2015-10-09,,19700,3100
2015-10-10,,19700,3100
2015-10-11,,19800,3100
2015-10-12,,19800,3100
2015-10-13,,19800,3100
2015-10-14,,19800,3100
2015-10-15,,19900,3100
2015-10-16,,19900,3100
2015-10-17,,19900,3100
2015-10-18,,20000,3100
2015-10-19,,20100,3100
2015-10-20,,20100,3100
2015-10-21,,20100,3100
2015-10-22,,20100,3100
2015-10-23,,20200,3100
2015-10-24,,20300,3100
2015-10-25,,20300,3100
2015-10-26,,20300,3100
2015-10-27,,20300,3100
2015-10-28,,20400,3100
2015-10-29,,20400,3100
2015-10-30,,20400,3100
2015-10-31,,20400,3100
2015-11-01,,20500,3100
2015-11-02,,20500,3100
2015-11-03,,20600,3100
2015-11-04,,20600,3100
2015-11-05,,20600,3100
2015-11-06,,20600,3100
2015-11-07,,20600,3200
2015-11-08,,20600,3200
2015-11-09,,20700,3200
2015-11-10,,20800,3200
2015-11-11,,20800,3200
2015-11-12,,20900,3200
2015-11-13,,21000,3200
2015-11-14,,21000,3200
2015-11-15,,21000,3200
2015-11-16,,21000,3200
2015-11-17,,21000,3200
2015-11-18,,21000,3200
2015-11-19,,21000,3200
2015-11-20,,21000,3200
2015-11-21,,21000,3200
2015-11-22,,21000,3200
2015-11-23,,21000,3200
2015-11-24,,21000,3200
2015-11-25,,21000,3200
2015-11-26,,21000,3200
2015-11-27,,21200,3200
2015-11-28,,21300,3200
2015-11-29,,21500,3300
2015-11-30,,21800,3300
2015-12-01,,21800,3300
2015-12-02,,21900,3300
2015-12-03,,22100,3300
2015-12-04,,22100,3300
2015-12-05,,22100,3300
2015-12-06,,22100,3300
2015-12-07,,22100,3300
2015-12-08,,22200,3300
2015-12-09,,22200,3300
2015-12-10,,22200,3300
2015-12-11,,22200,3300
2015-12-12,,22300,3400
2015-12-13,,22300,3400
2015-12-14,,22300,3400
