Date,'',PS4 player count,PS Vita player count
2014-03-12,,200,0
2014-03-13,,300,0
2014-03-14,,500,0
2014-03-15,,1100,0
2014-03-16,,1400,0
2014-03-17,,1500,0
2014-03-18,,1800,0
2014-03-19,,2000,100
2014-03-20,,2100,100
2014-03-21,,2200,100
2014-03-22,,2400,100
2014-03-23,,2900,100
2014-03-24,,3300,100
2014-03-25,,3300,100
2014-03-26,,3300,100
2014-03-27,,3400,100
2014-03-28,,3400,100
2014-03-29,,3800,100
2014-03-30,,4300,100
2014-03-31,,4400,100
2014-04-01,,4600,100
2014-04-02,,4600,100
2014-04-03,,4800,100
2014-04-04,,5100,100
2014-04-05,,5200,100
2014-04-06,,5400,100
2014-04-07,,5400,100
2014-04-08,,5400,100
2014-04-09,,5500,100
2014-04-10,,5500,100
2014-04-11,,5500,100
2014-04-12,,5700,100
2014-04-13,,5800,100
2014-04-14,,5900,100
2014-04-15,,6000,100
2014-04-16,,6000,100
2014-04-17,,6000,100
2014-04-18,,6100,100
2014-04-19,,6200,100
2014-04-20,,6400,100
2014-04-21,,6400,100
2014-04-22,,6500,100
2014-04-23,,6500,100
2014-04-24,,6600,100
2014-04-25,,6700,100
2014-04-26,,6700,100
2014-04-27,,6800,100
2014-04-28,,6900,100
2014-04-29,,6900,100
2014-04-30,,6900,100
2014-05-01,,6900,100
2014-05-02,,7000,100
2014-05-03,,7200,100
2014-05-04,,7300,100
2014-05-05,,7300,100
2014-05-06,,7300,100
2014-05-07,,7300,100
2014-05-08,,7300,100
2014-05-09,,7400,100
2014-05-10,,7400,100
2014-05-11,,7400,100
2014-05-12,,7500,100
2014-05-13,,7500,100
2014-05-14,,7600,100
2014-05-15,,7700,100
2014-05-16,,7800,100
2014-05-17,,7800,100
2014-05-18,,7900,100
2014-05-19,,7900,100
2014-05-20,,8000,100
2014-05-21,,8000,100
2014-05-22,,8000,100
2014-05-23,,8000,100
2014-05-24,,8000,100
2014-05-25,,8100,100
2014-05-26,,8300,100
2014-05-27,,8300,100
2014-05-28,,8300,100
2014-05-29,,8300,100
2014-05-30,,8400,100
2014-05-31,,8500,100
2014-06-01,,8500,100
2014-06-02,,8500,100
2014-06-03,,8500,100
2014-06-04,,8500,100
2014-06-05,,8500,100
2014-06-06,,8500,100
2014-06-07,,8500,100
2014-06-08,,8600,100
2014-06-09,,8600,100
2014-06-10,,8600,100
2014-06-11,,8600,100
2014-06-12,,8700,100
2014-06-13,,8800,100
2014-06-14,,9000,100
2014-06-15,,9000,100
2014-06-16,,9000,100
2014-06-17,,9100,100
2014-06-18,,9100,100
2014-06-19,,9100,100
2014-06-20,,9100,100
2014-06-21,,9100,100
2014-06-22,,9100,100
2014-06-23,,9200,100
2014-06-24,,9200,100
2014-06-25,,9300,100
2014-06-26,,9500,100
2014-06-27,,9500,100
2014-06-28,,9500,100
2014-06-29,,9500,100
2014-06-30,,9500,100
2014-07-01,,11200,100
2014-07-02,,22100,200
2014-07-03,,37100,200
2014-07-04,,50800,200
2014-07-05,,63600,200
2014-07-06,,74900,200
2014-07-07,,84400,200
2014-07-08,,93000,200
2014-07-09,,100400,200
2014-07-10,,108200,200
2014-07-11,,116700,200
2014-07-12,,125400,200
2014-07-13,,132600,200
2014-07-14,,140600,300
2014-07-15,,147500,300
2014-07-16,,153700,300
2014-07-17,,160700,300
2014-07-18,,168000,300
2014-07-19,,176200,300
2014-07-20,,183400,300
2014-07-21,,191100,300
2014-07-22,,198800,400
2014-07-23,,204100,400
2014-07-24,,209400,400
2014-07-25,,214900,500
2014-07-26,,221900,500
2014-07-27,,228700,500
2014-07-28,,235200,500
2014-07-29,,242100,500
2014-07-30,,248900,500
2014-07-31,,255300,500
2014-08-01,,261500,500
2014-08-02,,269900,500
2014-08-03,,277400,500
2014-08-04,,283400,500
2014-08-05,,290100,500
2014-08-06,,296100,500
2014-08-07,,299800,500
2014-08-08,,303800,500
2014-08-09,,308200,600
2014-08-10,,313000,600
2014-08-11,,316200,600
2014-08-12,,318800,600
2014-08-13,,321800,600
2014-08-14,,324400,700
2014-08-15,,327300,700
2014-08-16,,330300,800
2014-08-17,,333800,800
2014-08-18,,337100,800
2014-08-19,,340000,800
2014-08-20,,342400,800
2014-08-21,,344700,800
2014-08-22,,346700,800
2014-08-23,,349400,800
2014-08-24,,349900,800
2014-08-25,,352000,800
2014-08-26,,354500,800
2014-08-27,,356400,800
2014-08-28,,358400,800
2014-08-29,,361100,800
2014-08-30,,363300,800
2014-08-31,,366000,800
2014-09-01,,367800,800
2014-09-02,,368800,800
2014-09-03,,370800,800
2014-09-04,,372300,800
2014-09-05,,373900,800
2014-09-06,,376800,800
2014-09-07,,379200,800
2014-09-08,,381000,800
2014-09-09,,384300,900
2014-09-10,,386800,900
2014-09-11,,389800,900
2014-09-12,,392200,900
2014-09-13,,395500,900
2014-09-14,,397900,900
2014-09-15,,399600,900
2014-09-16,,401000,900
2014-09-17,,402800,900
2014-09-18,,403900,900
2014-09-19,,405200,900
2014-09-20,,406800,900
2014-09-21,,408500,900
2014-09-22,,409200,900
2014-09-23,,410000,900
2014-09-24,,411100,900
2014-09-25,,412400,900
2014-09-26,,413100,900
2014-09-27,,414900,900
2014-09-28,,416500,900
2014-09-29,,417800,900
2014-09-30,,418600,900
2014-10-01,,419700,900
2014-10-02,,420500,900
2014-10-03,,421900,900
2014-10-04,,423400,900
2014-10-05,,424600,900
2014-10-06,,425700,900
2014-10-07,,427000,900
2014-10-08,,427900,900
2014-10-09,,428900,900
2014-10-10,,430400,900
2014-10-11,,432200,900
2014-10-12,,433100,900
2014-10-13,,434600,900
2014-10-14,,435200,900
2014-10-15,,435700,900
2014-10-16,,436500,900
2014-10-17,,437300,900
2014-10-18,,438900,900
2014-10-19,,440100,900
2014-10-20,,441000,900
2014-10-21,,441700,900
2014-10-22,,442500,900
2014-10-23,,443000,900
2014-10-24,,443700,900
2014-10-25,,444700,900
2014-10-26,,445800,900
2014-10-27,,446300,900
2014-10-28,,447800,900
2014-10-29,,449000,900
2014-10-30,,450200,900
2014-10-31,,451300,900
2014-11-01,,452600,900
2014-11-02,,454400,900
2014-11-03,,455100,900
2014-11-04,,456100,900
2014-11-05,,457400,900
2014-11-06,,458900,900
2014-11-07,,460000,900
2014-11-08,,462500,900
2014-11-09,,463400,1100
2014-11-10,,464700,1100
2014-11-11,,466100,1100
2014-11-12,,466700,1100
2014-11-13,,467600,1100
2014-11-14,,468700,1100
2014-11-15,,469800,1100
2014-11-16,,471100,1100
2014-11-17,,471600,1100
2014-11-18,,473000,1100
2014-11-19,,473800,1100
2014-11-20,,474600,1100
2014-11-21,,475800,1100
2014-11-22,,477100,1100
2014-11-23,,478100,1100
2014-11-24,,478700,1100
2014-11-25,,479400,1100
2014-11-26,,480100,1100
2014-11-27,,481100,1100
2014-11-28,,481600,1100
2014-11-29,,483200,1100
2014-11-30,,484000,1100
2014-12-01,,484700,1100
2014-12-02,,485300,1100
2014-12-03,,485900,1100
2014-12-04,,486200,1100
2014-12-05,,486800,1100
2014-12-06,,488400,1100
2014-12-07,,489000,1100
2014-12-08,,489400,1100
2014-12-09,,490300,1100
2014-12-10,,490500,1100
2014-12-11,,491300,1100
2014-12-12,,491700,1100
