Date,PS3 player count,PS4 player count,
2015-04-07,0,0,
2015-04-08,1100,16800,
2015-04-09,3800,42200,
2015-04-10,5500,64000,
2015-04-11,8000,90000,
2015-04-12,10300,116000,
2015-04-13,12000,132200,
2015-04-14,13400,148100,
2015-04-15,14700,163700,
2015-04-16,16000,176700,
2015-04-17,17300,190700,
2015-04-18,18600,209000,
2015-04-19,19600,226400,
2015-04-20,20900,237300,
2015-04-21,22000,247000,
2015-04-22,22800,256000,
2015-04-23,23400,265700,
2015-04-24,24000,275200,
2015-04-25,24700,290400,
2015-04-26,25600,304000,
2015-04-27,26400,313100,
2015-04-28,27200,321700,
2015-04-29,27900,329600,
2015-04-30,28500,338000,
2015-05-01,29200,347000,
2015-05-02,30000,360200,
2015-05-03,30700,372300,
2015-05-04,31400,379800,
2015-05-05,32300,385400,
2015-05-06,32800,392500,
2015-05-07,33400,399600,
2015-05-08,34100,407000,
2015-05-09,35000,416900,
2015-05-10,35700,425300,
2015-05-11,36000,431100,
2015-05-12,36500,436200,
2015-05-13,36700,442100,
2015-05-14,37000,446900,
2015-05-15,37200,452900,
2015-05-16,37500,459600,
2015-05-17,37900,465700,
2015-05-18,38400,470200,
2015-05-19,38600,474300,
2015-05-20,38800,478200,
2015-05-21,39100,481800,
2015-05-22,39600,485800,
2015-05-23,39900,491100,
2015-05-24,40400,496800,
2015-05-25,40400,501400,
2015-05-26,40600,505600,
2015-05-27,40800,509400,
2015-05-28,40900,512500,
2015-05-29,41100,515600,
2015-05-30,41300,519900,
2015-05-31,41500,525300,
2015-06-01,41900,528100,
2015-06-02,42100,531100,
2015-06-03,42100,534600,
2015-06-04,42400,537700,
2015-06-05,42400,540400,
2015-06-06,42900,544700,
2015-06-07,43000,549400,
2015-06-08,43200,552600,
2015-06-09,43300,555800,
2015-06-10,43400,558600,
2015-06-11,43400,561000,
2015-06-12,43700,563700,
2015-06-13,43900,566400,
2015-06-14,44000,568900,
2015-06-15,44000,571100,
2015-06-16,44200,573100,
2015-06-17,44200,575400,
2015-06-18,44300,577600,
2015-06-19,44400,580000,
2015-06-20,44500,582500,
2015-06-21,44700,584700,
2015-06-22,44800,586900,
2015-06-23,45000,588900,
2015-06-24,45200,591000,
2015-06-25,45200,593400,
2015-06-26,45400,595400,
2015-06-27,45400,597200,
2015-06-28,45600,599300,
2015-06-29,45700,601100,
2015-06-30,45800,602800,
2015-07-01,45900,604700,
2015-07-02,46000,606100,
2015-07-03,46100,607500,
2015-07-04,46300,608800,
2015-07-05,46500,611000,
2015-07-06,46500,613200,
2015-07-07,46600,614800,
2015-07-08,46800,617100,
2015-07-09,46900,619200,
2015-07-10,46900,621500,
2015-07-11,47100,623800,
2015-07-12,47300,626500,
2015-07-13,47500,628500,
2015-07-14,47600,630600,
2015-07-15,47800,632100,
2015-07-16,47900,633600,
2015-07-17,48000,635000,
2015-07-18,48100,636800,
2015-07-19,48100,638600,
2015-07-20,48200,639900,
2015-07-21,48300,641400,
2015-07-22,48500,643300,
2015-07-23,48600,644300,
2015-07-24,48700,645300,
2015-07-25,48700,646900,
2015-07-26,48700,648700,
2015-07-27,48800,650100,
2015-07-28,48900,651400,
2015-07-29,48900,652500,
2015-07-30,49100,654000,
2015-07-31,49100,655300,
2015-08-01,49200,656500,
2015-08-02,49300,657700,
2015-08-03,49400,659000,
2015-08-04,49600,660000,
2015-08-05,49700,661200,
2015-08-06,49800,662000,
2015-08-07,50000,663000,
2015-08-08,50100,664000,
2015-08-09,50200,665100,
2015-08-10,50300,666400,
2015-08-11,50400,667400,
2015-08-12,50400,668700,
2015-08-13,50500,669800,
2015-08-14,50700,670700,
2015-08-15,50700,672100,
2015-08-16,50900,673000,
2015-08-17,50900,674000,
2015-08-18,50900,674500,
2015-08-19,51000,675500,
2015-08-20,51100,676100,
2015-08-21,51200,677200,
2015-08-22,51200,678600,
2015-08-23,51200,679500,
2015-08-24,51300,680400,
2015-08-25,51300,681100,
2015-08-26,51300,682000,
2015-08-27,51300,682700,
2015-08-28,51300,683600,
2015-08-29,51400,684700,
2015-08-30,51400,685900,
2015-08-31,51500,686600,
2015-09-01,51600,687500,
2015-09-02,51700,688600,
2015-09-03,51800,689700,
