Date,'',PS4 player count,
2016-03-18,,0,
2016-03-19,,0,
2016-03-20,,0,
2016-03-21,,0,
2016-03-22,,100,
2016-03-23,,1000,
2016-03-24,,3300,
2016-03-25,,6200,
2016-03-26,,9100,
2016-03-27,,11700,
2016-03-28,,13900,
2016-03-29,,15800,
2016-03-30,,18000,
2016-03-31,,20200,
2016-04-01,,22200,
2016-04-02,,24800,
2016-04-03,,27200,
2016-04-04,,28700,
2016-04-05,,30700,
2016-04-06,,32400,
2016-04-07,,34000,
2016-04-08,,35200,
2016-04-09,,37200,
2016-04-10,,39500,
2016-04-11,,40900,
2016-04-12,,41800,
2016-04-13,,43000,
2016-04-14,,44300,
2016-04-15,,46100,
2016-04-16,,48300,
2016-04-17,,49500,
2016-04-18,,50800,
2016-04-19,,51700,
2016-04-20,,52400,
2016-04-21,,53400,
2016-04-22,,54200,
2016-04-23,,55500,
2016-04-24,,56300,
2016-04-25,,57200,
2016-04-26,,57900,
2016-04-27,,58700,
2016-04-28,,59400,
2016-04-29,,60800,
2016-04-30,,62600,
2016-05-01,,63900,
2016-05-02,,65000,
2016-05-03,,65600,
2016-05-04,,66500,
2016-05-05,,67400,
2016-05-06,,68900,
2016-05-07,,69800,
2016-05-08,,70800,
2016-05-09,,71300,
2016-05-10,,72000,
2016-05-11,,72800,
2016-05-12,,73600,
2016-05-13,,74200,
2016-05-14,,75800,
2016-05-15,,77400,
2016-05-16,,78300,
2016-05-17,,79100,
2016-05-18,,79700,
2016-05-19,,80100,
2016-05-20,,80800,
2016-05-21,,82300,
2016-05-22,,83700,
2016-05-23,,84600,
2016-05-24,,84900,
2016-05-25,,85700,
2016-05-26,,86400,
2016-05-27,,87400,
2016-05-28,,88500,
2016-05-29,,89600,
2016-05-30,,90300,
2016-05-31,,90700,
2016-06-01,,91900,
2016-06-02,,92400,
2016-06-03,,92800,
2016-06-04,,93500,
2016-06-05,,94600,
2016-06-06,,95300,
2016-06-07,,96000,
2016-06-08,,96700,
2016-06-09,,97600,
2016-06-10,,98500,
2016-06-11,,99300,
2016-06-12,,100400,
2016-06-13,,101100,
2016-06-14,,102100,
2016-06-15,,103000,
2016-06-16,,103400,
2016-06-17,,104100,
2016-06-18,,105200,
2016-06-19,,106000,
2016-06-20,,106800,
2016-06-21,,107200,
2016-06-22,,107700,
2016-06-23,,108200,
2016-06-24,,108800,
2016-06-25,,109600,
2016-06-26,,110600,
2016-06-27,,111200,
2016-06-28,,111800,
2016-06-29,,112800,
2016-06-30,,113300,
2016-07-01,,113600,
2016-07-02,,114700,
2016-07-03,,115300,
2016-07-04,,116300,
2016-07-05,,117000,
