Date,PS3 player count,PS4 player count,
2015-10-06,0,1100,
2015-10-07,200,3000,
2015-10-08,300,4300,
2015-10-09,400,6800,
2015-10-10,800,8700,
2015-10-11,1000,11100,
2015-10-12,1200,12300,
2015-10-13,1200,13800,
2015-10-14,1400,15600,
2015-10-15,1500,16500,
2015-10-16,1700,17600,
2015-10-17,1800,19200,
2015-10-18,1800,21000,
2015-10-19,2000,22100,
2015-10-20,2000,22600,
2015-10-21,2200,23300,
2015-10-22,2300,23800,
2015-10-23,2500,24700,
2015-10-24,2500,26000,
2015-10-25,2600,26700,
2015-10-26,2600,27400,
2015-10-27,2600,28000,
2015-10-28,2700,28500,
2015-10-29,2700,29200,
2015-10-30,2800,29800,
2015-10-31,2900,30600,
2015-11-01,3100,31200,
2015-11-02,3100,31500,
2015-11-03,3300,32100,
2015-11-04,3400,32400,
2015-11-05,3500,32900,
2015-11-06,3600,33400,
2015-11-07,3700,34600,
2015-11-08,3800,35600,
2015-11-09,3900,36200,
2015-11-10,3900,36500,
2015-11-11,4000,36800,
2015-11-12,4000,37500,
2015-11-13,4100,38000,
2015-11-14,4100,38700,
2015-11-15,4400,39300,
2015-11-16,4400,39600,
2015-11-17,4500,40200,
2015-11-18,4500,40500,
2015-11-19,4600,40900,
2015-11-20,4700,41600,
2015-11-21,4700,42200,
2015-11-22,4900,42800,
2015-11-23,4900,43000,
2015-11-24,5000,43300,
2015-11-25,5000,43700,
2015-11-26,5000,44100,
2015-11-27,5100,45500,
2015-11-28,5200,46900,
2015-11-29,5300,48600,
2015-11-30,5400,49700,
2015-12-01,5400,50700,
2015-12-02,5400,51500,
2015-12-03,5500,52400,
2015-12-04,5600,52900,
2015-12-05,5700,53700,
2015-12-06,6000,54600,
2015-12-07,6000,55300,
2015-12-08,6200,55800,
2015-12-09,6300,56500,
2015-12-10,6300,56800,
2015-12-11,6400,57400,
2015-12-12,6500,57900,
2015-12-13,6500,58300,
2015-12-14,6500,58700,
2015-12-15,6600,59200,
2015-12-16,6600,59500,
2015-12-17,6600,59800,
2015-12-18,6700,60200,
2015-12-19,6900,60700,
2015-12-20,7000,61500,
2015-12-21,7000,62300,
2015-12-22,7000,62700,
2015-12-23,7200,63600,
2015-12-24,7300,64300,
2015-12-25,7300,67400,
2015-12-26,7700,70000,
2015-12-27,8200,72400,
2015-12-28,8400,74200,
2015-12-29,8500,75600,
2015-12-30,8700,76900,
2015-12-31,8800,78400,
2016-01-01,8900,79800,
2016-01-02,9100,81300,
2016-01-03,9200,82100,
2016-01-04,9300,82700,
