Date,'',PS4 player count,
2014-05-17,,0,
2014-05-18,,0,
2014-05-19,,0,
2014-05-20,,400,
2014-05-21,,1900,
2014-05-22,,3200,
2014-05-23,,4900,
2014-05-24,,6600,
2014-05-25,,8400,
2014-05-26,,10100,
2014-05-27,,11400,
2014-05-28,,12500,
2014-05-29,,13400,
2014-05-30,,14100,
2014-05-31,,14600,
2014-06-01,,15800,
2014-06-02,,16700,
2014-06-03,,17300,
2014-06-04,,17900,
2014-06-05,,18700,
2014-06-06,,19200,
2014-06-07,,19800,
2014-06-08,,20600,
2014-06-09,,21200,
2014-06-10,,21800,
2014-06-11,,22300,
2014-06-12,,22800,
2014-06-13,,23200,
2014-06-14,,23600,
2014-06-15,,24300,
2014-06-16,,24600,
2014-06-17,,25100,
2014-06-18,,25600,
2014-06-19,,25900,
2014-06-20,,26500,
2014-06-21,,27100,
2014-06-22,,27800,
2014-06-23,,28300,
2014-06-24,,28600,
2014-06-25,,29000,
2014-06-26,,29300,
2014-06-27,,29700,
2014-06-28,,30000,
2014-06-29,,30300,
2014-06-30,,30700,
2014-07-01,,31300,
2014-07-02,,31600,
2014-07-03,,31900,
2014-07-04,,32300,
2014-07-05,,32800,
2014-07-06,,33300,
2014-07-07,,33700,
2014-07-08,,33900,
2014-07-09,,34300,
2014-07-10,,34700,
2014-07-11,,34800,
2014-07-12,,35000,
2014-07-13,,35400,
2014-07-14,,35500,
2014-07-15,,36100,
2014-07-16,,36500,
2014-07-17,,37000,
2014-07-18,,37300,
2014-07-19,,37400,
2014-07-20,,37800,
2014-07-21,,38000,
2014-07-22,,38200,
2014-07-23,,38700,
2014-07-24,,38800,
2014-07-25,,38900,
2014-07-26,,39100,
2014-07-27,,39300,
2014-07-28,,39600,
2014-07-29,,40100,
2014-07-30,,40300,
2014-07-31,,40700,
2014-08-01,,41100,
2014-08-02,,41500,
2014-08-03,,41900,
2014-08-04,,42400,
2014-08-05,,42500,
2014-08-06,,42800,
2014-08-07,,43100,
2014-08-08,,43400,
2014-08-09,,43900,
2014-08-10,,44400,
2014-08-11,,44700,
2014-08-12,,45000,
2014-08-13,,45200,
2014-08-14,,45300,
2014-08-15,,45800,
2014-08-16,,46200,
2014-08-17,,46500,
2014-08-18,,47000,
2014-08-19,,47200,
2014-08-20,,47400,
2014-08-21,,47500,
2014-08-22,,47700,
2014-08-23,,48200,
2014-08-24,,48400,
2014-08-25,,48600,
2014-08-26,,48900,
2014-08-27,,49200,
2014-08-28,,49400,
2014-08-29,,49700,
2014-08-30,,50300,
2014-08-31,,50500,
2014-09-01,,50700,
2014-09-02,,51200,
2014-09-03,,51400,
2014-09-04,,51500,
2014-09-05,,52100,
2014-09-06,,52400,
2014-09-07,,53000,
2014-09-08,,53300,
2014-09-09,,53700,
2014-09-10,,54300,
2014-09-11,,54300,
2014-09-12,,54600,
2014-09-13,,55000,
2014-09-14,,55200,
2014-09-15,,55300,
2014-09-16,,55600,
2014-09-17,,55700,
