Date,'',PS4 player count,
2014-04-15,,400,
2014-04-16,,1700,
2014-04-17,,4200,
2014-04-18,,8700,
2014-04-19,,13600,
2014-04-20,,19300,
2014-04-21,,24700,
2014-04-22,,29400,
2014-04-23,,33700,
2014-04-24,,38300,
2014-04-25,,43300,
2014-04-26,,49400,
2014-04-27,,55600,
2014-04-28,,60200,
2014-04-29,,64800,
2014-04-30,,68700,
2014-05-01,,73500,
2014-05-02,,78200,
2014-05-03,,82300,
2014-05-04,,88000,
2014-05-05,,92500,
2014-05-06,,95600,
2014-05-07,,99300,
2014-05-08,,102400,
2014-05-09,,106200,
2014-05-10,,110500,
2014-05-11,,114400,
2014-05-12,,117400,
2014-05-13,,120500,
2014-05-14,,123400,
2014-05-15,,126500,
2014-05-16,,129600,
2014-05-17,,133100,
2014-05-18,,136800,
2014-05-19,,139600,
2014-05-20,,141800,
2014-05-21,,144000,
2014-05-22,,145900,
2014-05-23,,148400,
2014-05-24,,152300,
2014-05-25,,156600,
2014-05-26,,160400,
2014-05-27,,163400,
2014-05-28,,165600,
2014-05-29,,167900,
2014-05-30,,170700,
2014-05-31,,173800,
2014-06-01,,175900,
2014-06-02,,178100,
2014-06-03,,180000,
2014-06-04,,181900,
2014-06-05,,183900,
2014-06-06,,185800,
2014-06-07,,188800,
2014-06-08,,191800,
2014-06-09,,193100,
2014-06-10,,194900,
2014-06-11,,196200,
2014-06-12,,197600,
2014-06-13,,199200,
2014-06-14,,201800,
2014-06-15,,204200,
2014-06-16,,205900,
2014-06-17,,207600,
2014-06-18,,209500,
2014-06-19,,210700,
2014-06-20,,213000,
2014-06-21,,214700,
2014-06-22,,216700,
2014-06-23,,218300,
2014-06-24,,219800,
2014-06-25,,221100,
2014-06-26,,222600,
2014-06-27,,224300,
2014-06-28,,226400,
2014-06-29,,228000,
2014-06-30,,229600,
2014-07-01,,231100,
2014-07-02,,232200,
2014-07-03,,233700,
2014-07-04,,235300,
2014-07-05,,237600,
2014-07-06,,239900,
2014-07-07,,241500,
