Date,'',PS4 player count,
2016-07-24,,0,
2016-07-25,,0,
2016-07-26,,0,
2016-07-27,,0,
2016-07-28,,0,
2016-07-29,,0,
2016-07-30,,0,
2016-07-31,,0,
2016-08-01,,0,
2016-08-02,,12800,
2016-08-03,,40400,
2016-08-04,,72600,
2016-08-05,,109900,
2016-08-06,,147800,
2016-08-07,,188200,
2016-08-08,,221800,
2016-08-09,,256500,
2016-08-10,,289900,
2016-08-11,,320700,
2016-08-12,,351800,
2016-08-13,,385000,
2016-08-14,,420000,
2016-08-15,,448700,
2016-08-16,,475100,
2016-08-17,,502000,
2016-08-18,,527800,
2016-08-19,,552800,
2016-08-20,,585000,
2016-08-21,,616500,
2016-08-22,,639800,
2016-08-23,,662400,
2016-08-24,,684100,
2016-08-25,,704700,
2016-08-26,,726400,
2016-08-27,,754200,
2016-08-28,,781600,
2016-08-29,,802400,
2016-08-30,,823500,
2016-08-31,,845100,
2016-09-01,,865600,
2016-09-02,,886300,
2016-09-03,,912500,
2016-09-04,,938500,
2016-09-05,,960500,
2016-09-06,,978300,
2016-09-07,,994100,
2016-09-08,,1007700,
2016-09-09,,1022200,
2016-09-10,,1040400,
2016-09-11,,1055900,
2016-09-12,,1064800,
2016-09-13,,1078900,
2016-09-14,,1090500,
2016-09-15,,1102000,
2016-09-16,,1113300,
2016-09-17,,1129200,
2016-09-18,,1144400,
2016-09-19,,1152700,
2016-09-20,,1160400,
2016-09-21,,1166700,
2016-09-22,,1172200,
2016-09-23,,1181000,
2016-09-24,,1190800,
2016-09-25,,1199600,
2016-09-26,,1204300,
2016-09-27,,1209400,
2016-09-28,,1214300,
2016-09-29,,1219500,
2016-09-30,,1224600,
2016-10-01,,1232600,
2016-10-02,,1240800,
2016-10-03,,1245800,
2016-10-04,,1250900,
2016-10-05,,1256200,
2016-10-06,,1262000,
2016-10-07,,1268300,
2016-10-08,,1276800,
2016-10-09,,1284500,
2016-10-10,,1290700,
2016-10-11,,1294900,
2016-10-12,,1300000,
2016-10-13,,1304600,
2016-10-14,,1310100,
2016-10-15,,1318700,
2016-10-16,,1325500,
2016-10-17,,1328700,
2016-10-18,,1333500,
2016-10-19,,1337100,
2016-10-20,,1342400,
2016-10-21,,1347000,
2016-10-22,,1353700,
2016-10-23,,1358900,
2016-10-24,,1362600,
2016-10-25,,1366300,
2016-10-26,,1369000,
2016-10-27,,1372400,
2016-10-28,,1376200,
2016-10-29,,1381300,
2016-10-30,,1386700,
2016-10-31,,1390000,
2016-11-01,,1393100,
2016-11-02,,1396500,
2016-11-03,,1399700,
2016-11-04,,1402100,
2016-11-05,,1406900,
2016-11-06,,1411600,
2016-11-07,,1414200,
2016-11-08,,1416600,
2016-11-09,,1418500,
2016-11-10,,1420900,
2016-11-11,,1424500,
2016-11-12,,1429400,
2016-11-13,,1434200,
2016-11-14,,1436900,
2016-11-15,,1439100,
2016-11-16,,1441100,
2016-11-17,,1443600,
2016-11-18,,1446800,
2016-11-19,,1450200,
2016-11-20,,1453800,
2016-11-21,,1456600,
2016-11-22,,1458300,
2016-11-23,,1460500,
2016-11-24,,1463700,
2016-11-25,,1466600,
2016-11-26,,1470700,
2016-11-27,,1475000,
2016-11-28,,1477400,
2016-11-29,,1480300,
2016-11-30,,1482500,
2016-12-01,,1484700,
2016-12-02,,1486300,
2016-12-03,,1489900,
2016-12-04,,1493500,
2016-12-05,,1496300,
2016-12-06,,1498100,
2016-12-07,,1500200,
2016-12-08,,1502600,
2016-12-09,,1505100,
2016-12-10,,1508500,
2016-12-11,,1512200,
2016-12-12,,1514300,
2016-12-13,,1516500,
2016-12-14,,1518200,
2016-12-15,,1520400,
2016-12-16,,1522300,
2016-12-17,,1526100,
2016-12-18,,1529100,
2016-12-19,,1531200,
2016-12-20,,1533700,
2016-12-21,,1536600,
2016-12-22,,1539200,
2016-12-23,,1541600,
2016-12-24,,1545400,
2016-12-25,,1548600,
2016-12-26,,1552700,
2016-12-27,,1556400,
2016-12-28,,1559500,
2016-12-29,,1562600,
2016-12-30,,1565700,
2016-12-31,,1568500,
2017-01-01,,1571700,
2017-01-02,,1575000,
2017-01-03,,1577600,
2017-01-04,,1580100,
2017-01-05,,1582500,
2017-01-06,,1585200,
2017-01-07,,1587900,
2017-01-08,,1591400,
2017-01-09,,1593500,
2017-01-10,,1595300,
2017-01-11,,1596900,
2017-01-12,,1598400,
2017-01-13,,1600200,
2017-01-14,,1603200,
2017-01-15,,1605400,
2017-01-16,,1607900,
2017-01-17,,1609900,
2017-01-18,,1611500,
2017-01-19,,1612900,
2017-01-20,,1614400,
2017-01-21,,1617000,
2017-01-22,,1619700,
2017-01-23,,1621800,
2017-01-24,,1623400,
2017-01-25,,1625300,
2017-01-26,,1627300,
2017-01-27,,1629200,
2017-01-28,,1632300,
2017-01-29,,1635000,
2017-01-30,,1636400,
2017-01-31,,1638600,
2017-02-01,,1640100,
2017-02-02,,1641600,
2017-02-03,,1643300,
2017-02-04,,1646000,
2017-02-05,,1647700,
2017-02-06,,1649400,
2017-02-07,,1650900,
2017-02-08,,1652100,
2017-02-09,,1653300,
2017-02-10,,1654600,
2017-02-11,,1656800,
2017-02-12,,1659200,
2017-02-13,,1660500,
2017-02-14,,1661500,
2017-02-15,,1662700,
2017-02-16,,1664200,
2017-02-17,,1665800,
2017-02-18,,1668100,
2017-02-19,,1669800,
2017-02-20,,1670800,
2017-02-21,,1672000,
2017-02-22,,1673500,
2017-02-23,,1674600,
2017-02-24,,1676600,
2017-02-25,,1679000,
2017-02-26,,1681500,
2017-02-27,,1682700,
2017-02-28,,1684200,
2017-03-01,,1685200,
2017-03-02,,1686400,
2017-03-03,,1688100,
2017-03-04,,1689600,
2017-03-05,,1691700,
2017-03-06,,1692700,
2017-03-07,,1693700,
2017-03-08,,1694800,
2017-03-09,,1696000,
2017-03-10,,1697100,
2017-03-11,,1699500,
2017-03-12,,1701700,
2017-03-13,,1703100,
2017-03-14,,1704600,
2017-03-15,,1705900,
2017-03-16,,1707100,
2017-03-17,,1708900,
2017-03-18,,1710700,
2017-03-19,,1712500,
2017-03-20,,1713600,
2017-03-21,,1714700,
2017-03-22,,1715500,
2017-03-23,,1716700,
2017-03-24,,1718000,
2017-03-25,,1720300,
2017-03-26,,1721800,
2017-03-27,,1722700,
2017-03-28,,1723500,
2017-03-29,,1724100,
2017-03-30,,1725300,
2017-03-31,,1726800,
2017-04-01,,1728600,
2017-04-02,,1730700,
2017-04-03,,1731800,
2017-04-04,,1732600,
2017-04-05,,1733900,
2017-04-06,,1734600,
2017-04-07,,1735600,
2017-04-08,,1737600,
2017-04-09,,1739200,
2017-04-10,,1740000,
2017-04-11,,1740600,
2017-04-12,,1741900,
2017-04-13,,1742900,
2017-04-14,,1744500,
2017-04-15,,1746200,
2017-04-16,,1747400,
2017-04-17,,1748300,
2017-04-18,,1749500,
2017-04-19,,1750200,
2017-04-20,,1750900,
2017-04-21,,1752500,
2017-04-22,,1754000,
2017-04-23,,1755300,
2017-04-24,,1756400,
2017-04-25,,1757100,
2017-04-26,,1758100,
2017-04-27,,1759300,
2017-04-28,,1760600,
2017-04-29,,1761900,
2017-04-30,,1763100,
2017-05-01,,1764200,
2017-05-02,,1765200,
2017-05-03,,1766100,
2017-05-04,,1766800,
2017-05-05,,1768100,
2017-05-06,,1770100,
2017-05-07,,1771700,
2017-05-08,,1772900,
2017-05-09,,1773700,
2017-05-10,,1774800,
2017-05-11,,1775800,
2017-05-12,,1776400,
2017-05-13,,1777400,
2017-05-14,,1779100,
2017-05-15,,1779800,
2017-05-16,,1781000,
2017-05-17,,1782000,
2017-05-18,,1782900,
2017-05-19,,1783900,
2017-05-20,,1785500,
2017-05-21,,1786500,
2017-05-22,,1787200,
2017-05-23,,1788000,
2017-05-24,,1789000,
2017-05-25,,1789900,
2017-05-26,,1791400,
2017-05-27,,1793000,
2017-05-28,,1794400,
2017-05-29,,1795200,
2017-05-30,,1796000,
2017-05-31,,1797400,
2017-06-01,,1798400,
2017-06-02,,1799400,
2017-06-03,,1800600,
2017-06-04,,1802000,
2017-06-05,,1803300,
2017-06-06,,1803900,
2017-06-07,,1804800,
2017-06-08,,1805400,
2017-06-09,,1806500,
2017-06-10,,1807500,
2017-06-11,,1808800,
2017-06-12,,1809500,
2017-06-13,,1810800,
2017-06-14,,1811800,
2017-06-15,,1812900,
2017-06-16,,1813700,
2017-06-17,,1815100,
2017-06-18,,1816400,
2017-06-19,,1817300,
2017-06-20,,1818700,
2017-06-21,,1820000,
2017-06-22,,1820900,
2017-06-23,,1822100,
2017-06-24,,1823900,
2017-06-25,,1825500,
2017-06-26,,1827100,
2017-06-27,,1829100,
2017-06-28,,1830700,
2017-06-29,,1831500,
2017-06-30,,1832900,
2017-07-01,,1834600,
2017-07-02,,1836700,
2017-07-03,,1837700,
2017-07-04,,1839100,
2017-07-05,,1840500,
2017-07-06,,1842000,
2017-07-07,,1843500,
2017-07-08,,1845100,
2017-07-09,,1846600,
2017-07-10,,1847900,
2017-07-11,,1849300,
2017-07-12,,1850700,
2017-07-13,,1851900,
2017-07-14,,1853200,
2017-07-15,,1854500,
2017-07-16,,1856500,
2017-07-17,,1857900,
2017-07-18,,1859100,
2017-07-19,,1860800,
2017-07-20,,1862000,
2017-07-21,,1863400,
2017-07-22,,1865300,
2017-07-23,,1867600,
2017-07-24,,1868700,
2017-07-25,,1869700,
2017-07-26,,1870600,
2017-07-27,,1872000,
2017-07-28,,1873300,
2017-07-29,,1874800,
2017-07-30,,1876200,
2017-07-31,,1877400,
2017-08-01,,1879000,
2017-08-02,,1880000,
2017-08-03,,1881100,
2017-08-04,,1881900,
2017-08-05,,1883000,
2017-08-06,,1884500,
2017-08-07,,1885500,
2017-08-08,,1886600,
2017-08-09,,1887900,
2017-08-10,,1888800,
2017-08-11,,1889900,
2017-08-12,,1891200,
2017-08-13,,1892300,
2017-08-14,,1893300,
2017-08-15,,1894700,
2017-08-16,,1895900,
2017-08-17,,1896900,
2017-08-18,,1897900,
2017-08-19,,1899300,
2017-08-20,,1900500,
2017-08-21,,1901800,
2017-08-22,,1902700,
2017-08-23,,1903900,
2017-08-24,,1904800,
2017-08-25,,1905600,
2017-08-26,,1907100,
2017-08-27,,1908600,
2017-08-28,,1909900,
2017-08-29,,1910700,
2017-08-30,,1911600,
2017-08-31,,1912800,
2017-09-01,,1913600,
2017-09-02,,1915400,
2017-09-03,,1917100,
2017-09-04,,1918900,
2017-09-05,,1919800,
2017-09-06,,1920500,
2017-09-07,,1921400,
2017-09-08,,1922400,
2017-09-09,,1924000,
2017-09-10,,1925500,
2017-09-11,,1926400,
2017-09-12,,1927000,
2017-09-13,,1928000,
2017-09-14,,1929100,
2017-09-15,,1929900,
2017-09-16,,1931700,
2017-09-17,,1932300,
2017-09-18,,1932900,
2017-09-19,,1933200,
2017-09-20,,1933700,
2017-09-21,,1934200,
2017-09-22,,1935100,
2017-09-23,,1935900,
2017-09-24,,1937200,
2017-09-25,,1937700,
2017-09-26,,1938600,
2017-09-27,,1939300,
