Date,PS3 player count,PS4 player count,
2011-12-23,400,0,
2011-12-24,700,0,
2011-12-25,900,0,
2011-12-26,1300,0,
2011-12-27,1600,0,
2011-12-28,1800,0,
2011-12-29,2100,0,
2011-12-30,2600,0,
2011-12-31,2700,0,
2012-01-01,2800,0,
2012-01-02,2900,0,
2012-01-03,3000,0,
2012-01-04,3100,0,
2012-01-05,3200,0,
2012-01-06,3400,0,
2012-01-07,3600,0,
2012-01-08,3700,0,
2012-01-09,3900,0,
2012-01-10,4100,0,
2012-01-11,4300,0,
2012-01-12,4400,0,
2012-01-13,4500,0,
2012-01-14,4800,0,
2012-01-15,4900,0,
2012-01-16,5100,0,
2012-01-17,5200,0,
2012-01-18,5300,0,
2012-01-19,5500,0,
2012-01-20,5700,0,
2012-01-21,5800,0,
2012-01-22,5800,0,
2012-01-23,5900,0,
2012-01-24,6000,0,
2012-01-25,6100,0,
2012-01-26,6200,0,
2012-01-27,6200,0,
2012-01-28,6400,0,
2012-01-29,6700,0,
2012-01-30,6800,0,
2012-01-31,6900,0,
2012-02-01,7100,0,
2012-02-02,7100,0,
2012-02-03,7300,0,
2012-02-04,7400,0,
2012-02-05,7600,0,
2012-02-06,7700,0,
2012-02-07,7800,0,
2012-02-08,7800,0,
2012-02-09,7900,0,
2012-02-10,8000,0,
2012-02-11,8400,0,
2012-02-12,8600,0,
2012-02-13,8600,0,
2012-02-14,8800,0,
2012-02-15,8900,0,
2012-02-16,9000,0,
2012-02-17,9100,0,
2012-02-18,9200,0,
2012-02-19,9400,0,
2012-02-20,9400,0,
2012-02-21,9500,0,
2012-02-22,9600,0,
2012-02-23,9700,0,
2012-02-24,9800,0,
2012-02-25,9800,0,
2012-02-26,9900,0,
2012-02-27,10000,0,
2012-02-28,10000,0,
2012-02-29,10000,0,
2012-03-01,10000,0,
2012-03-02,10200,0,
2012-03-03,10200,0,
2012-03-04,10200,0,
2012-03-05,10300,0,
2012-03-06,10300,0,
2012-03-07,11000,0,
2012-03-08,14300,0,
2012-03-09,17900,0,
2012-03-10,21900,0,
2012-03-11,25200,0,
2012-03-12,27400,0,
2012-03-13,29400,0,
2012-03-14,31300,0,
2012-03-15,33200,0,
2012-03-16,34800,0,
2012-03-17,36400,0,
2012-03-18,38400,0,
2012-03-19,39900,0,
2012-03-20,41100,0,
2012-03-21,42200,0,
2012-03-22,43200,0,
2012-03-23,44200,0,
2012-03-24,45300,0,
2012-03-25,46300,0,
2012-03-26,47000,0,
2012-03-27,47700,0,
2012-03-28,48500,0,
2012-03-29,49400,0,
2012-03-30,50100,0,
2012-03-31,51200,0,
2012-04-01,52400,0,
2012-04-02,53200,0,
2012-04-03,53900,0,
2012-04-04,54800,0,
2012-04-05,55500,0,
2012-04-06,56100,0,
2012-04-07,56700,0,
2012-04-08,57100,0,
2012-04-09,57900,0,
2012-04-10,58600,0,
2012-04-11,59100,0,
2012-04-12,59600,0,
2012-04-13,60000,0,
2012-04-14,60500,0,
2012-04-15,61200,0,
2012-04-16,61400,0,
2012-04-17,61700,0,
2012-04-18,61800,0,
2012-04-19,62100,0,
2012-04-20,62500,0,
2012-04-21,63100,0,
2012-04-22,63600,0,
2012-04-23,64100,0,
2012-04-24,64700,0,
2012-04-25,65100,0,
2012-04-26,65200,0,
2012-04-27,65800,0,
2012-04-28,66100,0,
2012-04-29,66500,0,
2012-04-30,66800,0,
2012-05-01,67400,0,
2012-05-02,70800,0,
2012-05-03,75700,0,
2012-05-04,80300,0,
2012-05-05,85200,0,
2012-05-06,89600,0,
2012-05-07,93800,0,
2012-05-08,96800,0,
2012-05-09,99500,0,
2012-05-10,102200,0,
2012-05-11,104800,0,
2012-05-12,107500,0,
2012-05-13,109500,0,
2012-05-14,111900,0,
2012-05-15,113500,0,
2012-05-16,115000,0,
2012-05-17,116300,0,
2012-05-18,117800,0,
2012-05-19,119300,0,
2012-05-20,121700,0,
2012-05-21,123500,0,
2012-05-22,124700,0,
2012-05-23,126300,0,
2012-05-24,127400,0,
2012-05-25,128900,0,
2012-05-26,130500,0,
2012-05-27,132000,0,
2012-05-28,133600,0,
2012-05-29,135300,0,
2012-05-30,136700,0,
2012-05-31,137500,0,
2012-06-01,138600,0,
2012-06-02,140000,0,
2012-06-03,142000,0,
2012-06-04,143600,0,
2012-06-05,145000,0,
2012-06-06,146100,0,
2012-06-07,147400,0,
2012-06-08,148000,0,
2012-06-09,149000,0,
2012-06-10,150300,0,
2012-06-11,150800,0,
2012-06-12,151500,0,
2012-06-13,152000,0,
2012-06-14,152600,0,
2012-06-15,153300,0,
2012-06-16,153700,0,
2012-06-17,154600,0,
2012-06-18,155000,0,
2012-06-19,155600,0,
2012-06-20,155700,0,
2012-06-21,156000,0,
2012-06-22,156500,0,
2012-06-23,156900,0,
2012-06-24,157700,0,
2012-06-25,158000,0,
2012-06-26,158400,0,
2012-06-27,158900,0,
2012-06-28,159200,0,
2012-06-29,159500,0,
2012-06-30,160100,0,
2012-07-01,160500,0,
2012-07-02,161000,0,
2012-07-03,161600,0,
2012-07-04,162100,0,
2012-07-05,162400,0,
2012-07-06,162700,0,
2012-07-07,163600,0,
2012-07-08,164000,0,
2012-07-09,164400,0,
2012-07-10,164700,0,
2012-07-11,165000,0,
2012-07-12,165300,0,
2012-07-13,165500,0,
2012-07-14,166200,0,
2012-07-15,166700,0,
2012-07-16,167000,0,
2012-07-17,167100,0,
2012-07-18,167800,0,
2012-07-19,168400,0,
2012-07-20,168500,0,
2012-07-21,169000,0,
2012-07-22,169300,0,
2012-07-23,169700,0,
2012-07-24,170100,0,
2012-07-25,170600,0,
2012-07-26,171000,0,
2012-07-27,171300,0,
2012-07-28,171700,0,
2012-07-29,172300,0,
2012-07-30,172700,0,
2012-07-31,173100,0,
2012-08-01,173400,0,
2012-08-02,173700,0,
2012-08-03,173900,0,
2012-08-04,174300,0,
2012-08-05,174600,0,
2012-08-06,175200,0,
2012-08-07,175600,0,
2012-08-08,175800,0,
2012-08-09,176000,0,
2012-08-10,176300,0,
2012-08-11,176700,0,
2012-08-12,177300,0,
2012-08-13,177600,0,
2012-08-14,178000,0,
2012-08-15,178100,0,
2012-08-16,178500,0,
2012-08-17,178600,0,
2012-08-18,178900,0,
2012-08-19,179200,0,
2012-08-20,179500,0,
2012-08-21,179800,0,
2012-08-22,180000,0,
2012-08-23,180200,0,
2012-08-24,180400,0,
2012-08-25,180600,0,
2012-08-26,180900,0,
2012-08-27,180900,0,
2012-08-28,181300,0,
2012-08-29,181500,0,
2012-08-30,181700,0,
2012-08-31,182000,0,
2012-09-01,182100,0,
2012-09-02,182300,0,
2012-09-03,182500,0,
2012-09-04,182800,0,
2012-09-05,183100,0,
2012-09-06,183200,0,
2012-09-07,183400,0,
2012-09-08,183500,0,
2012-09-09,183800,0,
2012-09-10,183900,0,
2012-09-11,184200,0,
2012-09-12,184300,0,
2012-09-13,184500,0,
2012-09-14,184800,0,
2012-09-15,185000,0,
2012-09-16,185200,0,
2012-09-17,185200,0,
2012-09-18,185600,0,
2012-09-19,185800,0,
2012-09-20,186000,0,
2012-09-21,186300,0,
2012-09-22,186500,0,
2012-09-23,186800,0,
2012-09-24,187100,0,
2012-09-25,187400,0,
2012-09-26,187600,0,
2012-09-27,187700,0,
2012-09-28,187800,0,
2012-09-29,188200,0,
2012-09-30,188400,0,
2012-10-01,188500,0,
