Date,'',PS4 player count,
2015-04-22,,100,
2015-04-23,,400,
2015-04-24,,1000,
2015-04-25,,2200,
2015-04-26,,2700,
2015-04-27,,3600,
2015-04-28,,4500,
2015-04-29,,5500,
2015-04-30,,6300,
2015-05-01,,7300,
2015-05-02,,8600,
2015-05-03,,10200,
2015-05-04,,11300,
2015-05-05,,12500,
2015-05-06,,13300,
2015-05-07,,14500,
2015-05-08,,15800,
2015-05-09,,16600,
2015-05-10,,17800,
2015-05-11,,18500,
2015-05-12,,19200,
2015-05-13,,20000,
2015-05-14,,21200,
2015-05-15,,21800,
2015-05-16,,22900,
2015-05-17,,24100,
2015-05-18,,24500,
2015-05-19,,25600,
2015-05-20,,26800,
2015-05-21,,27200,
2015-05-22,,28300,
2015-05-23,,29000,
2015-05-24,,30000,
2015-05-25,,30800,
2015-05-26,,31500,
2015-05-27,,32100,
2015-05-28,,32400,
2015-05-29,,33000,
2015-05-30,,33600,
2015-05-31,,34800,
2015-06-01,,35200,
2015-06-02,,35800,
2015-06-03,,36000,
2015-06-04,,36400,
2015-06-05,,36900,
2015-06-06,,37300,
2015-06-07,,38100,
2015-06-08,,38800,
2015-06-09,,39100,
2015-06-10,,39400,
2015-06-11,,39700,
2015-06-12,,40200,
2015-06-13,,41000,
2015-06-14,,41800,
2015-06-15,,42100,
2015-06-16,,42800,
2015-06-17,,43200,
2015-06-18,,44000,
2015-06-19,,44500,
2015-06-20,,45200,
2015-06-21,,45800,
2015-06-22,,46100,
2015-06-23,,46800,
2015-06-24,,47400,
2015-06-25,,47900,
2015-06-26,,48200,
2015-06-27,,48800,
2015-06-28,,49300,
2015-06-29,,49700,
2015-06-30,,50400,
2015-07-01,,51100,
2015-07-02,,51600,
2015-07-03,,52000,
2015-07-04,,52600,
2015-07-05,,53500,
2015-07-06,,53800,
2015-07-07,,54200,
2015-07-08,,54700,
2015-07-09,,55300,
2015-07-10,,55700,
2015-07-11,,56000,
2015-07-12,,56800,
2015-07-13,,57300,
2015-07-14,,57400,
2015-07-15,,57800,
2015-07-16,,58200,
2015-07-17,,58500,
2015-07-18,,58800,
2015-07-19,,59700,
2015-07-20,,60600,
2015-07-21,,61100,
2015-07-22,,61400,
2015-07-23,,61600,
2015-07-24,,61800,
2015-07-25,,62500,
2015-07-26,,62700,
2015-07-27,,63000,
2015-07-28,,63400,
2015-07-29,,63800,
2015-07-30,,64100,
2015-07-31,,64500,
2015-08-01,,64800,
2015-08-02,,65200,
2015-08-03,,65600,
2015-08-04,,66000,
2015-08-05,,66500,
2015-08-06,,66700,
2015-08-07,,67000,
2015-08-08,,67500,
2015-08-09,,67900,
2015-08-10,,68200,
2015-08-11,,68500,
2015-08-12,,69000,
2015-08-13,,69300,
2015-08-14,,69600,
2015-08-15,,70300,
2015-08-16,,70800,
2015-08-17,,71100,
2015-08-18,,71400,
2015-08-19,,71500,
2015-08-20,,71700,
2015-08-21,,72000,
2015-08-22,,72600,
2015-08-23,,73100,
2015-08-24,,73300,
2015-08-25,,73700,
2015-08-26,,74100,
2015-08-27,,74400,
2015-08-28,,74700,
2015-08-29,,74800,
2015-08-30,,75200,
2015-08-31,,75500,
2015-09-01,,75700,
2015-09-02,,75900,
2015-09-03,,76000,
2015-09-04,,76400,
2015-09-05,,76800,
2015-09-06,,77100,
2015-09-07,,77600,
2015-09-08,,78000,
2015-09-09,,78400,
2015-09-10,,78800,
2015-09-11,,79100,
2015-09-12,,79200,
2015-09-13,,79700,
2015-09-14,,80000,
2015-09-15,,80100,
2015-09-16,,80300,
2015-09-17,,80700,
2015-09-18,,81200,
