Date,'',PS4 player count,
2016-04-09,,0,
2016-04-10,,0,
2016-04-11,,0,
2016-04-12,,0,
2016-04-13,,0,
2016-04-14,,0,
2016-04-15,,0,
2016-04-16,,0,
2016-04-17,,0,
2016-04-18,,0,
2016-04-19,,0,
2016-04-20,,0,
2016-04-21,,0,
2016-04-22,,0,
2016-04-23,,0,
2016-04-24,,0,
2016-04-25,,0,
2016-04-26,,100,
2016-04-27,,200,
2016-04-28,,200,
2016-04-29,,200,
2016-04-30,,400,
2016-05-01,,500,
2016-05-02,,600,
2016-05-03,,600,
2016-05-04,,900,
2016-05-05,,1000,
2016-05-06,,3100,
2016-05-07,,14000,
2016-05-08,,23100,
2016-05-09,,77200,
2016-05-10,,649500,
2016-05-11,,1040800,
2016-05-12,,1290000,
2016-05-13,,1500400,
2016-05-14,,1746300,
2016-05-15,,1925000,
2016-05-16,,2041200,
2016-05-17,,2132000,
2016-05-18,,2216400,
2016-05-19,,2293200,
2016-05-20,,2376400,
2016-05-21,,2485500,
2016-05-22,,2583200,
2016-05-23,,2646200,
2016-05-24,,2702600,
2016-05-25,,2756300,
2016-05-26,,2808800,
2016-05-27,,2866200,
2016-05-28,,2937400,
2016-05-29,,3005800,
2016-05-30,,3061900,
2016-05-31,,3109200,
2016-06-01,,3156200,
2016-06-02,,3200400,
2016-06-03,,3244700,
2016-06-04,,3304400,
2016-06-05,,3358800,
2016-06-06,,3398200,
2016-06-07,,3435900,
2016-06-08,,3472800,
2016-06-09,,3505900,
2016-06-10,,3539800,
2016-06-11,,3584300,
2016-06-12,,3625800,
2016-06-13,,3656100,
2016-06-14,,3685200,
2016-06-15,,3717400,
2016-06-16,,3747500,
2016-06-17,,3781500,
2016-06-18,,3827000,
2016-06-19,,3872100,
2016-06-20,,3902500,
2016-06-21,,3930100,
2016-06-22,,3955800,
2016-06-23,,3984600,
2016-06-24,,4015900,
2016-06-25,,4052300,
2016-06-26,,4088200,
2016-06-27,,4116800,
2016-06-28,,4144400,
2016-06-29,,4170800,
2016-06-30,,4196200,
2016-07-01,,4226400,
2016-07-02,,4262000,
2016-07-03,,4295600,
2016-07-04,,4324700,
2016-07-05,,4351500,
2016-07-06,,4373500,
2016-07-07,,4397500,
2016-07-08,,4423100,
2016-07-09,,4459500,
2016-07-10,,4493200,
2016-07-11,,4522100,
2016-07-12,,4548600,
2016-07-13,,4573900,
2016-07-14,,4597900,
2016-07-15,,4623400,
2016-07-16,,4652600,
2016-07-17,,4679200,
2016-07-18,,4700200,
2016-07-19,,4719400,
2016-07-20,,4739300,
2016-07-21,,4758000,
2016-07-22,,4777000,
2016-07-23,,4802300,
2016-07-24,,4825500,
2016-07-25,,4845600,
2016-07-26,,4866600,
2016-07-27,,4886100,
2016-07-28,,4905100,
2016-07-29,,4924500,
2016-07-30,,4949300,
2016-07-31,,4974300,
