Date,PS3 player count,PS4 player count,
2008-08-04,2100,0,
2008-08-05,6800,0,
2008-08-06,9900,0,
2008-08-07,12600,0,
2008-08-08,15100,0,
2008-08-09,17700,0,
2008-08-10,21100,0,
2008-08-11,23000,0,
2008-08-12,25200,0,
2008-08-13,26900,0,
2008-08-14,28600,0,
2008-08-15,30000,0,
2008-08-16,32400,0,
2008-08-17,34800,0,
2008-08-18,36600,0,
2008-08-19,38900,0,
2008-08-20,40600,0,
2008-08-21,42100,0,
2008-08-22,43800,0,
2008-08-23,45600,0,
2008-08-24,47700,0,
2008-08-25,49300,0,
2008-08-26,50900,0,
2008-08-27,52100,0,
2008-08-28,54400,0,
2008-08-29,56200,0,
2008-08-30,58500,0,
2008-08-31,60400,0,
2008-09-01,61900,0,
2008-09-02,62900,0,
2008-09-03,64400,0,
2008-09-04,65600,0,
2008-09-05,66800,0,
2008-09-06,69000,0,
2008-09-07,71700,0,
2008-09-08,73000,0,
2008-09-09,74600,0,
2008-09-10,75900,0,
2008-09-11,77300,0,
2008-09-12,78600,0,
2008-09-13,80200,0,
2008-09-14,82000,0,
2008-09-15,83200,0,
2008-09-16,84100,0,
2008-09-17,85300,0,
2008-09-18,86900,0,
2008-09-19,88200,0,
2008-09-20,90500,0,
2008-09-21,92500,0,
2008-09-22,93400,0,
2008-09-23,94500,0,
2008-09-24,95500,0,
2008-09-25,97100,0,
2008-09-26,98400,0,
2008-09-27,100400,0,
2008-09-28,102500,0,
2008-09-29,104200,0,
2008-09-30,105500,0,
2008-10-01,106900,0,
2008-10-02,108300,0,
2008-10-03,109500,0,
2008-10-04,111500,0,
2008-10-05,113300,0,
2008-10-06,114700,0,
2008-10-07,116100,0,
2008-10-08,117200,0,
2008-10-09,118600,0,
2008-10-10,119600,0,
2008-10-11,122000,0,
2008-10-12,124100,0,
2008-10-13,125600,0,
2008-10-14,127300,0,
2008-10-15,129700,0,
2008-10-16,131900,0,
2008-10-17,134100,0,
2008-10-18,136600,0,
2008-10-19,138700,0,
2008-10-20,139800,0,
2008-10-21,141200,0,
2008-10-22,142800,0,
2008-10-23,144400,0,
2008-10-24,146200,0,
2008-10-25,148000,0,
2008-10-26,149900,0,
2008-10-27,152000,0,
2008-10-28,153500,0,
2008-10-29,154700,0,
2008-10-30,156100,0,
2008-10-31,157300,0,
2008-11-01,159300,0,
2008-11-02,161200,0,
2008-11-03,162400,0,
2008-11-04,164000,0,
2008-11-05,164900,0,
2008-11-06,166200,0,
2008-11-07,167400,0,
2008-11-08,168900,0,
2008-11-09,170900,0,
2008-11-10,172100,0,
2008-11-11,173200,0,
2008-11-12,174600,0,
2008-11-13,175700,0,
2008-11-14,177500,0,
2008-11-15,179500,0,
2008-11-16,181800,0,
2008-11-17,182800,0,
2008-11-18,184200,0,
2008-11-19,184900,0,
2008-11-20,186200,0,
2008-11-21,187500,0,
2008-11-22,189600,0,
2008-11-23,191400,0,
2008-11-24,192500,0,
2008-11-25,193400,0,
2008-11-26,195000,0,
2008-11-27,196100,0,
2008-11-28,197700,0,
2008-11-29,199900,0,
2008-11-30,202300,0,
2008-12-01,203900,0,
2008-12-02,204900,0,
2008-12-03,206000,0,
2008-12-04,207300,0,
2008-12-05,209200,0,
2008-12-06,211400,0,
2008-12-07,212800,0,
2008-12-08,214400,0,
2008-12-09,215600,0,
2008-12-10,216900,0,
2008-12-11,218200,0,
2008-12-12,219700,0,
2008-12-13,221900,0,
2008-12-14,225000,0,
2008-12-15,226800,0,
2008-12-16,229100,0,
2008-12-17,231100,0,
2008-12-18,232700,0,
2008-12-19,234100,0,
2008-12-20,236500,0,
2008-12-21,239700,0,
2008-12-22,241900,0,
2008-12-23,244700,0,
2008-12-24,247200,0,
2008-12-25,250100,0,
2008-12-26,253400,0,
2008-12-27,256400,0,
2008-12-28,259700,0,
2008-12-29,262500,0,
2008-12-30,265700,0,
2008-12-31,269300,0,
2009-01-01,271300,0,
2009-01-02,274300,0,
2009-01-03,277500,0,
2009-01-04,280600,0,
2009-01-05,283600,0,
2009-01-06,285600,0,
2009-01-07,288100,0,
2009-01-08,290100,0,
2009-01-09,292100,0,
2009-01-10,295800,0,
2009-01-11,298600,0,
2009-01-12,301100,0,
2009-01-13,303400,0,
2009-01-14,304900,0,
2009-01-15,307600,0,
2009-01-16,309700,0,
2009-01-17,312500,0,
2009-01-18,315000,0,
2009-01-19,317600,0,
2009-01-20,319500,0,
2009-01-21,320400,0,
2009-01-22,321900,0,
2009-01-23,323500,0,
2009-01-24,326300,0,
2009-01-25,329000,0,
2009-01-26,330800,0,
2009-01-27,332400,0,
2009-01-28,334500,0,
2009-01-29,336000,0,
2009-01-30,337700,0,
2009-01-31,340900,0,
2009-02-01,343700,0,
2009-02-02,345400,0,
2009-02-03,347500,0,
2009-02-04,349400,0,
2009-02-05,352000,0,
2009-02-06,354300,0,
2009-02-07,357100,0,
2009-02-08,360400,0,
2009-02-09,362000,0,
2009-02-10,364300,0,
2009-02-11,366500,0,
2009-02-12,368300,0,
2009-02-13,370800,0,
2009-02-14,373600,0,
2009-02-15,376600,0,
2009-02-16,379100,0,
2009-02-17,380500,0,
2009-02-18,382600,0,
2009-02-19,384300,0,
2009-02-20,386100,0,
2009-02-21,389000,0,
2009-02-22,391800,0,
2009-02-23,394200,0,
2009-02-24,395800,0,
2009-02-25,397500,0,
2009-02-26,399100,0,
2009-02-27,401600,0,
2009-02-28,404000,0,
2009-03-01,407700,0,
2009-03-02,409800,0,
2009-03-03,411700,0,
2009-03-04,413300,0,
2009-03-05,415000,0,
2009-03-06,417300,0,
2009-03-07,419500,0,
2009-03-08,421500,0,
2009-03-09,423600,0,
2009-03-10,425200,0,
2009-03-11,426800,0,
2009-03-12,428300,0,
2009-03-13,429500,0,
2009-03-14,432000,0,
2009-03-15,434500,0,
2009-03-16,436000,0,
2009-03-17,437500,0,
2009-03-18,438700,0,
2009-03-19,440600,0,
2009-03-20,442300,0,
2009-03-21,444500,0,
2009-03-22,446400,0,
2009-03-23,448300,0,
2009-03-24,450200,0,
2009-03-25,451700,0,
2009-03-26,453500,0,
2009-03-27,454900,0,
2009-03-28,457000,0,
2009-03-29,460100,0,
2009-03-30,461200,0,
2009-03-31,463200,0,
2009-04-01,464800,0,
2009-04-02,466000,0,
2009-04-03,467600,0,
2009-04-04,469800,0,
2009-04-05,471800,0,
2009-04-06,473800,0,
2009-04-07,475000,0,
2009-04-08,476700,0,
2009-04-09,477800,0,
2009-04-10,479100,0,
2009-04-11,480900,0,
2009-04-12,483100,0,
2009-04-13,485200,0,
2009-04-14,486600,0,
2009-04-15,487800,0,
2009-04-16,489500,0,
2009-04-17,491100,0,
2009-04-18,493800,0,
2009-04-19,495500,0,
2009-04-20,496700,0,
2009-04-21,497700,0,
2009-04-22,499400,0,
2009-04-23,501200,0,
2009-04-24,503000,0,
2009-04-25,505400,0,
2009-04-26,507300,0,
2009-04-27,509200,0,
2009-04-28,510500,0,
2009-04-29,511900,0,
2009-04-30,513300,0,
2009-05-01,515200,0,
2009-05-02,517900,0,
2009-05-03,519900,0,
2009-05-04,521500,0,
2009-05-05,523200,0,
2009-05-06,524800,0,
2009-05-07,526400,0,
2009-05-08,528000,0,
2009-05-09,530300,0,
2009-05-10,532100,0,
2009-05-11,533700,0,
2009-05-12,535700,0,
2009-05-13,537100,0,
2009-05-14,538300,0,
2009-05-15,540000,0,
2009-05-16,541600,0,
2009-05-17,544300,0,
2009-05-18,545700,0,
2009-05-19,547500,0,
2009-05-20,549200,0,
2009-05-21,550600,0,
2009-05-22,551900,0,
2009-05-23,553600,0,
2009-05-24,555700,0,
2009-05-25,557500,0,
2009-05-26,559300,0,
2009-05-27,560900,0,
2009-05-28,562700,0,
2009-05-29,564900,0,
2009-05-30,566800,0,
2009-05-31,569100,0,
2009-06-01,571000,0,
2009-06-02,572900,0,
2009-06-03,574800,0,
2009-06-04,576700,0,
2009-06-05,578400,0,
2009-06-06,580600,0,
2009-06-07,583800,0,
2009-06-08,585700,0,
2009-06-09,588200,0,
2009-06-10,589900,0,
2009-06-11,592000,0,
2009-06-12,594100,0,
2009-06-13,596000,0,
2009-06-14,598600,0,
2009-06-15,600600,0,
2009-06-16,602600,0,
2009-06-17,605100,0,
2009-06-18,607500,0,
2009-06-19,608800,0,
2009-06-20,611500,0,
2009-06-21,614300,0,
2009-06-22,616000,0,
2009-06-23,617900,0,
2009-06-24,619300,0,
2009-06-25,621600,0,
2009-06-26,623600,0,
2009-06-27,625900,0,
2009-06-28,628800,0,
2009-06-29,630900,0,
2009-06-30,633000,0,
2009-07-01,635200,0,
2009-07-02,637100,0,
2009-07-03,639200,0,
2009-07-04,641300,0,
2009-07-05,643800,0,
2009-07-06,645900,0,
2009-07-07,648300,0,
2009-07-08,650100,0,
2009-07-09,652800,0,
2009-07-10,654700,0,
2009-07-11,657200,0,
2009-07-12,659200,0,
2009-07-13,660400,0,
2009-07-14,662000,0,
2009-07-15,663900,0,
2009-07-16,665700,0,
2009-07-17,667300,0,
2009-07-18,669200,0,
2009-07-19,671500,0,
2009-07-20,673500,0,
2009-07-21,675500,0,
2009-07-22,677000,0,
2009-07-23,678700,0,
2009-07-24,681200,0,
2009-07-25,683300,0,
2009-07-26,685100,0,
2009-07-27,686800,0,
2009-07-28,688400,0,
2009-07-29,690400,0,
2009-07-30,692800,0,
2009-07-31,695300,0,
2009-08-01,697200,0,
2009-08-02,699900,0,
2009-08-03,702000,0,
2009-08-04,703800,0,
2009-08-05,705600,0,
2009-08-06,707800,0,
2009-08-07,710100,0,
2009-08-08,712000,0,
2009-08-09,714400,0,
2009-08-10,716000,0,
2009-08-11,718100,0,
2009-08-12,720300,0,
2009-08-13,722700,0,
2009-08-14,724700,0,
2009-08-15,727000,0,
2009-08-16,729500,0,
2009-08-17,731600,0,
2009-08-18,733900,0,
2009-08-19,735900,0,
2009-08-20,738200,0,
2009-08-21,740200,0,
2009-08-22,742700,0,
2009-08-23,746100,0,
2009-08-24,747900,0,
2009-08-25,750300,0,
2009-08-26,752100,0,
2009-08-27,754200,0,
2009-08-28,756900,0,
2009-08-29,759800,0,
2009-08-30,762800,0,
2009-08-31,765200,0,
2009-09-01,768100,0,
2009-09-02,770700,0,
2009-09-03,773200,0,
2009-09-04,776200,0,
2009-09-05,779300,0,
2009-09-06,783100,0,
2009-09-07,785600,0,
2009-09-08,788200,0,
2009-09-09,791300,0,
2009-09-10,793600,0,
2009-09-11,795900,0,
2009-09-12,798900,0,
2009-09-13,801500,0,
2009-09-14,803800,0,
2009-09-15,806000,0,
2009-09-16,809100,0,
2009-09-17,812200,0,
2009-09-18,815500,0,
2009-09-19,819300,0,
2009-09-20,822500,0,
2009-09-21,825300,0,
2009-09-22,827700,0,
2009-09-23,830500,0,
2009-09-24,833000,0,
2009-09-25,836600,0,
2009-09-26,840300,0,
2009-09-27,844800,0,
2009-09-28,847200,0,
2009-09-29,850600,0,
2009-09-30,853800,0,
2009-10-01,856900,0,
2009-10-02,860400,0,
2009-10-03,865700,0,
2009-10-04,870200,0,
2009-10-05,873400,0,
2009-10-06,876500,0,
2009-10-07,879900,0,
2009-10-08,882800,0,
2009-10-09,887100,0,
2009-10-10,893000,0,
2009-10-11,897700,0,
2009-10-12,902600,0,
2009-10-13,907800,0,
2009-10-14,912700,0,
2009-10-15,916500,0,
2009-10-16,921800,0,
2009-10-17,927600,0,
2009-10-18,932900,0,
2009-10-19,937700,0,
2009-10-20,942300,0,
2009-10-21,946400,0,
2009-10-22,950400,0,
2009-10-23,954900,0,
2009-10-24,960500,0,
2009-10-25,965800,0,
2009-10-26,969700,0,
2009-10-27,973600,0,
2009-10-28,977600,0,
2009-10-29,981500,0,
2009-10-30,985500,0,
2009-10-31,990500,0,
2009-11-01,995200,0,
2009-11-02,999600,0,
2009-11-03,1002900,0,
2009-11-04,1007100,0,
2009-11-05,1010700,0,
2009-11-06,1013400,0,
2009-11-07,1017400,0,
2009-11-08,1022500,0,
2009-11-09,1025600,0,
2009-11-10,1028500,0,
2009-11-11,1031100,0,
2009-11-12,1034000,0,
2009-11-13,1037100,0,
2009-11-14,1041700,0,
2009-11-15,1045100,0,
2009-11-16,1047700,0,
2009-11-17,1049800,0,
2009-11-18,1052500,0,
2009-11-19,1056200,0,
2009-11-20,1059100,0,
