Date,PS3 player count,PS4 player count,
2015-01-27,0,0,
2015-01-28,0,0,
2015-01-29,0,0,
2015-01-30,0,0,
2015-01-31,0,0,
2015-02-01,0,0,
2015-02-02,0,0,
2015-02-03,0,0,
2015-02-04,0,0,
2015-02-05,0,0,
2015-02-06,0,0,
2015-02-07,0,0,
2015-02-08,0,0,
2015-02-09,0,0,
2015-02-10,0,0,
2015-02-11,0,0,
2015-02-12,0,0,
2015-02-13,0,200,
2015-02-14,0,400,
2015-02-15,0,500,
2015-02-16,0,500,
2015-02-17,0,600,
2015-02-18,0,600,
2015-02-19,0,600,
2015-02-20,0,700,
2015-02-21,0,700,
2015-02-22,0,700,
2015-02-23,0,800,
2015-02-24,0,800,
2015-02-25,0,800,
2015-02-26,100,900,
2015-02-27,100,1000,
2015-02-28,100,1000,
2015-03-01,100,1100,
2015-03-02,100,1100,
2015-03-03,100,1200,
2015-03-04,100,1200,
2015-03-05,100,1200,
2015-03-06,100,1200,
2015-03-07,100,1300,
2015-03-08,100,1300,
2015-03-09,100,1300,
2015-03-10,100,1300,
2015-03-11,100,1300,
2015-03-12,200,1300,
2015-03-13,200,1400,
2015-03-14,200,1400,
2015-03-15,200,1400,
2015-03-16,200,1400,
2015-03-17,200,1400,
2015-03-18,200,1400,
2015-03-19,200,1400,
2015-03-20,200,1500,
2015-03-21,300,1500,
2015-03-22,400,1500,
2015-03-23,400,1600,
2015-03-24,400,1600,
2015-03-25,400,1700,
2015-03-26,400,1700,
2015-03-27,400,1700,
2015-03-28,400,1700,
2015-03-29,400,1700,
2015-03-30,400,1700,
2015-03-31,400,1700,
2015-04-01,400,1700,
2015-04-02,400,1800,
2015-04-03,400,1800,
2015-04-04,400,1800,
2015-04-05,500,1800,
2015-04-06,500,1900,
2015-04-07,500,1900,
2015-04-08,500,2000,
2015-04-09,500,2000,
2015-04-10,500,2100,
2015-04-11,500,2100,
2015-04-12,500,2100,
2015-04-13,500,2100,
2015-04-14,500,2100,
2015-04-15,500,2100,
2015-04-16,500,2100,
2015-04-17,500,2100,
2015-04-18,500,2100,
2015-04-19,500,2200,
2015-04-20,500,2200,
2015-04-21,500,2200,
2015-04-22,500,2200,
2015-04-23,500,2200,
2015-04-24,500,2200,
2015-04-25,500,2300,
2015-04-26,500,2300,
2015-04-27,500,2300,
2015-04-28,500,2300,
2015-04-29,500,2300,
2015-04-30,500,2300,
2015-05-01,500,2300,
2015-05-02,500,2400,
2015-05-03,500,2500,
2015-05-04,500,2500,
2015-05-05,500,2500,
2015-05-06,500,2600,
2015-05-07,500,2600,
2015-05-08,500,2600,
2015-05-09,500,2600,
2015-05-10,500,2700,
2015-05-11,500,2700,
2015-05-12,500,2700,
2015-05-13,500,2700,
2015-05-14,500,2700,
2015-05-15,500,2700,
2015-05-16,500,2800,
2015-05-17,500,2800,
2015-05-18,500,2800,
2015-05-19,500,2800,
2015-05-20,500,2800,
2015-05-21,500,2800,
2015-05-22,500,2800,
2015-05-23,500,2800,
2015-05-24,500,2800,
2015-05-25,500,2800,
2015-05-26,500,2900,
2015-05-27,500,2900,
2015-05-28,500,2900,
2015-05-29,500,2900,
2015-05-30,500,2900,
2015-05-31,500,3000,
2015-06-01,500,3000,
2015-06-02,500,3000,
2015-06-03,500,3000,
2015-06-04,500,3000,
2015-06-05,500,3000,
2015-06-06,500,3000,
2015-06-07,500,3000,
2015-06-08,500,3000,
2015-06-09,500,3000,
2015-06-10,500,3000,
2015-06-11,500,3000,
2015-06-12,500,3000,
2015-06-13,500,3000,
2015-06-14,500,3000,
2015-06-15,500,3000,
2015-06-16,500,3000,
2015-06-17,500,3000,
2015-06-18,500,3000,
2015-06-19,500,3000,
2015-06-20,500,3000,
2015-06-21,500,3000,
2015-06-22,500,3000,
2015-06-23,500,3000,
2015-06-24,500,3000,
2015-06-25,500,3000,
2015-06-26,500,3000,
2015-06-27,500,3200,
2015-06-28,500,3200,
2015-06-29,500,3200,
2015-06-30,500,3200,
2015-07-01,500,3200,
2015-07-02,600,3400,
2015-07-03,600,3400,
2015-07-04,600,3500,
2015-07-05,600,3600,
2015-07-06,600,3700,
2015-07-07,600,3700,
2015-07-08,600,3700,
2015-07-09,600,3700,
2015-07-10,600,3900,
2015-07-11,600,3900,
2015-07-12,600,3900,
2015-07-13,600,4000,
2015-07-14,600,4000,
2015-07-15,600,4000,
2015-07-16,600,4000,
2015-07-17,600,4000,
2015-07-18,600,4000,
2015-07-19,600,4000,
2015-07-20,600,4000,
2015-07-21,600,4000,
2015-07-22,600,4000,
2015-07-23,600,4000,
2015-07-24,600,4000,
2015-07-25,600,4100,
2015-07-26,600,4100,
2015-07-27,600,4100,
2015-07-28,600,4100,
2015-07-29,600,4200,
2015-07-30,600,4200,
2015-07-31,600,4200,
2015-08-01,600,4300,
2015-08-02,700,4400,
2015-08-03,800,4400,
2015-08-04,800,4500,
2015-08-05,800,4500,
2015-08-06,800,4500,
2015-08-07,800,4500,
2015-08-08,800,4500,
2015-08-09,800,4600,
2015-08-10,800,4600,
2015-08-11,800,4700,
2015-08-12,800,4700,
2015-08-13,800,4700,
2015-08-14,900,4700,
2015-08-15,900,4700,
2015-08-16,900,4700,
2015-08-17,900,4800,
2015-08-18,900,4800,
2015-08-19,900,4800,
2015-08-20,900,4900,
