Date,'',PS4 player count,
2015-08-20,,0,
2015-08-21,,100,
2015-08-22,,200,
2015-08-23,,300,
2015-08-24,,1000,
2015-08-25,,4600,
2015-08-26,,16300,
2015-08-27,,32900,
2015-08-28,,54500,
2015-08-29,,79000,
2015-08-30,,106600,
2015-08-31,,129900,
2015-09-01,,148300,
2015-09-02,,167200,
2015-09-03,,184500,
2015-09-04,,201200,
2015-09-05,,220100,
2015-09-06,,241200,
2015-09-07,,258300,
2015-09-08,,270700,
2015-09-09,,282400,
2015-09-10,,293200,
2015-09-11,,304500,
2015-09-12,,319700,
2015-09-13,,337500,
2015-09-14,,348200,
2015-09-15,,359600,
2015-09-16,,369500,
2015-09-17,,378200,
2015-09-18,,388200,
2015-09-19,,402100,
2015-09-20,,416100,
2015-09-21,,425300,
2015-09-22,,433300,
2015-09-23,,440400,
2015-09-24,,447900,
2015-09-25,,455800,
2015-09-26,,466700,
2015-09-27,,478300,
2015-09-28,,485000,
2015-09-29,,492500,
2015-09-30,,498200,
2015-10-01,,503800,
2015-10-02,,510500,
2015-10-03,,519000,
2015-10-04,,527900,
2015-10-05,,534900,
2015-10-06,,541100,
2015-10-07,,546400,
2015-10-08,,552800,
2015-10-09,,559000,
2015-10-10,,566900,
2015-10-11,,575100,
2015-10-12,,581400,
2015-10-13,,587100,
2015-10-14,,591400,
2015-10-15,,597100,
2015-10-16,,603000,
2015-10-17,,610100,
2015-10-18,,619400,
2015-10-19,,624100,
2015-10-20,,628800,
2015-10-21,,633700,
2015-10-22,,638200,
2015-10-23,,643900,
2015-10-24,,650700,
2015-10-25,,658200,
2015-10-26,,663300,
2015-10-27,,667800,
2015-10-28,,672700,
2015-10-29,,677000,
2015-10-30,,682500,
2015-10-31,,689500,
2015-11-01,,698200,
2015-11-02,,703400,
2015-11-03,,708200,
2015-11-04,,712600,
2015-11-05,,718500,
2015-11-06,,724400,
2015-11-07,,732200,
2015-11-08,,739600,
2015-11-09,,744500,
2015-11-10,,749300,
2015-11-11,,753200,
2015-11-12,,756800,
2015-11-13,,761700,
2015-11-14,,766100,
2015-11-15,,771300,
2015-11-16,,775000,
2015-11-17,,778600,
2015-11-18,,782000,
2015-11-19,,785600,
2015-11-20,,789400,
2015-11-21,,795200,
2015-11-22,,800500,
2015-11-23,,805100,
2015-11-24,,808100,
2015-11-25,,812000,
2015-11-26,,815700,
2015-11-27,,819700,
2015-11-28,,826000,
2015-11-29,,832300,
2015-11-30,,836300,
2015-12-01,,840100,
2015-12-02,,844300,
2015-12-03,,848700,
2015-12-04,,853900,
2015-12-05,,859600,
2015-12-06,,866700,
2015-12-07,,871700,
2015-12-08,,875800,
2015-12-09,,880200,
2015-12-10,,885000,
2015-12-11,,890000,
2015-12-12,,896700,
2015-12-13,,903700,
2015-12-14,,908300,
2015-12-15,,912500,
2015-12-16,,916300,
2015-12-17,,921400,
2015-12-18,,925500,
2015-12-19,,931700,
2015-12-20,,938900,
2015-12-21,,943900,
2015-12-22,,949900,
2015-12-23,,955700,
2015-12-24,,961100,
2015-12-25,,969100,
2015-12-26,,980200,
2015-12-27,,993900,
2015-12-28,,1004900,
2015-12-29,,1016300,
2015-12-30,,1026500,
2015-12-31,,1035900,
2016-01-01,,1045900,
2016-01-02,,1057300,
2016-01-03,,1067900,
2016-01-04,,1073200,
2016-01-05,,1080800,
2016-01-06,,1086800,
2016-01-07,,1093300,
2016-01-08,,1100200,
2016-01-09,,1108200,
2016-01-10,,1115800,
2016-01-11,,1121000,
2016-01-12,,1126300,
2016-01-13,,1131200,
2016-01-14,,1135300,
2016-01-15,,1140500,
2016-01-16,,1147500,
2016-01-17,,1154800,
2016-01-18,,1159200,
2016-01-19,,1163400,
2016-01-20,,1168100,
2016-01-21,,1171800,
2016-01-22,,1175700,
2016-01-23,,1182600,
2016-01-24,,1189900,
2016-01-25,,1195600,
2016-01-26,,1200500,
2016-01-27,,1204500,
2016-01-28,,1209300,
2016-01-29,,1213700,
2016-01-30,,1219600,
2016-01-31,,1225600,
2016-02-01,,1231100,
2016-02-02,,1235300,
2016-02-03,,1239600,
2016-02-04,,1244200,
2016-02-05,,1248200,
2016-02-06,,1254100,
2016-02-07,,1260000,
