Date,PS3 player count,PS4 player count,
2014-06-22,100,0,
2014-06-23,100,0,
2014-06-24,100,100,
2014-06-25,400,1300,
2014-06-26,500,2400,
2014-06-27,600,3600,
2014-06-28,1200,5100,
2014-06-29,1600,6500,
2014-06-30,1800,7800,
2014-07-01,1900,8900,
2014-07-02,2100,10300,
2014-07-03,2500,11200,
2014-07-04,2700,12200,
2014-07-05,2900,13200,
2014-07-06,3300,14400,
2014-07-07,3500,14900,
2014-07-08,3700,15700,
2014-07-09,4100,16100,
2014-07-10,4300,16600,
2014-07-11,4600,17500,
2014-07-12,4900,18400,
2014-07-13,5200,19100,
2014-07-14,5500,19900,
2014-07-15,5600,20400,
2014-07-16,5800,21000,
2014-07-17,5800,21600,
2014-07-18,5900,22100,
2014-07-19,6100,22600,
2014-07-20,6400,23300,
2014-07-21,6600,23500,
2014-07-22,6900,24000,
2014-07-23,7100,24500,
2014-07-24,7300,25200,
2014-07-25,7500,25700,
2014-07-26,7700,26300,
2014-07-27,8000,26800,
2014-07-28,8100,27400,
2014-07-29,8500,28100,
2014-07-30,8600,28700,
2014-07-31,8700,29200,
2014-08-01,8900,29600,
2014-08-02,9200,30000,
2014-08-03,9400,30400,
2014-08-04,9500,30900,
2014-08-05,9700,31400,
2014-08-06,9700,31700,
2014-08-07,9900,32100,
2014-08-08,10100,32300,
2014-08-09,10400,32800,
2014-08-10,10600,33100,
2014-08-11,10800,33600,
2014-08-12,11100,34000,
2014-08-13,11300,34100,
2014-08-14,11400,34200,
2014-08-15,11500,34600,
2014-08-16,11600,35000,
2014-08-17,11800,35500,
2014-08-18,12000,35800,
2014-08-19,12000,35900,
2014-08-20,12100,36200,
2014-08-21,12100,36700,
2014-08-22,12200,37000,
2014-08-23,12200,37400,
2014-08-24,12300,37500,
2014-08-25,12300,37800,
2014-08-26,12400,38000,
2014-08-27,12400,38200,
2014-08-28,12600,38400,
2014-08-29,12600,38500,
2014-08-30,12600,38800,
2014-08-31,12800,39200,
2014-09-01,13000,39400,
2014-09-02,13200,39600,
2014-09-03,13300,39800,
2014-09-04,13300,40200,
2014-09-05,13400,40500,
2014-09-06,13500,40800,
2014-09-07,13600,41300,
2014-09-08,13700,41800,
2014-09-09,13700,42100,
2014-09-10,13800,42300,
2014-09-11,13800,42800,
2014-09-12,13900,43200,
2014-09-13,14100,43400,
2014-09-14,14200,43500,
2014-09-15,14300,43600,
2014-09-16,14400,43700,
2014-09-17,14500,43900,
2014-09-18,14600,43900,
2014-09-19,14600,44100,
2014-09-20,14700,44200,
2014-09-21,14900,44400,
2014-09-22,15000,44600,
2014-09-23,15000,44800,
2014-09-24,15000,45100,
2014-09-25,15000,45200,
2014-09-26,15100,45500,
2014-09-27,15300,45700,
2014-09-28,15600,46100,
2014-09-29,15700,46400,
2014-09-30,15800,46600,
2014-10-01,16000,46600,
2014-10-02,16000,46800,
2014-10-03,16200,47100,
2014-10-04,16400,47300,
2014-10-05,16600,47600,
2014-10-06,16600,47900,
2014-10-07,16800,48100,
2014-10-08,16800,48400,
2014-10-09,16900,48500,
2014-10-10,17000,48700,
2014-10-11,17100,48900,
2014-10-12,17200,49300,
2014-10-13,17200,49500,
2014-10-14,17300,49700,
2014-10-15,17400,49800,
2014-10-16,17400,50000,
2014-10-17,17400,50300,
2014-10-18,17500,50500,
2014-10-19,17500,50600,
2014-10-20,17500,50600,
2014-10-21,17600,50800,
2014-10-22,17800,50900,
2014-10-23,17800,51000,
2014-10-24,17800,51200,
2014-10-25,17900,51400,
2014-10-26,18000,51400,
2014-10-27,18100,51700,
2014-10-28,18100,52000,
2014-10-29,18200,52300,
2014-10-30,18200,52300,
2014-10-31,18300,52400,
2014-11-01,18400,52700,
2014-11-02,18500,53100,
2014-11-03,18600,53200,
2014-11-04,18600,53600,
2014-11-05,18700,53900,
2014-11-06,18700,54100,
2014-11-07,18800,54200,
2014-11-08,18900,54400,
2014-11-09,18900,54900,
2014-11-10,19000,55000,
2014-11-11,19000,55100,
2014-11-12,19100,55400,
2014-11-13,19300,55800,
2014-11-14,19300,56100,
2014-11-15,19400,56400,
2014-11-16,19500,56800,
2014-11-17,19500,57000,
2014-11-18,19500,57200,
2014-11-19,19600,57400,
2014-11-20,19700,57500,
2014-11-21,19700,57600,
2014-11-22,19800,58000,
2014-11-23,19800,58200,
2014-11-24,19800,58300,
2014-11-25,19800,58400,
2014-11-26,19900,58500,
2014-11-27,19900,58600,
2014-11-28,19900,58700,
2014-11-29,20000,58800,
2014-11-30,20100,58900,
2014-12-01,20200,58900,
2014-12-02,20300,58900,
2014-12-03,20300,59000,
2014-12-04,20300,59200,
2014-12-05,20400,59300,
2014-12-06,20400,59400,
2014-12-07,20400,59600,
2014-12-08,20600,59700,
2014-12-09,20700,59900,
2014-12-10,21000,60100,
2014-12-11,21100,60400,
2014-12-12,21100,60500,
2014-12-13,21300,60900,
2014-12-14,21500,61300,
2014-12-15,21700,61700,
2014-12-16,21700,62000,
2014-12-17,21800,62300,
2014-12-18,21800,62800,
2014-12-19,21900,63000,
2014-12-20,22000,63200,
2014-12-21,22000,63500,
2014-12-22,22300,63800,
2014-12-23,22300,64100,
2014-12-24,22400,64900,
2014-12-25,22500,65200,
2014-12-26,22500,65300,
2014-12-27,22700,65500,
2014-12-28,22900,66000,
2014-12-29,22900,66400,
2014-12-30,22900,67500,
2014-12-31,23000,68000,
2015-01-01,23100,68400,
2015-01-02,23300,69000,
2015-01-03,23500,70000,
2015-01-04,23800,70800,
2015-01-05,23900,71400,
2015-01-06,24000,71900,
2015-01-07,24100,72300,
2015-01-08,24200,72600,
2015-01-09,24400,73300,
2015-01-10,24600,73600,
2015-01-11,24900,74400,
2015-01-12,25100,74900,
2015-01-13,25200,75400,
2015-01-14,25200,75900,
2015-01-15,25400,76100,
2015-01-16,25500,76600,
2015-01-17,25700,76700,
2015-01-18,26000,77400,
2015-01-19,26100,78000,
2015-01-20,26100,78300,
2015-01-21,26200,78600,
2015-01-22,26400,78900,
2015-01-23,26500,79100,
2015-01-24,26600,79700,
2015-01-25,26800,80000,
2015-01-26,26900,80600,
2015-01-27,26900,80900,
2015-01-28,27200,81100,
2015-01-29,27200,81300,
2015-01-30,27400,81500,
2015-01-31,27500,81700,
2015-02-01,27700,82000,
2015-02-02,27800,82100,
2015-02-03,27900,82300,
2015-02-04,28000,82400,
2015-02-05,28000,82600,
2015-02-06,28100,82700,
2015-02-07,28400,82900,
2015-02-08,28700,83300,
2015-02-09,28700,83300,
2015-02-10,28700,83400,
2015-02-11,28700,83600,
2015-02-12,28800,83900,
2015-02-13,29000,84100,
2015-02-14,29100,84400,
2015-02-15,29100,84600,
2015-02-16,29200,84900,
2015-02-17,29200,85000,
2015-02-18,29300,85200,
2015-02-19,29300,85400,
2015-02-20,29400,85500,
2015-02-21,29600,85600,
2015-02-22,29700,85700,
2015-02-23,29900,85900,
2015-02-24,29900,86100,
2015-02-25,29900,86200,
2015-02-26,30000,86700,
2015-02-27,30000,86900,
2015-02-28,30100,87000,
2015-03-01,30100,87200,
2015-03-02,30200,87400,
2015-03-03,30300,88600,
2015-03-04,30400,110300,
2015-03-05,30500,139600,
2015-03-06,30500,171800,
2015-03-07,30500,212000,
2015-03-08,30600,253000,
2015-03-09,30600,280900,
2015-03-10,30700,307800,
2015-03-11,30800,333800,
2015-03-12,30800,355200,
2015-03-13,30800,379300,
2015-03-14,30800,407700,
2015-03-15,30800,438200,
2015-03-16,30800,456000,
2015-03-17,30900,473900,
2015-03-18,30900,491200,
2015-03-19,31000,506900,
2015-03-20,31100,525300,
2015-03-21,31200,550200,
2015-03-22,31300,574600,
2015-03-23,31300,589400,
2015-03-24,31300,605300,
2015-03-25,31300,621400,
2015-03-26,31400,640200,
2015-03-27,31400,656000,
2015-03-28,31400,677700,
2015-03-29,31600,697500,
2015-03-30,31800,712400,
2015-03-31,31800,726900,
2015-04-01,31800,741500,
2015-04-02,31800,759000,
2015-04-03,31800,777300,
2015-04-04,31900,796600,
2015-04-05,32100,814100,
2015-04-06,32100,828500,
2015-04-07,32100,841400,
2015-04-08,32100,852900,
2015-04-09,32200,863600,
2015-04-10,32200,875500,
2015-04-11,32200,888200,
2015-04-12,32300,901600,
2015-04-13,32300,910500,
2015-04-14,32300,920100,
2015-04-15,32300,927100,
2015-04-16,32400,933500,
2015-04-17,32400,941400,
2015-04-18,32500,951800,
2015-04-19,32500,961900,
2015-04-20,32600,968000,
2015-04-21,32700,974500,
2015-04-22,32700,979600,
2015-04-23,32800,985400,
2015-04-24,32800,990500,
2015-04-25,32800,997300,
2015-04-26,32800,1004700,
2015-04-27,32800,1010100,
2015-04-28,32800,1014400,
2015-04-29,32800,1018600,
2015-04-30,32800,1023200,
2015-05-01,32900,1029300,
2015-05-02,32900,1035100,
2015-05-03,32900,1041800,
2015-05-04,32900,1046600,
2015-05-05,33000,1049900,
2015-05-06,33000,1054100,
2015-05-07,33000,1058700,
2015-05-08,33000,1062800,
2015-05-09,33100,1068700,
2015-05-10,33100,1073400,
2015-05-11,33100,1077600,
2015-05-12,33100,1080700,
2015-05-13,33100,1084700,
2015-05-14,33200,1088500,
2015-05-15,33200,1092900,
2015-05-16,33200,1097400,
2015-05-17,33300,1102700,
2015-05-18,33400,1105800,
2015-05-19,33400,1109300,
2015-05-20,33400,1112200,
2015-05-21,33400,1115100,
2015-05-22,33400,1117900,
2015-05-23,33500,1122100,
2015-05-24,33500,1127400,
2015-05-25,33500,1131000,
2015-05-26,33500,1134000,
2015-05-27,33600,1136800,
2015-05-28,33600,1139600,
2015-05-29,33700,1142600,
2015-05-30,33700,1146500,
2015-05-31,33700,1150500,
2015-06-01,33700,1153000,
2015-06-02,33700,1155900,
2015-06-03,33700,1158700,
2015-06-04,33700,1161300,
2015-06-05,33800,1163600,
2015-06-06,33900,1166700,
2015-06-07,34000,1170800,
2015-06-08,34000,1173700,
2015-06-09,34000,1176000,
2015-06-10,34000,1178600,
2015-06-11,34000,1181500,
2015-06-12,34100,1183300,
2015-06-13,34200,1186100,
2015-06-14,34300,1188600,
2015-06-15,34400,1191200,
2015-06-16,34400,1193000,
2015-06-17,34400,1195200,
2015-06-18,34400,1197700,
2015-06-19,34400,1199700,
2015-06-20,34400,1202500,
2015-06-21,34400,1205800,
2015-06-22,34500,1208300,
2015-06-23,34500,1211000,
2015-06-24,34500,1213600,
2015-06-25,34500,1215700,
2015-06-26,34500,1218100,
2015-06-27,34500,1220000,
2015-06-28,34500,1222500,
2015-06-29,34500,1225200,
2015-06-30,34500,1227200,
2015-07-01,34500,1229100,
2015-07-02,34500,1231900,
2015-07-03,34500,1234100,
2015-07-04,34500,1237200,
2015-07-05,34500,1239200,
2015-07-06,34500,1241500,
2015-07-07,34600,1243900,
2015-07-08,34700,1246900,
2015-07-09,34800,1249400,
2015-07-10,34800,1251300,
2015-07-11,34800,1254400,
2015-07-12,34900,1257700,
2015-07-13,34900,1260200,
2015-07-14,34900,1262300,
2015-07-15,35000,1263600,
2015-07-16,35000,1265400,
2015-07-17,35100,1267300,
2015-07-18,35100,1269400,
2015-07-19,35100,1271300,
2015-07-20,35200,1273000,
2015-07-21,35200,1274500,
2015-07-22,35200,1276400,
2015-07-23,35200,1278300,
2015-07-24,35300,1279600,
2015-07-25,35300,1281800,
2015-07-26,35400,1283300,
2015-07-27,35400,1285100,
2015-07-28,35500,1286900,
2015-07-29,35600,1289400,
2015-07-30,35600,1291100,
2015-07-31,35600,1292800,
2015-08-01,35600,1294900,
2015-08-02,35600,1297400,
2015-08-03,35600,1298500,
2015-08-04,35700,1300900,
2015-08-05,35700,1302300,
2015-08-06,35700,1303500,
2015-08-07,35800,1305100,
2015-08-08,35800,1306500,
2015-08-09,35800,1308100,
2015-08-10,35800,1309400,
2015-08-11,35800,1310400,
2015-08-12,35800,1311400,
2015-08-13,35900,1312800,
2015-08-14,35900,1314200,
2015-08-15,35900,1315500,
2015-08-16,35900,1317200,
2015-08-17,36000,1318600,
2015-08-18,36000,1320000,
2015-08-19,36000,1321300,
2015-08-20,36000,1322100,
2015-08-21,36000,1324100,
2015-08-22,36000,1325400,
2015-08-23,36000,1327100,
2015-08-24,36000,1328500,
2015-08-25,36100,1329800,
2015-08-26,36100,1330900,
2015-08-27,36100,1331700,
2015-08-28,36200,1333000,
2015-08-29,36200,1335100,
2015-08-30,36200,1336900,
2015-08-31,36200,1338200,
2015-09-01,36200,1339600,
2015-09-02,36200,1340900,
2015-09-03,36200,1341700,
2015-09-04,36200,1342800,
2015-09-05,36300,1344400,
2015-09-06,36300,1346100,
2015-09-07,36300,1347300,
2015-09-08,36300,1348500,
2015-09-09,36300,1349400,
2015-09-10,36300,1350200,
2015-09-11,36400,1351200,
2015-09-12,36500,1352900,
2015-09-13,36500,1354600,
2015-09-14,36500,1355700,
2015-09-15,36500,1356100,
2015-09-16,36600,1356800,
2015-09-17,36600,1357900,
2015-09-18,36700,1359100,
2015-09-19,36700,1359900,
2015-09-20,36800,1361600,
2015-09-21,36800,1362600,
2015-09-22,36800,1363700,
2015-09-23,36900,1364900,
2015-09-24,37000,1366300,
2015-09-25,37100,1367300,
2015-09-26,37100,1368400,
2015-09-27,37200,1369700,
2015-09-28,37200,1370700,
2015-09-29,37200,1371400,
2015-09-30,37200,1372100,
2015-10-01,37300,1373100,
2015-10-02,37300,1374100,
2015-10-03,37300,1375500,
2015-10-04,37400,1377200,
2015-10-05,37400,1378000,
2015-10-06,37400,1379200,
2015-10-07,37400,1379900,
2015-10-08,37400,1380800,
2015-10-09,37500,1381700,
2015-10-10,37500,1383000,
2015-10-11,37600,1383800,
2015-10-12,37700,1384500,
2015-10-13,37700,1384900,
2015-10-14,37700,1385600,
2015-10-15,37700,1386400,
2015-10-16,37700,1387400,
2015-10-17,37700,1388400,
2015-10-18,37700,1389600,
2015-10-19,37700,1390400,
2015-10-20,37700,1391000,
2015-10-21,37700,1391700,
2015-10-22,37700,1392200,
2015-10-23,37800,1392900,
2015-10-24,37900,1393900,
2015-10-25,37900,1394700,
2015-10-26,37900,1395600,
2015-10-27,37900,1396300,
2015-10-28,37900,1397000,
2015-10-29,38000,1397800,
2015-10-30,38100,1398700,
2015-10-31,38100,1399600,
2015-11-01,38100,1400200,
2015-11-02,38200,1400700,
2015-11-03,38200,1401300,
2015-11-04,38200,1402000,
2015-11-05,38400,1403100,
2015-11-06,38500,1403700,
2015-11-07,38500,1405100,
2015-11-08,38600,1406700,
2015-11-09,38600,1407800,
2015-11-10,38700,1408400,
2015-11-11,38700,1409100,
2015-11-12,38700,1409600,
2015-11-13,38800,1410500,
2015-11-14,38800,1411700,
2015-11-15,38900,1412700,
2015-11-16,38900,1413500,
2015-11-17,38900,1414200,
2015-11-18,38900,1415200,
2015-11-19,38900,1416100,
2015-11-20,38900,1416500,
2015-11-21,38900,1417800,
2015-11-22,38900,1418800,
2015-11-23,39000,1419400,
2015-11-24,39000,1420200,
2015-11-25,39000,1420700,
2015-11-26,39000,1421400,
2015-11-27,39000,1422200,
2015-11-28,39000,1422700,
2015-11-29,39100,1423700,
2015-11-30,39100,1424200,
2015-12-01,39100,1424800,
2015-12-02,39100,1425200,
2015-12-03,39100,1425700,
2015-12-04,39100,1426200,
2015-12-05,39100,1426800,
2015-12-06,39100,1427900,
2015-12-07,39100,1428700,
2015-12-08,39100,1429200,
2015-12-09,39100,1430000,
2015-12-10,39100,1430800,
2015-12-11,39100,1431300,
2015-12-12,39100,1432400,
2015-12-13,39200,1433200,
2015-12-14,39300,1433700,
2015-12-15,39300,1434700,
2015-12-16,39300,1435500,
