Date,'',PS4 player count,
2018-05-26,,100,
2018-05-27,,100,
2018-05-28,,100,
2018-05-29,,100,
2018-05-30,,200,
2018-05-31,,700,
2018-06-01,,2200,
2018-06-02,,4200,
2018-06-03,,5200,
2018-06-04,,10700,
2018-06-05,,51600,
2018-06-06,,76200,
2018-06-07,,91300,
2018-06-08,,104900,
2018-06-09,,118800,
2018-06-10,,129700,
2018-06-11,,136500,
2018-06-12,,143100,
2018-06-13,,148500,
2018-06-14,,152700,
2018-06-15,,157600,
2018-06-16,,162800,
2018-06-17,,167800,
2018-06-18,,171800,
2018-06-19,,174600,
2018-06-20,,177900,
2018-06-21,,180500,
2018-06-22,,183700,
2018-06-23,,187100,
2018-06-24,,191100,
2018-06-25,,194100,
2018-06-26,,196600,
2018-06-27,,198500,
2018-06-28,,201600,
2018-06-29,,204400,
2018-06-30,,207300,
2018-07-01,,210000,
2018-07-02,,212300,
2018-07-03,,214800,
2018-07-04,,216400,
2018-07-05,,218300,
2018-07-06,,220000,
2018-07-07,,222300,
2018-07-08,,224800,
2018-07-09,,226400,
2018-07-10,,227800,
2018-07-11,,228800,
2018-07-12,,230400,
2018-07-13,,231800,
2018-07-14,,233700,
2018-07-15,,235300,
2018-07-16,,236700,
2018-07-17,,238000,
2018-07-18,,239400,
2018-07-19,,240900,
2018-07-20,,242000,
2018-07-21,,243500,
2018-07-22,,245000,
2018-07-23,,246400,
2018-07-24,,247800,
2018-07-25,,249300,
2018-07-26,,251400,
2018-07-27,,252800,
2018-07-28,,255000,
2018-07-29,,256700,
2018-07-30,,257900,
2018-07-31,,259200,
2018-08-01,,260500,
2018-08-02,,262000,
2018-08-03,,263500,
2018-08-04,,265100,
2018-08-05,,266700,
2018-08-06,,267900,
2018-08-07,,269000,
2018-08-08,,270100,
2018-08-09,,271300,
2018-08-10,,272800,
2018-08-11,,274000,
2018-08-12,,275300,
2018-08-13,,276400,
2018-08-14,,278100,
2018-08-15,,278900,
2018-08-16,,280000,
2018-08-17,,280900,
2018-08-18,,282900,
2018-08-19,,284300,
2018-08-20,,285600,
2018-08-21,,286700,
2018-08-22,,287800,
2018-08-23,,288600,
2018-08-24,,289800,
2018-08-25,,291100,
2018-08-26,,292300,
2018-08-27,,293500,
2018-08-28,,294500,
2018-08-29,,295200,
2018-08-30,,296100,
2018-08-31,,297200,
2018-09-01,,298100,
2018-09-02,,299500,
2018-09-03,,300600,
2018-09-04,,301400,
2018-09-05,,302200,
2018-09-06,,302700,
2018-09-07,,303400,
2018-09-08,,304800,
2018-09-09,,305500,
2018-09-10,,306400,
2018-09-11,,307000,
2018-09-12,,307700,
2018-09-13,,308100,
2018-09-14,,308400,
2018-09-15,,309600,
2018-09-16,,310300,
2018-09-17,,310900,
2018-09-18,,311400,
2018-09-19,,312000,
2018-09-20,,312500,
2018-09-21,,313100,
2018-09-22,,314000,
2018-09-23,,315100,
2018-09-24,,316100,
2018-09-25,,316900,
2018-09-26,,317300,
2018-09-27,,318000,
2018-09-28,,318800,
2018-09-29,,319500,
2018-09-30,,320100,
2018-10-01,,320400,
2018-10-02,,320800,
2018-10-03,,321700,
2018-10-04,,322800,
2018-10-05,,323800,
2018-10-06,,324800,
2018-10-07,,325600,
2018-10-08,,326500,
2018-10-09,,327500,
2018-10-10,,328300,
2018-10-11,,329300,
2018-10-12,,330100,
2018-10-13,,331500,
2018-10-14,,332900,
2018-10-15,,334000,
2018-10-16,,334800,
2018-10-17,,335400,
2018-10-18,,335900,
2018-10-19,,336400,
2018-10-20,,337100,
2018-10-21,,338000,
2018-10-22,,338400,
2018-10-23,,338900,
2018-10-24,,339100,
2018-10-25,,339500,
2018-10-26,,339900,
2018-10-27,,340500,
2018-10-28,,341300,
2018-10-29,,342000,
2018-10-30,,342600,
2018-10-31,,342900,
2018-11-01,,343800,
2018-11-02,,344300,
2018-11-03,,345300,
2018-11-04,,346000,
2018-11-05,,346600,
2018-11-06,,347000,
2018-11-07,,347300,
2018-11-08,,347800,
2018-11-09,,348100,
2018-11-10,,348800,
2018-11-11,,349500,
2018-11-12,,349900,
2018-11-13,,350300,
2018-11-14,,350700,
2018-11-15,,350900,
2018-11-16,,351800,
2018-11-17,,353200,
2018-11-18,,354500,
2018-11-19,,355000,
2018-11-20,,355900,
2018-11-21,,356700,
