Date,PS3 player count,PS4 player count,PS Vita player count
2014-08-15,0,100,0
2014-08-16,0,100,0
2014-08-17,0,100,0
2014-08-18,0,100,0
2014-08-19,0,100,0
2014-08-20,0,100,0
2014-08-21,0,100,0
2014-08-22,0,100,0
2014-08-23,0,100,0
2014-08-24,0,100,0
2014-08-25,0,100,0
2014-08-26,0,100,0
2014-08-27,0,100,0
2014-08-28,0,100,0
2014-08-29,0,100,0
2014-08-30,0,100,0
2014-08-31,0,100,0
2014-09-01,0,100,0
2014-09-02,0,1700,100
2014-09-03,200,11400,800
2014-09-04,400,25200,2000
2014-09-05,400,42600,3900
2014-09-06,500,63600,7000
2014-09-07,700,82900,8400
2014-09-08,900,99700,10800
2014-09-09,900,119900,11600
2014-09-10,1500,137600,12400
2014-09-11,1900,151500,13400
2014-09-12,2400,164000,13900
2014-09-13,2800,178600,14600
2014-09-14,3100,193500,15700
2014-09-15,3900,204900,16900
2014-09-16,4100,214300,17600
2014-09-17,4500,224700,18400
2014-09-18,5400,233100,18800
2014-09-19,5600,241900,20200
2014-09-20,6100,254600,21200
2014-09-21,6500,265400,22400
2014-09-22,7300,274000,23300
2014-09-23,7900,281300,24600
2014-09-24,8200,288500,25500
2014-09-25,8500,295700,26000
2014-09-26,9100,302100,26800
2014-09-27,9500,310400,27500
2014-09-28,10000,320000,27900
2014-09-29,10200,326600,28200
2014-09-30,10800,334500,29100
2014-10-01,11200,342000,29600
2014-10-02,11300,349200,30800
2014-10-03,11500,356200,31100
2014-10-04,12000,363800,32200
2014-10-05,12700,373300,33200
2014-10-06,13200,380400,34100
2014-10-07,14000,389100,34400
2014-10-08,14200,396200,34700
2014-10-09,14300,401600,35600
2014-10-10,14500,407300,36200
2014-10-11,14800,414500,36800
2014-10-12,14900,420600,36900
2014-10-13,15200,426500,37400
2014-10-14,15200,430800,37500
2014-10-15,15200,435000,37700
2014-10-16,15200,439300,38000
2014-10-17,15200,443100,38100
2014-10-18,15400,447900,38500
2014-10-19,15600,452300,38700
2014-10-20,15600,455700,38800
2014-10-21,15600,459900,39100
2014-10-22,15600,462800,39100
2014-10-23,15600,466000,39200
2014-10-24,15700,469100,39400
2014-10-25,15700,471900,39500
2014-10-26,15800,475900,39800
2014-10-27,15800,477900,40000
2014-10-28,15900,484200,40100
2014-10-29,15900,488800,40300
2014-10-30,16000,495300,40400
2014-10-31,16000,498800,40600
2014-11-01,16100,504000,40700
2014-11-02,16200,510000,41000
2014-11-03,16300,513000,41000
2014-11-04,16300,517300,41500
2014-11-05,16300,522300,41700
2014-11-06,16300,525300,42100
2014-11-07,16300,528800,42500
2014-11-08,16300,533000,42800
2014-11-09,16500,536300,42900
2014-11-10,16700,539100,43200
2014-11-11,16700,542200,43300
2014-11-12,16700,545000,43300
2014-11-13,16700,547300,43400
2014-11-14,16700,550000,43500
2014-11-15,16700,553500,43700
2014-11-16,17000,557300,43900
2014-11-17,17000,559200,44000
2014-11-18,17000,562400,44100
2014-11-19,17100,565400,44100
2014-11-20,17100,568000,44300
2014-11-21,17100,571300,44600
2014-11-22,17100,574900,44700
2014-11-23,17100,577200,44800
2014-11-24,17100,579100,44900
2014-11-25,17100,580900,45000
2014-11-26,17100,583300,45100
2014-11-27,17100,585700,45300
2014-11-28,17100,588000,45500
2014-11-29,17100,590300,45600
2014-11-30,17100,592800,45600
2014-12-01,17100,594300,45600
2014-12-02,17100,596000,45900
2014-12-03,17100,597700,46000
2014-12-04,17100,600300,46200
2014-12-05,17100,602000,46300
2014-12-06,17100,603700,46500
2014-12-07,17100,605900,46600
2014-12-08,17100,608100,46700
2014-12-09,17100,610300,46700
2014-12-10,17100,611700,46700
2014-12-11,17100,612300,46700
2014-12-12,17100,613400,46700
2014-12-13,17100,614700,46900
2014-12-14,17300,616200,46900
2014-12-15,17300,617400,47000
2014-12-16,17300,618600,47200
2014-12-17,17300,619800,47300
2014-12-18,17300,621000,47300
2014-12-19,17300,622000,47400
2014-12-20,17400,623400,47400
2014-12-21,17400,625500,47400
2014-12-22,17400,626900,47500
2014-12-23,17400,627900,47600
2014-12-24,17400,629400,47800
2014-12-25,17500,630500,47800
2014-12-26,17500,630700,47900
2014-12-27,17500,631800,48100
2014-12-28,17500,633700,48200
2014-12-29,17500,635600,48200
2014-12-30,17500,637000,48200
2014-12-31,17500,638800,48300
2015-01-01,17600,640500,48600
2015-01-02,17600,642200,48600
2015-01-03,17600,643400,48700
2015-01-04,17600,644400,48800
2015-01-05,17700,644900,48800
2015-01-06,17700,646100,48800
2015-01-07,17700,646800,48900
2015-01-08,17700,648200,48900
2015-01-09,17700,648800,48900
2015-01-10,17700,650000,48900
2015-01-11,17700,651200,49200
2015-01-12,17700,652500,49200
2015-01-13,17700,653700,49300
2015-01-14,17700,653900,49500
2015-01-15,17700,655000,49500
2015-01-16,17700,656000,49500
2015-01-17,17700,657300,49500
2015-01-18,17700,658000,49500
2015-01-19,17700,659100,49500
2015-01-20,17700,659500,49500
2015-01-21,17700,659900,49500
2015-01-22,17700,661000,49500
2015-01-23,17700,662000,49500
2015-01-24,17700,663400,49500
2015-01-25,17700,664400,49500
2015-01-26,17700,665300,49500
2015-01-27,17700,666400,49600
2015-01-28,17700,666800,49600
2015-01-29,17700,667100,49600
2015-01-30,17700,668000,49600
2015-01-31,17700,668700,49600
2015-02-01,17700,669500,49700
2015-02-02,17700,669900,49800
2015-02-03,17700,670800,50000
2015-02-04,17700,672000,50000
2015-02-05,17700,672300,50000
2015-02-06,17700,672600,50100
2015-02-07,17700,673000,50300
2015-02-08,17700,673300,50500
2015-02-09,17700,674300,50500
2015-02-10,17700,674700,50500
2015-02-11,17700,674900,50500
2015-02-12,17700,675100,50500
2015-02-13,17700,675600,50500
2015-02-14,17700,676100,50500
2015-02-15,17700,676800,50500
2015-02-16,17700,677300,50600
2015-02-17,17700,678000,50600
2015-02-18,17700,678500,50700
2015-02-19,17700,678900,50700
2015-02-20,17700,679600,50700
2015-02-21,17700,680000,50700
2015-02-22,17700,680900,50700
2015-02-23,17700,681600,50800
2015-02-24,17700,682300,50800
2015-02-25,17700,682800,50800
2015-02-26,17700,683400,50900
2015-02-27,17700,684000,50900
2015-02-28,17700,684800,51000
2015-03-01,17700,685800,51000
2015-03-02,17700,686300,51100
2015-03-03,17700,686400,51100
2015-03-04,17700,687100,51200
2015-03-05,17700,687600,51200
2015-03-06,17700,688700,51200
2015-03-07,17700,689600,51200
2015-03-08,17700,690000,51200
