Date,'',PS4 player count,
2017-04-25,,1100,
2017-04-26,,1900,
2017-04-27,,2700,
2017-04-28,,3200,
2017-04-29,,3900,
2017-04-30,,5000,
2017-05-01,,6200,
2017-05-02,,6800,
2017-05-03,,7100,
2017-05-04,,7700,
2017-05-05,,8400,
2017-05-06,,9000,
2017-05-07,,9600,
2017-05-08,,9900,
2017-05-09,,10200,
2017-05-10,,10400,
2017-05-11,,10500,
2017-05-12,,10700,
2017-05-13,,11300,
2017-05-14,,11800,
2017-05-15,,12000,
2017-05-16,,12100,
2017-05-17,,12400,
2017-05-18,,12700,
2017-05-19,,13000,
2017-05-20,,13300,
2017-05-21,,13800,
2017-05-22,,14000,
2017-05-23,,14400,
2017-05-24,,14700,
2017-05-25,,14900,
2017-05-26,,14900,
2017-05-27,,15400,
2017-05-28,,15400,
2017-05-29,,15700,
2017-05-30,,15900,
2017-05-31,,16100,
2017-06-01,,16200,
2017-06-02,,16200,
2017-06-03,,16500,
2017-06-04,,17000,
2017-06-05,,17500,
2017-06-06,,17700,
2017-06-07,,17900,
2017-06-08,,18100,
2017-06-09,,18200,
2017-06-10,,18300,
2017-06-11,,18500,
2017-06-12,,18600,
2017-06-13,,18700,
2017-06-14,,18700,
2017-06-15,,18700,
2017-06-16,,18700,
2017-06-17,,18900,
2017-06-18,,19100,
2017-06-19,,19300,
2017-06-20,,19500,
2017-06-21,,19700,
2017-06-22,,19800,
2017-06-23,,19900,
2017-06-24,,20000,
2017-06-25,,20300,
2017-06-26,,20500,
2017-06-27,,20700,
2017-06-28,,20700,
2017-06-29,,20900,
2017-06-30,,21000,
2017-07-01,,21100,
2017-07-02,,21500,
2017-07-03,,21600,
2017-07-04,,21700,
2017-07-05,,21800,
2017-07-06,,22000,
2017-07-07,,22300,
2017-07-08,,22700,
2017-07-09,,23100,
2017-07-10,,23500,
2017-07-11,,23700,
2017-07-12,,23900,
2017-07-13,,24400,
2017-07-14,,24600,
2017-07-15,,24900,
2017-07-16,,25500,
2017-07-17,,26000,
2017-07-18,,26100,
2017-07-19,,26400,
2017-07-20,,26800,
2017-07-21,,27000,
2017-07-22,,27100,
2017-07-23,,27600,
2017-07-24,,27800,
2017-07-25,,27900,
2017-07-26,,28000,
2017-07-27,,28300,
2017-07-28,,28300,
2017-07-29,,28800,
2017-07-30,,29100,
2017-07-31,,29300,
2017-08-01,,29500,
2017-08-02,,29700,
2017-08-03,,29900,
2017-08-04,,30000,
2017-08-05,,30200,
2017-08-06,,30600,
2017-08-07,,30600,
2017-08-08,,30700,
2017-08-09,,30800,
2017-08-10,,31000,
2017-08-11,,31100,
2017-08-12,,31200,
2017-08-13,,31500,
2017-08-14,,31700,
2017-08-15,,31800,
2017-08-16,,31900,
2017-08-17,,32000,
2017-08-18,,32200,
2017-08-19,,32300,
2017-08-20,,32600,
2017-08-21,,32700,
2017-08-22,,32800,
2017-08-23,,33000,
2017-08-24,,33100,
2017-08-25,,33100,
2017-08-26,,33200,
2017-08-27,,33300,
2017-08-28,,33300,
2017-08-29,,33400,
2017-08-30,,33500,
2017-08-31,,33700,
2017-09-01,,33700,
2017-09-02,,33900,
2017-09-03,,34100,
2017-09-04,,34300,
2017-09-05,,34300,
2017-09-06,,34400,
2017-09-07,,34400,
2017-09-08,,34500,
2017-09-09,,34600,
2017-09-10,,34800,
2017-09-11,,34800,
2017-09-12,,34900,
2017-09-13,,34900,
2017-09-14,,35000,
2017-09-15,,35200,
2017-09-16,,35300,
2017-09-17,,35400,
2017-09-18,,35400,
2017-09-19,,35400,
2017-09-20,,35500,
2017-09-21,,35600,
2017-09-22,,35700,
2017-09-23,,35800,
2017-09-24,,35900,
2017-09-25,,36000,
2017-09-26,,36000,
2017-09-27,,36200,
2017-09-28,,36400,
2017-09-29,,36400,
2017-09-30,,36500,
2017-10-01,,36800,
2017-10-02,,36900,
2017-10-03,,36900,
2017-10-04,,36900,
2017-10-05,,36900,
2017-10-06,,37000,
2017-10-07,,37100,
2017-10-08,,37300,
2017-10-09,,37400,
2017-10-10,,37400,
2017-10-11,,37400,
2017-10-12,,37400,
2017-10-13,,37500,
2017-10-14,,37600,
2017-10-15,,37700,
2017-10-16,,37700,
2017-10-17,,37700,
2017-10-18,,38000,
2017-10-19,,38200,
2017-10-20,,38300,
2017-10-21,,38500,
2017-10-22,,38900,
2017-10-23,,39200,
2017-10-24,,39400,
2017-10-25,,39600,
2017-10-26,,39800,
2017-10-27,,40100,
2017-10-28,,40200,
2017-10-29,,40400,
2017-10-30,,40700,
2017-10-31,,40700,
2017-11-01,,40800,
2017-11-02,,41000,
2017-11-03,,41200,
2017-11-04,,41200,
2017-11-05,,41400,
2017-11-06,,41500,
2017-11-07,,41500,
2017-11-08,,41500,
2017-11-09,,41600,
2017-11-10,,41600,
2017-11-11,,41700,
2017-11-12,,41900,
2017-11-13,,42000,
2017-11-14,,42100,
2017-11-15,,42200,
2017-11-16,,42400,
2017-11-17,,42400,
2017-11-18,,42500,
2017-11-19,,42600,
2017-11-20,,42600,
2017-11-21,,42700,
2017-11-22,,42700,
2017-11-23,,42700,
2017-11-24,,42900,
2017-11-25,,43000,
2017-11-26,,43100,
2017-11-27,,43300,
2017-11-28,,43400,
2017-11-29,,43400,
2017-11-30,,43500,
2017-12-01,,43500,
2017-12-02,,43500,
2017-12-03,,43700,
2017-12-04,,43800,
2017-12-05,,43800,
2017-12-06,,44100,
2017-12-07,,44300,
