Date,'',PS4 player count,
2017-06-03,,200,
2017-06-04,,400,
2017-06-05,,500,
2017-06-06,,1900,
2017-06-07,,5700,
2017-06-08,,8900,
2017-06-09,,12700,
2017-06-10,,16700,
2017-06-11,,21300,
2017-06-12,,24000,
2017-06-13,,26500,
2017-06-14,,28700,
2017-06-15,,30800,
2017-06-16,,32600,
2017-06-17,,34800,
2017-06-18,,37900,
2017-06-19,,39200,
2017-06-20,,41000,
2017-06-21,,43000,
2017-06-22,,45200,
2017-06-23,,47500,
2017-06-24,,50500,
2017-06-25,,52800,
2017-06-26,,54200,
2017-06-27,,56400,
2017-06-28,,57600,
2017-06-29,,59100,
2017-06-30,,60900,
2017-07-01,,62800,
2017-07-02,,65100,
2017-07-03,,66400,
2017-07-04,,67700,
2017-07-05,,69200,
2017-07-06,,70300,
2017-07-07,,71500,
2017-07-08,,72700,
2017-07-09,,74500,
2017-07-10,,75200,
2017-07-11,,76400,
2017-07-12,,77100,
2017-07-13,,78000,
2017-07-14,,79100,
2017-07-15,,80400,
2017-07-16,,81500,
2017-07-17,,82300,
2017-07-18,,83200,
2017-07-19,,83900,
2017-07-20,,85100,
2017-07-21,,85800,
2017-07-22,,87100,
2017-07-23,,88300,
2017-07-24,,89300,
2017-07-25,,90000,
2017-07-26,,90900,
2017-07-27,,91600,
2017-07-28,,92600,
2017-07-29,,93700,
2017-07-30,,94900,
2017-07-31,,95500,
2017-08-01,,96200,
2017-08-02,,96700,
2017-08-03,,97300,
2017-08-04,,98000,
2017-08-05,,99000,
2017-08-06,,99900,
2017-08-07,,100700,
2017-08-08,,101400,
2017-08-09,,102200,
2017-08-10,,103200,
2017-08-11,,103800,
2017-08-12,,104700,
2017-08-13,,105400,
2017-08-14,,106200,
2017-08-15,,106800,
2017-08-16,,107700,
2017-08-17,,108100,
2017-08-18,,108900,
2017-08-19,,110300,
2017-08-20,,111200,
2017-08-21,,111800,
2017-08-22,,112500,
2017-08-23,,112900,
2017-08-24,,113200,
2017-08-25,,113700,
2017-08-26,,114600,
2017-08-27,,115400,
2017-08-28,,115900,
2017-08-29,,116400,
2017-08-30,,116800,
2017-08-31,,117500,
2017-09-01,,118400,
2017-09-02,,119200,
2017-09-03,,119800,
2017-09-04,,120700,
2017-09-05,,121400,
2017-09-06,,121800,
2017-09-07,,122300,
2017-09-08,,122500,
2017-09-09,,123200,
2017-09-10,,124000,
2017-09-11,,124300,
2017-09-12,,124900,
2017-09-13,,125000,
2017-09-14,,125200,
2017-09-15,,125500,
2017-09-16,,126000,
2017-09-17,,126600,
2017-09-18,,126800,
2017-09-19,,127300,
2017-09-20,,127600,
2017-09-21,,128100,
2017-09-22,,128500,
2017-09-23,,129300,
2017-09-24,,129800,
2017-09-25,,130200,
2017-09-26,,130600,
2017-09-27,,130800,
2017-09-28,,131400,
2017-09-29,,131700,
2017-09-30,,132200,
2017-10-01,,132700,
2017-10-02,,133100,
2017-10-03,,133400,
2017-10-04,,133900,
2017-10-05,,134400,
2017-10-06,,135100,
2017-10-07,,136500,
2017-10-08,,138000,
2017-10-09,,138700,
2017-10-10,,139600,
2017-10-11,,140200,
2017-10-12,,140900,
2017-10-13,,141400,
2017-10-14,,142600,
2017-10-15,,144300,
2017-10-16,,145100,
2017-10-17,,146100,
2017-10-18,,146500,
2017-10-19,,146900,
2017-10-20,,147600,
2017-10-21,,148400,
2017-10-22,,149700,
2017-10-23,,150400,
2017-10-24,,151000,
2017-10-25,,151500,
2017-10-26,,152200,
2017-10-27,,152600,
2017-10-28,,153600,
2017-10-29,,154500,
2017-10-30,,155000,
2017-10-31,,155300,
2017-11-01,,155900,
2017-11-02,,156300,
2017-11-03,,157100,
2017-11-04,,157900,
2017-11-05,,158400,
2017-11-06,,158700,
2017-11-07,,159300,
2017-11-08,,159600,
2017-11-09,,160000,
2017-11-10,,160600,
2017-11-11,,161400,
2017-11-12,,162100,
2017-11-13,,162400,
2017-11-14,,162800,
2017-11-15,,163300,
2017-11-16,,163700,
2017-11-17,,164100,
2017-11-18,,164600,
2017-11-19,,165200,
2017-11-20,,165500,
2017-11-21,,165900,
2017-11-22,,166300,
2017-11-23,,166800,
2017-11-24,,167200,
2017-11-25,,168100,
2017-11-26,,168900,
2017-11-27,,169600,
2017-11-28,,170100,
2017-11-29,,170300,
2017-11-30,,170700,
2017-12-01,,171200,
2017-12-02,,172000,
2017-12-03,,172800,
2017-12-04,,173600,
2017-12-05,,173900,
2017-12-06,,174600,
2017-12-07,,175100,
2017-12-08,,175700,
2017-12-09,,176900,
2017-12-10,,177900,
2017-12-11,,178400,
2017-12-12,,178800,
2017-12-13,,179400,
2017-12-14,,180500,
2017-12-15,,181200,
2017-12-16,,181900,
2017-12-17,,183300,
2017-12-18,,184400,
2017-12-19,,185400,
2017-12-20,,186300,
2017-12-21,,187200,
2017-12-22,,188200,
2017-12-23,,189300,
2017-12-24,,190700,
2017-12-25,,192700,
2017-12-26,,194600,
2017-12-27,,196100,
2017-12-28,,197300,
2017-12-29,,198500,
2017-12-30,,199800,
2017-12-31,,201200,
2018-01-01,,202200,
2018-01-02,,203400,
2018-01-03,,204700,
2018-01-04,,205600,
2018-01-05,,206800,
2018-01-06,,208100,
2018-01-07,,209200,
2018-01-08,,209600,
2018-01-09,,210200,
2018-01-10,,211000,
2018-01-11,,211500,
2018-01-12,,212300,
2018-01-13,,213500,
2018-01-14,,214800,
2018-01-15,,215300,
2018-01-16,,215900,
2018-01-17,,216400,
2018-01-18,,217000,
2018-01-19,,217200,
2018-01-20,,217900,
2018-01-21,,219200,
2018-01-22,,219800,
2018-01-23,,220300,
2018-01-24,,221100,
2018-01-25,,222200,
2018-01-26,,223000,
2018-01-27,,224400,
2018-01-28,,225300,
2018-01-29,,225700,
2018-01-30,,226000,
2018-01-31,,226500,
2018-02-01,,226900,
2018-02-02,,227700,
2018-02-03,,228400,
2018-02-04,,229500,
2018-02-05,,230100,
2018-02-06,,230500,
2018-02-07,,231100,
2018-02-08,,231800,
2018-02-09,,232300,
2018-02-10,,233300,
2018-02-11,,234300,
2018-02-12,,234600,
2018-02-13,,234900,
2018-02-14,,235400,
2018-02-15,,235800,
2018-02-16,,236200,
2018-02-17,,236800,
2018-02-18,,237300,
2018-02-19,,237600,
2018-02-20,,237900,
2018-02-21,,238200,
2018-02-22,,238700,
2018-02-23,,239300,
2018-02-24,,240200,
2018-02-25,,240800,
2018-02-26,,241100,
2018-02-27,,241400,
2018-02-28,,241900,
2018-03-01,,242600,
2018-03-02,,243200,
2018-03-03,,243700,
2018-03-04,,244300,
2018-03-05,,244800,
2018-03-06,,245200,
2018-03-07,,245500,
2018-03-08,,246000,
2018-03-09,,246400,
2018-03-10,,247200,
2018-03-11,,248300,
2018-03-12,,249100,
2018-03-13,,250100,
2018-03-14,,250300,
2018-03-15,,250900,
2018-03-16,,251200,
2018-03-17,,252500,
2018-03-18,,253100,
2018-03-19,,253500,
2018-03-20,,254000,
2018-03-21,,254400,
2018-03-22,,254700,
2018-03-23,,255300,
2018-03-24,,256500,
2018-03-25,,257500,
2018-03-26,,257600,
2018-03-27,,257900,
2018-03-28,,258700,
2018-03-29,,259800,
2018-03-30,,261800,
2018-03-31,,263900,
2018-04-01,,266000,
2018-04-02,,267900,
2018-04-03,,268900,
2018-04-04,,270600,
2018-04-05,,271100,
2018-04-06,,272400,
2018-04-07,,273100,
2018-04-08,,274200,
2018-04-09,,275000,
2018-04-10,,275700,
2018-04-11,,276500,
2018-04-12,,277300,
2018-04-13,,278400,
2018-04-14,,279700,
2018-04-15,,280300,
2018-04-16,,280800,
2018-04-17,,281400,
2018-04-18,,282000,
2018-04-19,,282600,
2018-04-20,,283200,
2018-04-21,,283800,
2018-04-22,,284600,
2018-04-23,,285200,
2018-04-24,,285700,
2018-04-25,,286200,
2018-04-26,,286700,
2018-04-27,,287400,
2018-04-28,,288300,
2018-04-29,,289000,
2018-04-30,,289700,
2018-05-01,,290100,
2018-05-02,,290600,
2018-05-03,,291200,
2018-05-04,,291600,
2018-05-05,,292100,
2018-05-06,,292900,
2018-05-07,,293300,
2018-05-08,,293500,
2018-05-09,,293700,
2018-05-10,,294100,
2018-05-11,,294600,
2018-05-12,,295100,
2018-05-13,,295300,
2018-05-14,,295600,
2018-05-15,,295800,
2018-05-16,,296000,
2018-05-17,,296300,
2018-05-18,,296400,
2018-05-19,,297000,
2018-05-20,,297700,
2018-05-21,,298200,
2018-05-22,,298700,
2018-05-23,,298900,
2018-05-24,,299200,
2018-05-25,,299600,
2018-05-26,,300200,
2018-05-27,,300700,
2018-05-28,,301400,
2018-05-29,,301800,
2018-05-30,,302400,
2018-05-31,,302800,
2018-06-01,,303200,
2018-06-02,,303600,
2018-06-03,,304300,
2018-06-04,,304600,
2018-06-05,,305100,
2018-06-06,,305600,
2018-06-07,,306000,
2018-06-08,,306700,
2018-06-09,,307800,
2018-06-10,,308800,
2018-06-11,,309500,
2018-06-12,,310000,
2018-06-13,,310500,
2018-06-14,,310900,
2018-06-15,,311700,
2018-06-16,,312900,
2018-06-17,,313800,
2018-06-18,,314600,
2018-06-19,,315100,
2018-06-20,,315600,
2018-06-21,,316100,
2018-06-22,,316500,
2018-06-23,,317400,
2018-06-24,,318300,
2018-06-25,,318800,
2018-06-26,,319300,
2018-06-27,,320000,
2018-06-28,,320200,
2018-06-29,,320400,
2018-06-30,,321100,
2018-07-01,,321500,
2018-07-02,,321700,
2018-07-03,,322000,
2018-07-04,,322700,
2018-07-05,,323100,
2018-07-06,,323800,
2018-07-07,,324700,
2018-07-08,,325500,
2018-07-09,,325900,
2018-07-10,,326900,
2018-07-11,,327300,
2018-07-12,,327800,
2018-07-13,,328600,
2018-07-14,,329400,
2018-07-15,,330200,
2018-07-16,,330700,
2018-07-17,,331000,
2018-07-18,,331800,
2018-07-19,,331900,
2018-07-20,,332500,
2018-07-21,,332900,
2018-07-22,,333800,
2018-07-23,,334200,
2018-07-24,,334600,
2018-07-25,,335100,
2018-07-26,,335800,
2018-07-27,,336600,
2018-07-28,,337800,
2018-07-29,,338400,
2018-07-30,,338900,
2018-07-31,,339300,
2018-08-01,,340100,
2018-08-02,,340800,
2018-08-03,,341700,
2018-08-04,,342500,
2018-08-05,,343200,
2018-08-06,,344000,
2018-08-07,,344700,
2018-08-08,,345400,
2018-08-09,,345800,
2018-08-10,,346400,
2018-08-11,,347500,
2018-08-12,,348500,
2018-08-13,,349000,
2018-08-14,,349800,
2018-08-15,,350500,
2018-08-16,,351200,
2018-08-17,,352100,
2018-08-18,,352800,
2018-08-19,,353800,
2018-08-20,,354300,
2018-08-21,,354800,
2018-08-22,,355700,
2018-08-23,,356700,
2018-08-24,,357300,
2018-08-25,,357800,
2018-08-26,,358400,
2018-08-27,,359000,
2018-08-28,,359600,
2018-08-29,,359800,
2018-08-30,,360200,
2018-08-31,,360600,
2018-09-01,,361400,
2018-09-02,,361700,
2018-09-03,,362300,
2018-09-04,,362600,
2018-09-05,,363000,
2018-09-06,,363300,
2018-09-07,,363800,
2018-09-08,,364200,
2018-09-09,,364800,
2018-09-10,,364900,
2018-09-11,,365400,
2018-09-12,,365600,
2018-09-13,,365900,
2018-09-14,,366300,
2018-09-15,,366800,
2018-09-16,,367100,
2018-09-17,,367400,
2018-09-18,,367800,
2018-09-19,,368000,
2018-09-20,,368200,
2018-09-21,,368500,
2018-09-22,,369100,
2018-09-23,,369500,
2018-09-24,,369900,
2018-09-25,,370100,
2018-09-26,,370300,
2018-09-27,,370500,
2018-09-28,,370900,
2018-09-29,,371400,
2018-09-30,,372000,
2018-10-01,,372300,
2018-10-02,,372400,
2018-10-03,,373000,
2018-10-04,,373300,
2018-10-05,,373900,
2018-10-06,,374600,
2018-10-07,,375500,
2018-10-08,,375800,
2018-10-09,,376200,
2018-10-10,,376600,
2018-10-11,,377000,
2018-10-12,,377500,
2018-10-13,,378500,
2018-10-14,,379300,
2018-10-15,,379700,
2018-10-16,,380000,
2018-10-17,,380300,
2018-10-18,,380800,
2018-10-19,,381300,
2018-10-20,,381800,
2018-10-21,,382600,
2018-10-22,,383000,
2018-10-23,,383300,
2018-10-24,,383700,
2018-10-25,,384100,
2018-10-26,,384600,
2018-10-27,,385400,
2018-10-28,,385800,
2018-10-29,,386200,
2018-10-30,,386400,
2018-10-31,,386700,
2018-11-01,,386900,
2018-11-02,,387300,
2018-11-03,,388200,
2018-11-04,,388700,
2018-11-05,,388900,
2018-11-06,,389000,
2018-11-07,,389100,
2018-11-08,,389300,
2018-11-09,,389500,
2018-11-10,,390200,
2018-11-11,,390600,
2018-11-12,,390800,
2018-11-13,,391200,
2018-11-14,,391400,
2018-11-15,,391600,
2018-11-16,,392200,
2018-11-17,,392700,
2018-11-18,,393300,
2018-11-19,,393700,
2018-11-20,,394000,
2018-11-21,,394400,
2018-11-22,,394800,
2018-11-23,,395400,
2018-11-24,,396100,
2018-11-25,,396800,
2018-11-26,,397100,
2018-11-27,,397400,
2018-11-28,,398000,
2018-11-29,,398600,
2018-11-30,,399100,
2018-12-01,,399800,
2018-12-02,,400600,
2018-12-03,,401100,
2018-12-04,,401600,
2018-12-05,,402100,
2018-12-06,,402500,
2018-12-07,,403100,
2018-12-08,,403700,
2018-12-09,,404800,
2018-12-10,,405300,
2018-12-11,,406200,
2018-12-12,,407200,
2018-12-13,,408400,
2018-12-14,,409600,
2018-12-15,,412100,
2018-12-16,,414800,
2018-12-17,,416100,
2018-12-18,,417400,
2018-12-19,,418600,
2018-12-20,,419600,
2018-12-21,,421100,
2018-12-22,,423300,
2018-12-23,,425400,
2018-12-24,,427500,
2018-12-25,,433000,
2018-12-26,,438700,
2018-12-27,,443000,
2018-12-28,,447000,
2018-12-29,,451300,
2018-12-30,,454700,
2018-12-31,,457500,
2019-01-01,,460200,
2019-01-02,,462400,
2019-01-03,,463800,
2019-01-04,,465800,
2019-01-05,,468100,
2019-01-06,,469900,
2019-01-07,,471400,
2019-01-08,,472400,
2019-01-09,,473400,
2019-01-10,,474500,
2019-01-11,,476100,
2019-01-12,,478500,
2019-01-13,,480400,
2019-01-14,,481500,
2019-01-15,,482300,
2019-01-16,,483200,
2019-01-17,,484000,
2019-01-18,,484900,
2019-01-19,,486100,
2019-01-20,,487400,
2019-01-21,,488000,
2019-01-22,,488500,
2019-01-23,,489100,
2019-01-24,,489900,
2019-01-25,,490600,
2019-01-26,,491600,
2019-01-27,,492700,
2019-01-28,,493200,
2019-01-29,,494000,
2019-01-30,,494500,
2019-01-31,,495200,
2019-02-01,,496200,
2019-02-02,,497600,
2019-02-03,,499100,
2019-02-04,,499800,
2019-02-05,,500300,
2019-02-06,,501000,
2019-02-07,,501600,
2019-02-08,,501900,
2019-02-09,,502900,
2019-02-10,,504100,
2019-02-11,,505200,
2019-02-12,,505900,
2019-02-13,,506500,
2019-02-14,,506900,
2019-02-15,,507800,
2019-02-16,,508800,
2019-02-17,,509300,
2019-02-18,,509900,
2019-02-19,,510200,
2019-02-20,,510700,
2019-02-21,,511300,
2019-02-22,,512000,
2019-02-23,,512900,
2019-02-24,,513500,
2019-02-25,,513600,
2019-02-26,,513900,
2019-02-27,,514400,
2019-02-28,,514900,
2019-03-01,,515300,
2019-03-02,,516400,
2019-03-03,,517000,
2019-03-04,,517400,
2019-03-05,,517800,
2019-03-06,,518000,
2019-03-07,,518500,
2019-03-08,,518900,
2019-03-09,,519600,
2019-03-10,,520500,
2019-03-11,,521000,
2019-03-12,,521400,
2019-03-13,,521600,
2019-03-14,,521900,
2019-03-15,,522200,
2019-03-16,,522800,
2019-03-17,,523800,
2019-03-18,,524100,
2019-03-19,,524800,
2019-03-20,,525200,
2019-03-21,,525700,
2019-03-22,,526200,
2019-03-23,,527000,
2019-03-24,,528000,
2019-03-25,,528300,
2019-03-26,,528500,
2019-03-27,,529100,
2019-03-28,,529600,
2019-03-29,,530200,
2019-03-30,,531100,
2019-03-31,,531800,
2019-04-01,,532100,
2019-04-02,,532400,
2019-04-03,,533100,
2019-04-04,,533400,
2019-04-05,,533800,
2019-04-06,,534500,
2019-04-07,,535600,
2019-04-08,,536000,
2019-04-09,,536400,
2019-04-10,,536800,
2019-04-11,,537100,
2019-04-12,,537600,
2019-04-13,,538000,
2019-04-14,,538600,
2019-04-15,,539000,
2019-04-16,,539500,
2019-04-17,,539800,
2019-04-18,,540100,
2019-04-19,,540800,
2019-04-20,,541400,
2019-04-21,,542200,
2019-04-22,,542600,
2019-04-23,,542900,
2019-04-24,,543100,
2019-04-25,,543400,
2019-04-26,,543800,
2019-04-27,,544300,
2019-04-28,,544700,
2019-04-29,,545200,
2019-04-30,,545300,
2019-05-01,,546000,
2019-05-02,,546200,
2019-05-03,,546500,
2019-05-04,,547300,
2019-05-05,,547900,
2019-05-06,,548100,
2019-05-07,,548500,
2019-05-08,,548700,
2019-05-09,,549100,
2019-05-10,,549500,
2019-05-11,,549900,
2019-05-12,,550300,
2019-05-13,,550600,
2019-05-14,,550900,
2019-05-15,,551500,
2019-05-16,,552000,
2019-05-17,,552300,
2019-05-18,,553100,
2019-05-19,,553800,
2019-05-20,,554300,
2019-05-21,,554900,
2019-05-22,,555800,
2019-05-23,,556400,
2019-05-24,,556900,
2019-05-25,,557300,
2019-05-26,,558100,
2019-05-27,,558700,
2019-05-28,,559100,
2019-05-29,,560000,
2019-05-30,,560400,
2019-05-31,,560800,
2019-06-01,,561200,
2019-06-02,,561600,
2019-06-03,,562400,
2019-06-04,,562700,
2019-06-05,,562800,
2019-06-06,,563500,
2019-06-07,,564100,
2019-06-08,,564900,
2019-06-09,,566100,
2019-06-10,,566600,
2019-06-11,,567400,
2019-06-12,,568300,
2019-06-13,,569100,
2019-06-14,,569800,
2019-06-15,,571100,
2019-06-16,,572500,
2019-06-17,,573400,
2019-06-18,,574400,
2019-06-19,,574900,
2019-06-20,,575500,
2019-06-21,,576200,
2019-06-22,,577200,
2019-06-23,,578000,
2019-06-24,,578700,
2019-06-25,,579300,
2019-06-26,,579600,
2019-06-27,,579900,
2019-06-28,,580400,
2019-06-29,,581200,
2019-06-30,,581800,
2019-07-01,,582100,
2019-07-02,,582300,
2019-07-03,,582600,
2019-07-04,,583100,
2019-07-05,,583700,
2019-07-06,,584300,
2019-07-07,,585000,
2019-07-08,,585400,
2019-07-09,,586100,
2019-07-10,,586500,
2019-07-11,,586800,
2019-07-12,,587200,
2019-07-13,,587700,
2019-07-14,,588200,
2019-07-15,,588900,
2019-07-16,,589600,
2019-07-17,,590100,
2019-07-18,,590700,
2019-07-19,,591400,
2019-07-20,,592100,
2019-07-21,,593100,
2019-07-22,,593400,
2019-07-23,,594200,
2019-07-24,,594900,
2019-07-25,,595200,
2019-07-26,,595600,
2019-07-27,,596400,
2019-07-28,,596900,
2019-07-29,,597300,
2019-07-30,,598000,
2019-07-31,,598300,
2019-08-01,,598800,
2019-08-02,,599500,
2019-08-03,,599700,
2019-08-04,,600400,
2019-08-05,,601000,
2019-08-06,,623500,
2019-08-07,,693800,
2019-08-08,,764800,
2019-08-09,,835900,
2019-08-10,,910000,
2019-08-11,,979600,
2019-08-12,,1032200,
2019-08-13,,1081200,
2019-08-14,,1126100,
2019-08-15,,1165600,
2019-08-16,,1204300,
2019-08-17,,1251400,
