Date,'',PS4 player count,PS Vita player count
2015-01-06,,0,200
2015-01-07,,200,1900
2015-01-08,,500,4400
2015-01-09,,800,6500
2015-01-10,,1500,8200
2015-01-11,,1800,10100
2015-01-12,,2000,11100
2015-01-13,,2200,12100
2015-01-14,,2500,12800
2015-01-15,,2700,13500
2015-01-16,,3000,14300
2015-01-17,,3400,14600
2015-01-18,,3800,15300
2015-01-19,,3900,15900
2015-01-20,,4000,16600
2015-01-21,,4100,17100
2015-01-22,,4300,17700
2015-01-23,,4400,17900
2015-01-24,,4500,18200
2015-01-25,,4600,18800
2015-01-26,,4600,19300
2015-01-27,,4800,19700
2015-01-28,,4900,20200
2015-01-29,,4900,20600
2015-01-30,,5000,21200
2015-01-31,,5200,21600
2015-02-01,,5300,22400
2015-02-02,,5400,22600
2015-02-03,,5600,22600
2015-02-04,,5600,22900
2015-02-05,,5600,23300
2015-02-06,,5600,23300
2015-02-07,,5600,23500
2015-02-08,,5700,24000
2015-02-09,,5700,24100
2015-02-10,,5800,24600
2015-02-11,,5800,24700
2015-02-12,,5800,24900
2015-02-13,,6000,25400
2015-02-14,,6100,25600
2015-02-15,,6200,25700
2015-02-16,,6300,25700
2015-02-17,,6300,25700
2015-02-18,,6300,25800
2015-02-19,,6300,25800
2015-02-20,,6300,25900
2015-02-21,,6300,26000
2015-02-22,,6300,26200
2015-02-23,,6400,26200
2015-02-24,,6500,26300
2015-02-25,,6500,26400
2015-02-26,,6500,26400
2015-02-27,,6600,26400
2015-02-28,,6600,26600
2015-03-01,,6700,26700
2015-03-02,,6700,26700
2015-03-03,,6700,26800
2015-03-04,,6700,26900
2015-03-05,,6700,27000
2015-03-06,,6700,27500
2015-03-07,,6800,27800
2015-03-08,,6800,28300
2015-03-09,,6800,28600
2015-03-10,,6800,28900
2015-03-11,,6800,29000
2015-03-12,,6800,29600
2015-03-13,,6800,29600
2015-03-14,,6800,29600
2015-03-15,,6900,29700
2015-03-16,,7000,30000
2015-03-17,,7000,30100
2015-03-18,,7100,30100
2015-03-19,,7100,30100
2015-03-20,,7100,30300
2015-03-21,,7100,30600
2015-03-22,,7100,30800
2015-03-23,,7100,30900
2015-03-24,,7300,31000
2015-03-25,,7400,31100
2015-03-26,,7400,31100
2015-03-27,,7400,31300
2015-03-28,,7400,31300
