Date,'',PS4 player count,
2014-05-30,,100,
2014-05-31,,400,
2014-06-01,,500,
2014-06-02,,700,
2014-06-03,,900,
2014-06-04,,1400,
2014-06-05,,1700,
2014-06-06,,2000,
2014-06-07,,2300,
2014-06-08,,2900,
2014-06-09,,3200,
2014-06-10,,3700,
2014-06-11,,3800,
2014-06-12,,4400,
2014-06-13,,4800,
2014-06-14,,5200,
2014-06-15,,5800,
2014-06-16,,6100,
2014-06-17,,6300,
2014-06-18,,6700,
2014-06-19,,7000,
2014-06-20,,7400,
2014-06-21,,7800,
2014-06-22,,8300,
2014-06-23,,8700,
2014-06-24,,9200,
2014-06-25,,9500,
2014-06-26,,9700,
2014-06-27,,10000,
2014-06-28,,10600,
2014-06-29,,10900,
2014-06-30,,11400,
2014-07-01,,11800,
2014-07-02,,12300,
2014-07-03,,12600,
2014-07-04,,12900,
2014-07-05,,13300,
2014-07-06,,13900,
2014-07-07,,14300,
2014-07-08,,14600,
2014-07-09,,14900,
2014-07-10,,15100,
2014-07-11,,15400,
2014-07-12,,16200,
2014-07-13,,16500,
2014-07-14,,16800,
2014-07-15,,17300,
2014-07-16,,17700,
2014-07-17,,18000,
2014-07-18,,18300,
2014-07-19,,18900,
2014-07-20,,19500,
2014-07-21,,19800,
2014-07-22,,20300,
2014-07-23,,20600,
2014-07-24,,21200,
2014-07-25,,21400,
2014-07-26,,21800,
2014-07-27,,22200,
2014-07-28,,22500,
2014-07-29,,22600,
2014-07-30,,23000,
2014-07-31,,23200,
2014-08-01,,23200,
2014-08-02,,23600,
2014-08-03,,24000,
2014-08-04,,24500,
2014-08-05,,24800,
2014-08-06,,25200,
2014-08-07,,25900,
2014-08-08,,26200,
2014-08-09,,26700,
2014-08-10,,27200,
2014-08-11,,27300,
2014-08-12,,27700,
2014-08-13,,28100,
2014-08-14,,28700,
2014-08-15,,29200,
2014-08-16,,29700,
2014-08-17,,30500,
2014-08-18,,30900,
2014-08-19,,31400,
2014-08-20,,31700,
2014-08-21,,32300,
2014-08-22,,32800,
2014-08-23,,33300,
2014-08-24,,33300,
2014-08-25,,33600,
2014-08-26,,33900,
2014-08-27,,34200,
2014-08-28,,34600,
2014-08-29,,34900,
2014-08-30,,35300,
2014-08-31,,35800,
2014-09-01,,36000,
2014-09-02,,36100,
2014-09-03,,36500,
2014-09-04,,36800,
2014-09-05,,37000,
2014-09-06,,37200,
2014-09-07,,37800,
2014-09-08,,38100,
2014-09-09,,38300,
2014-09-10,,38800,
2014-09-11,,39300,
2014-09-12,,39500,
2014-09-13,,39900,
2014-09-14,,40300,
2014-09-15,,40500,
2014-09-16,,40700,
2014-09-17,,40700,
2014-09-18,,40800,
2014-09-19,,41200,
2014-09-20,,41500,
2014-09-21,,41900,
2014-09-22,,42100,
2014-09-23,,42300,
2014-09-24,,42500,
2014-09-25,,42600,
2014-09-26,,42900,
2014-09-27,,43100,
2014-09-28,,43400,
2014-09-29,,43600,
2014-09-30,,43800,
2014-10-01,,44100,
2014-10-02,,44300,
2014-10-03,,44500,
2014-10-04,,44900,
2014-10-05,,45200,
2014-10-06,,45300,
2014-10-07,,45500,
2014-10-08,,45600,
2014-10-09,,45700,
2014-10-10,,46000,
2014-10-11,,46700,
2014-10-12,,46900,
2014-10-13,,47000,
2014-10-14,,47200,
2014-10-15,,47500,
2014-10-16,,47700,
2014-10-17,,48100,
2014-10-18,,48700,
2014-10-19,,48800,
2014-10-20,,49200,
2014-10-21,,49500,
2014-10-22,,49600,
2014-10-23,,49800,
2014-10-24,,50200,
2014-10-25,,50800,
2014-10-26,,51200,
2014-10-27,,51500,
2014-10-28,,51700,
2014-10-29,,52100,
2014-10-30,,52300,
2014-10-31,,52500,
2014-11-01,,52700,
2014-11-02,,53000,
2014-11-03,,53500,
2014-11-04,,53600,
2014-11-05,,53700,
2014-11-06,,54100,
2014-11-07,,54400,
2014-11-08,,54900,
2014-11-09,,55200,
2014-11-10,,55600,
2014-11-11,,55800,
2014-11-12,,56100,
2014-11-13,,56300,
2014-11-14,,56900,
2014-11-15,,57600,
2014-11-16,,58100,
2014-11-17,,59000,
2014-11-18,,59500,
2014-11-19,,59800,
2014-11-20,,60300,
2014-11-21,,60800,
2014-11-22,,61100,
2014-11-23,,61900,
2014-11-24,,62300,
2014-11-25,,62500,
2014-11-26,,62900,
2014-11-27,,63100,
2014-11-28,,63300,
2014-11-29,,64000,
2014-11-30,,64300,
2014-12-01,,64500,
2014-12-02,,64700,
2014-12-03,,65000,
2014-12-04,,65500,
2014-12-05,,65700,
2014-12-06,,66200,
2014-12-07,,66700,
2014-12-08,,67200,
2014-12-09,,67500,
2014-12-10,,67800,
2014-12-11,,68000,
2014-12-12,,68300,
2014-12-13,,68700,
2014-12-14,,69200,
2014-12-15,,69500,
2014-12-16,,70000,
2014-12-17,,70500,
2014-12-18,,70900,
2014-12-19,,71600,
2014-12-20,,72200,
2014-12-21,,73200,
2014-12-22,,73700,
2014-12-23,,74300,
2014-12-24,,74900,
2014-12-25,,75400,
2014-12-26,,75500,
2014-12-27,,76000,
2014-12-28,,76700,
2014-12-29,,78000,
2014-12-30,,79000,
2014-12-31,,79600,
2015-01-01,,80500,
2015-01-02,,82000,
2015-01-03,,83100,
2015-01-04,,84600,
2015-01-05,,85100,
2015-01-06,,86100,
2015-01-07,,86600,
2015-01-08,,87400,
2015-01-09,,87800,
2015-01-10,,88900,
2015-01-11,,89800,
2015-01-12,,90700,
2015-01-13,,91000,
2015-01-14,,91700,
2015-01-15,,91800,
2015-01-16,,92800,
2015-01-17,,93700,
