Date,'',PS4 player count,
2016-09-24,,0,
2016-09-25,,0,
2016-09-26,,100,
2016-09-27,,3200,
2016-09-28,,4700,
2016-09-29,,6100,
2016-09-30,,10000,
2016-10-01,,13900,
2016-10-02,,16400,
2016-10-03,,18200,
2016-10-04,,19900,
2016-10-05,,21200,
2016-10-06,,22400,
2016-10-07,,24000,
2016-10-08,,26000,
2016-10-09,,28400,
2016-10-10,,29500,
2016-10-11,,30600,
2016-10-12,,32000,
2016-10-13,,33500,
2016-10-14,,34700,
2016-10-15,,36000,
2016-10-16,,37300,
2016-10-17,,38400,
2016-10-18,,39400,
2016-10-19,,40200,
2016-10-20,,41300,
2016-10-21,,42100,
2016-10-22,,43400,
2016-10-23,,44700,
2016-10-24,,45200,
2016-10-25,,45700,
2016-10-26,,46500,
2016-10-27,,47200,
2016-10-28,,47900,
2016-10-29,,48900,
2016-10-30,,49800,
2016-10-31,,50500,
2016-11-01,,50900,
2016-11-02,,51500,
2016-11-03,,51900,
2016-11-04,,52100,
2016-11-05,,52700,
2016-11-06,,53300,
2016-11-07,,53700,
2016-11-08,,54400,
2016-11-09,,55000,
2016-11-10,,55600,
2016-11-11,,56200,
2016-11-12,,57000,
2016-11-13,,57600,
2016-11-14,,58200,
2016-11-15,,58700,
2016-11-16,,59200,
2016-11-17,,59400,
2016-11-18,,59700,
2016-11-19,,60000,
2016-11-20,,60600,
2016-11-21,,61100,
2016-11-22,,61200,
2016-11-23,,61600,
2016-11-24,,62300,
2016-11-25,,63200,
2016-11-26,,64400,
2016-11-27,,65800,
2016-11-28,,67000,
2016-11-29,,68100,
2016-11-30,,69100,
2016-12-01,,69900,
2016-12-02,,70900,
2016-12-03,,71800,
2016-12-04,,72400,
2016-12-05,,73100,
2016-12-06,,73500,
2016-12-07,,73800,
2016-12-08,,74400,
2016-12-09,,74800,
2016-12-10,,75200,
2016-12-11,,75600,
2016-12-12,,76500,
2016-12-13,,77000,
2016-12-14,,77400,
2016-12-15,,77600,
2016-12-16,,78100,
2016-12-17,,78800,
2016-12-18,,79300,
2016-12-19,,80100,
2016-12-20,,80700,
2016-12-21,,81300,
2016-12-22,,81800,
2016-12-23,,82500,
2016-12-24,,83600,
2016-12-25,,85500,
2016-12-26,,87400,
2016-12-27,,88800,
2016-12-28,,90000,
2016-12-29,,91700,
2016-12-30,,92700,
2016-12-31,,93500,
2017-01-01,,94700,
2017-01-02,,95600,
2017-01-03,,96500,
2017-01-04,,97300,
2017-01-05,,97700,
2017-01-06,,98200,
2017-01-07,,98900,
2017-01-08,,99800,
2017-01-09,,100400,
2017-01-10,,101200,
2017-01-11,,101700,
2017-01-12,,102600,
2017-01-13,,103500,
2017-01-14,,104500,
2017-01-15,,105400,
2017-01-16,,106000,
2017-01-17,,106400,
2017-01-18,,107100,
2017-01-19,,107600,
2017-01-20,,108300,
2017-01-21,,109000,
2017-01-22,,109500,
2017-01-23,,110100,
2017-01-24,,110700,
2017-01-25,,111500,
2017-01-26,,112100,
2017-01-27,,112500,
2017-01-28,,113500,
2017-01-29,,114300,
2017-01-30,,114700,
2017-01-31,,115000,
2017-02-01,,115300,
2017-02-02,,115700,
2017-02-03,,116400,
2017-02-04,,116900,
2017-02-05,,117300,
2017-02-06,,118100,
2017-02-07,,118700,
2017-02-08,,119200,
2017-02-09,,119700,
2017-02-10,,120400,
2017-02-11,,120900,
2017-02-12,,121500,
2017-02-13,,122200,
2017-02-14,,122600,
2017-02-15,,123200,
2017-02-16,,124000,
2017-02-17,,124300,
2017-02-18,,125200,
2017-02-19,,126200,
2017-02-20,,126900,
2017-02-21,,127700,
2017-02-22,,128300,
2017-02-23,,128900,
2017-02-24,,129500,
2017-02-25,,130200,
2017-02-26,,130900,
2017-02-27,,131500,
2017-02-28,,131900,
2017-03-01,,132500,
2017-03-02,,132900,
2017-03-03,,133400,
2017-03-04,,133800,
2017-03-05,,134800,
2017-03-06,,135300,
2017-03-07,,135900,
2017-03-08,,136400,
2017-03-09,,136800,
2017-03-10,,137200,
2017-03-11,,138000,
2017-03-12,,138800,
2017-03-13,,139400,
2017-03-14,,139900,
2017-03-15,,140200,
2017-03-16,,140300,
2017-03-17,,141100,
2017-03-18,,141900,
2017-03-19,,142500,
2017-03-20,,143000,
2017-03-21,,143400,
2017-03-22,,143800,
2017-03-23,,144300,
2017-03-24,,144700,
2017-03-25,,145200,
2017-03-26,,145500,
2017-03-27,,145800,
2017-03-28,,146000,
2017-03-29,,146500,
2017-03-30,,146800,
2017-03-31,,147100,
2017-04-01,,147500,
2017-04-02,,148000,
2017-04-03,,148400,
2017-04-04,,148500,
2017-04-05,,148800,
2017-04-06,,149300,
2017-04-07,,149800,
2017-04-08,,150400,
2017-04-09,,150800,
2017-04-10,,151200,
2017-04-11,,151500,
2017-04-12,,151700,
2017-04-13,,152300,
2017-04-14,,152600,
2017-04-15,,152900,
2017-04-16,,153300,
2017-04-17,,153800,
2017-04-18,,154300,
2017-04-19,,154700,
2017-04-20,,154800,
2017-04-21,,155100,
2017-04-22,,155500,
2017-04-23,,156200,
2017-04-24,,156500,
2017-04-25,,156800,
2017-04-26,,157300,
2017-04-27,,157700,
2017-04-28,,158100,
2017-04-29,,158400,
2017-04-30,,158900,
2017-05-01,,159200,
2017-05-02,,159500,
2017-05-03,,159800,
2017-05-04,,160200,
2017-05-05,,160500,
2017-05-06,,161200,
2017-05-07,,161600,
2017-05-08,,161800,
2017-05-09,,162000,
2017-05-10,,162400,
2017-05-11,,162700,
2017-05-12,,163400,
2017-05-13,,165100,
2017-05-14,,166300,
2017-05-15,,167200,
2017-05-16,,168000,
2017-05-17,,168700,
2017-05-18,,169400,
2017-05-19,,169800,
2017-05-20,,171000,
2017-05-21,,171600,
2017-05-22,,171900,
2017-05-23,,172100,
2017-05-24,,172800,
2017-05-25,,173500,
2017-05-26,,174000,
2017-05-27,,174700,
2017-05-28,,175400,
2017-05-29,,176000,
2017-05-30,,176600,
2017-05-31,,177000,
2017-06-01,,177900,
2017-06-02,,178400,
2017-06-03,,179100,
2017-06-04,,179800,
2017-06-05,,179900,
2017-06-06,,180300,
2017-06-07,,181000,
2017-06-08,,181300,
2017-06-09,,181600,
2017-06-10,,182000,
2017-06-11,,182600,
2017-06-12,,183100,
2017-06-13,,183500,
2017-06-14,,183800,
2017-06-15,,184400,
2017-06-16,,185000,
2017-06-17,,185800,
2017-06-18,,186500,
2017-06-19,,187000,
2017-06-20,,187500,
2017-06-21,,188200,
2017-06-22,,188700,
2017-06-23,,189200,
2017-06-24,,189800,
2017-06-25,,190900,
2017-06-26,,191400,
2017-06-27,,191900,
2017-06-28,,192600,
2017-06-29,,193000,
2017-06-30,,193500,
2017-07-01,,194100,
2017-07-02,,194800,
2017-07-03,,195100,
2017-07-04,,195800,
2017-07-05,,196600,
2017-07-06,,196800,
2017-07-07,,197300,
2017-07-08,,198000,
2017-07-09,,198700,
2017-07-10,,199100,
2017-07-11,,199400,
2017-07-12,,199800,
2017-07-13,,200300,
2017-07-14,,201100,
2017-07-15,,201600,
2017-07-16,,202600,
2017-07-17,,203300,
2017-07-18,,203800,
2017-07-19,,204300,
2017-07-20,,204900,
2017-07-21,,205300,
2017-07-22,,205700,
2017-07-23,,206700,
2017-07-24,,207300,
2017-07-25,,207800,
2017-07-26,,208300,
2017-07-27,,208700,
2017-07-28,,209000,
2017-07-29,,209300,
2017-07-30,,209700,
2017-07-31,,210500,
2017-08-01,,211000,
2017-08-02,,211500,
2017-08-03,,212000,
2017-08-04,,212200,
2017-08-05,,212900,
2017-08-06,,213600,
2017-08-07,,214300,
2017-08-08,,214900,
2017-08-09,,215400,
2017-08-10,,215900,
2017-08-11,,216500,
2017-08-12,,216900,
2017-08-13,,217400,
2017-08-14,,218100,
2017-08-15,,218600,
2017-08-16,,219200,
2017-08-17,,220000,
2017-08-18,,221500,
2017-08-19,,223100,
2017-08-20,,224300,
2017-08-21,,225600,
2017-08-22,,226600,
2017-08-23,,227600,
2017-08-24,,228900,
2017-08-25,,229700,
2017-08-26,,230700,
2017-08-27,,231700,
2017-08-28,,232600,
2017-08-29,,233700,
2017-08-30,,234600,
2017-08-31,,235600,
2017-09-01,,236700,
2017-09-02,,238400,
2017-09-03,,240600,
2017-09-04,,242400,
2017-09-05,,243500,
2017-09-06,,244600,
2017-09-07,,245500,
2017-09-08,,246200,
2017-09-09,,247300,
2017-09-10,,248100,
2017-09-11,,249100,
2017-09-12,,249700,
2017-09-13,,250700,
2017-09-14,,251700,
2017-09-15,,252300,
2017-09-16,,253500,
2017-09-17,,254800,
2017-09-18,,255600,
2017-09-19,,256100,
2017-09-20,,256900,
2017-09-21,,258000,
2017-09-22,,258600,
2017-09-23,,259700,
2017-09-24,,260800,
2017-09-25,,262200,
2017-09-26,,262700,
2017-09-27,,263300,
2017-09-28,,264100,
2017-09-29,,265000,
2017-09-30,,266200,
2017-10-01,,267100,
2017-10-02,,267800,
2017-10-03,,268800,
2017-10-04,,269200,
2017-10-05,,269900,
2017-10-06,,270700,
2017-10-07,,271800,
2017-10-08,,272400,
2017-10-09,,273000,
2017-10-10,,273700,
2017-10-11,,274100,
2017-10-12,,274500,
2017-10-13,,275000,
2017-10-14,,275600,
2017-10-15,,276700,
2017-10-16,,277300,
2017-10-17,,277800,
2017-10-18,,278000,
2017-10-19,,278500,
2017-10-20,,278800,
2017-10-21,,279400,
2017-10-22,,280000,
2017-10-23,,280400,
2017-10-24,,280800,
2017-10-25,,281100,
2017-10-26,,281500,
2017-10-27,,281900,
2017-10-28,,282500,
2017-10-29,,283100,
2017-10-30,,283400,
2017-10-31,,283900,
2017-11-01,,284700,
2017-11-02,,285400,
2017-11-03,,285700,
2017-11-04,,286600,
2017-11-05,,287600,
2017-11-06,,288100,
2017-11-07,,288400,
2017-11-08,,288900,
2017-11-09,,289300,
2017-11-10,,290000,
2017-11-11,,290600,
2017-11-12,,291300,
2017-11-13,,291700,
2017-11-14,,291900,
2017-11-15,,292200,
2017-11-16,,292600,
2017-11-17,,292800,
2017-11-18,,293400,
2017-11-19,,293600,
2017-11-20,,294100,
2017-11-21,,294800,
2017-11-22,,295700,
2017-11-23,,296400,
2017-11-24,,297400,
2017-11-25,,298500,
2017-11-26,,299100,
2017-11-27,,299500,
2017-11-28,,300500,
2017-11-29,,300800,
2017-11-30,,301500,
2017-12-01,,302000,
2017-12-02,,302800,
2017-12-03,,303400,
2017-12-04,,303900,
2017-12-05,,304600,
2017-12-06,,304800,
2017-12-07,,305300,
2017-12-08,,305800,
2017-12-09,,306300,
2017-12-10,,307000,
2017-12-11,,307400,
2017-12-12,,307800,
2017-12-13,,308200,
2017-12-14,,308500,
2017-12-15,,308700,
2017-12-16,,309400,
2017-12-17,,310100,
2017-12-18,,310200,
2017-12-19,,310700,
2017-12-20,,311300,
2017-12-21,,311500,
2017-12-22,,312000,
2017-12-23,,312600,
2017-12-24,,313200,
2017-12-25,,314000,
2017-12-26,,314600,
2017-12-27,,315500,
2017-12-28,,316200,
2017-12-29,,316600,
2017-12-30,,317300,
2017-12-31,,318300,
2018-01-01,,319200,
2018-01-02,,319800,
2018-01-03,,320100,
2018-01-04,,320600,
2018-01-05,,321100,
2018-01-06,,321800,
2018-01-07,,322100,
2018-01-08,,322600,
2018-01-09,,323100,
2018-01-10,,323600,
2018-01-11,,323900,
2018-01-12,,324200,
2018-01-13,,324900,
2018-01-14,,325500,
2018-01-15,,326000,
2018-01-16,,326400,
2018-01-17,,326800,
2018-01-18,,327400,
2018-01-19,,327900,
2018-01-20,,328500,
2018-01-21,,329600,
2018-01-22,,330300,
2018-01-23,,331000,
2018-01-24,,331600,
2018-01-25,,332200,
2018-01-26,,332900,
2018-01-27,,334000,
2018-01-28,,335100,
2018-01-29,,335600,
2018-01-30,,336100,
2018-01-31,,336600,
2018-02-01,,337300,
2018-02-02,,337900,
2018-02-03,,338600,
2018-02-04,,339600,
2018-02-05,,340000,
2018-02-06,,340500,
2018-02-07,,340700,
2018-02-08,,341100,
2018-02-09,,341500,
2018-02-10,,342200,
2018-02-11,,342800,
2018-02-12,,343300,
2018-02-13,,343600,
2018-02-14,,344500,
2018-02-15,,345200,
2018-02-16,,345600,
2018-02-17,,346700,
2018-02-18,,347700,
2018-02-19,,348500,
2018-02-20,,349200,
2018-02-21,,349500,
2018-02-22,,349900,
2018-02-23,,350900,
2018-02-24,,351600,
2018-02-25,,352200,
2018-02-26,,352800,
2018-02-27,,353300,
2018-02-28,,353800,
2018-03-01,,354400,
2018-03-02,,354900,
2018-03-03,,355700,
2018-03-04,,356800,
2018-03-05,,357500,
2018-03-06,,358000,
2018-03-07,,358500,
2018-03-08,,358700,
2018-03-09,,359100,
2018-03-10,,359500,
2018-03-11,,360000,
2018-03-12,,360500,
2018-03-13,,361200,
2018-03-14,,361900,
2018-03-15,,362700,
2018-03-16,,363200,
2018-03-17,,364300,
2018-03-18,,365000,
2018-03-19,,365800,
2018-03-20,,366100,
2018-03-21,,366700,
2018-03-22,,367600,
2018-03-23,,368500,
2018-03-24,,369600,
2018-03-25,,371000,
2018-03-26,,371800,
2018-03-27,,372800,
2018-03-28,,373300,
2018-03-29,,373900,
2018-03-30,,375000,
2018-03-31,,375900,
2018-04-01,,376700,
2018-04-02,,377300,
2018-04-03,,377900,
2018-04-04,,378500,
2018-04-05,,379100,
2018-04-06,,379700,
2018-04-07,,380800,
2018-04-08,,381800,
2018-04-09,,382400,
2018-04-10,,382800,
2018-04-11,,383400,
2018-04-12,,383700,
2018-04-13,,384000,
2018-04-14,,385100,
2018-04-15,,385500,
2018-04-16,,386000,
2018-04-17,,386300,
2018-04-18,,386800,
2018-04-19,,386900,
2018-04-20,,387400,
2018-04-21,,387800,
2018-04-22,,388400,
2018-04-23,,388800,
2018-04-24,,389200,
2018-04-25,,389500,
2018-04-26,,390000,
2018-04-27,,390500,
2018-04-28,,391300,
2018-04-29,,391700,
2018-04-30,,392100,
2018-05-01,,392400,
2018-05-02,,392600,
2018-05-03,,392700,
2018-05-04,,393000,
2018-05-05,,393400,
2018-05-06,,393800,
2018-05-07,,394000,
2018-05-08,,394200,
2018-05-09,,394200,
2018-05-10,,394600,
2018-05-11,,395400,
2018-05-12,,395900,
2018-05-13,,396600,
2018-05-14,,397100,
2018-05-15,,397400,
2018-05-16,,397600,
2018-05-17,,397800,
2018-05-18,,397900,
2018-05-19,,398200,
2018-05-20,,398600,
2018-05-21,,398900,
2018-05-22,,399000,
2018-05-23,,399100,
2018-05-24,,399500,
2018-05-25,,400000,
2018-05-26,,400300,
2018-05-27,,400900,
2018-05-28,,401000,
2018-05-29,,401600,
2018-05-30,,401900,
2018-05-31,,402100,
2018-06-01,,402400,
2018-06-02,,402900,
2018-06-03,,403200,
2018-06-04,,403200,
2018-06-05,,470900,
2018-06-06,,602000,
2018-06-07,,716900,
2018-06-08,,816100,
2018-06-09,,922900,
2018-06-10,,1017700,
2018-06-11,,1083400,
2018-06-12,,1136000,
2018-06-13,,1182500,
2018-06-14,,1224500,
2018-06-15,,1262700,
2018-06-16,,1309300,
2018-06-17,,1355500,
2018-06-18,,1388100,
2018-06-19,,1420000,
2018-06-20,,1451100,
2018-06-21,,1477400,
2018-06-22,,1503700,
2018-06-23,,1537200,
2018-06-24,,1570200,
2018-06-25,,1596500,
2018-06-26,,1619900,
2018-06-27,,1643400,
2018-06-28,,1665800,
2018-06-29,,1689000,
2018-06-30,,1714900,
2018-07-01,,1741200,
2018-07-02,,1763600,
2018-07-03,,1783500,
2018-07-04,,1800900,
2018-07-05,,1816400,
2018-07-06,,1828500,
2018-07-07,,1841700,
