Date,PS3 player count,PS4 player count,PS Vita player count
2015-08-28,0,100,0
2015-08-29,0,100,0
2015-08-30,0,100,0
2015-08-31,0,100,0
2015-09-01,0,6300,1900
2015-09-02,0,20000,7900
2015-09-03,0,30200,13700
2015-09-04,0,41200,19000
2015-09-05,0,55000,23800
2015-09-06,0,66600,29600
2015-09-07,0,77000,33900
2015-09-08,0,84700,37600
2015-09-09,0,90600,40800
2015-09-10,0,98600,44700
2015-09-11,0,108000,48100
2015-09-12,0,118200,51900
2015-09-13,0,128400,56500
2015-09-14,0,135900,60700
2015-09-15,100,142600,63000
2015-09-16,100,149300,66300
2015-09-17,100,155000,68700
2015-09-18,100,160900,70500
2015-09-19,100,169000,73600
2015-09-20,100,177600,76300
2015-09-21,100,181700,78300
2015-09-22,100,187300,79500
2015-09-23,100,192200,80900
2015-09-24,100,196700,82700
2015-09-25,100,202500,83900
2015-09-26,100,209000,85900
2015-09-27,100,216700,87400
2015-09-28,100,221600,89100
2015-09-29,100,225800,91500
2015-09-30,100,231000,92900
2015-10-01,100,235900,94400
2015-10-02,100,241900,95900
2015-10-03,100,249300,98000
2015-10-04,100,255900,100900
2015-10-05,100,260200,103500
2015-10-06,200,266400,104800
2015-10-07,200,270900,106800
2015-10-08,200,274100,107700
2015-10-09,200,276800,108500
2015-10-10,200,281600,109200
2015-10-11,200,284600,110500
2015-10-12,300,287600,111200
2015-10-13,300,290200,111700
2015-10-14,300,292700,111900
2015-10-15,300,295000,112200
2015-10-16,300,296900,112700
2015-10-17,300,298800,113000
2015-10-18,300,301200,113300
2015-10-19,300,302600,114000
2015-10-20,300,304400,114500
2015-10-21,300,306100,114900
2015-10-22,300,308400,115300
2015-10-23,300,309300,115700
2015-10-24,300,311300,116200
2015-10-25,300,312800,116500
2015-10-26,300,314500,116900
2015-10-27,300,315500,117800
2015-10-28,300,316200,118100
2015-10-29,300,317300,118300
2015-10-30,300,318400,119000
2015-10-31,300,320400,119500
2015-11-01,300,322600,120200
2015-11-02,300,323400,120300
2015-11-03,300,324900,120400
2015-11-04,300,326000,120500
2015-11-05,300,327800,120800
2015-11-06,300,329300,121100
2015-11-07,300,331400,121600
2015-11-08,300,333800,122000
2015-11-09,300,335000,122300
2015-11-10,300,336300,122700
2015-11-11,300,337100,122900
2015-11-12,300,338100,123200
2015-11-13,300,339800,123500
2015-11-14,300,341100,123700
2015-11-15,300,342200,123900
2015-11-16,300,343400,124200
2015-11-17,300,344300,124700
2015-11-18,300,345400,124800
2015-11-19,300,347400,125000
2015-11-20,300,348700,125200
2015-11-21,300,349700,125400
2015-11-22,300,351400,125800
2015-11-23,300,352200,125900
2015-11-24,300,353200,126000
2015-11-25,300,353900,126200
2015-11-26,300,355300,126300
2015-11-27,300,356400,126300
2015-11-28,300,357600,126400
2015-11-29,300,358200,126600
2015-11-30,300,359000,126700
2015-12-01,300,359700,127100
2015-12-02,300,360900,127300
2015-12-03,300,362000,127700
2015-12-04,300,362800,128100
2015-12-05,300,363800,128200
2015-12-06,300,364700,128600
2015-12-07,300,365400,128700
2015-12-08,300,365600,128700
2015-12-09,300,366100,128700
2015-12-10,300,367000,128700
2015-12-11,300,367800,128800
2015-12-12,300,368900,128800
2015-12-13,300,369500,129200
2015-12-14,300,370000,129300
2015-12-15,300,370400,129300
2015-12-16,300,371600,129800
2015-12-17,300,371900,130500
2015-12-18,300,372200,130900
2015-12-19,300,372800,131000
2015-12-20,300,373500,131500
2015-12-21,300,374400,131600
2015-12-22,300,375300,131900
2015-12-23,300,375900,132200
2015-12-24,300,376600,132400
2015-12-25,300,377800,132400
2015-12-26,300,378500,132700
2015-12-27,300,379600,133000
2015-12-28,300,380100,133300
2015-12-29,300,380500,133500
2015-12-30,300,381100,134000
2015-12-31,300,381800,134000
2016-01-01,300,382800,134400
2016-01-02,300,384300,134500
2016-01-03,300,384600,134700
2016-01-04,300,385400,134800
2016-01-05,300,386700,135100
2016-01-06,300,388500,135800
2016-01-07,300,389000,137200
2016-01-08,300,390300,137600
2016-01-09,300,391500,137900
2016-01-10,300,393300,138900
2016-01-11,300,394700,139600
2016-01-12,300,395800,140000
2016-01-13,300,396400,140300
2016-01-14,300,397200,140600
2016-01-15,300,398200,140700
2016-01-16,300,399400,140800
2016-01-17,400,401200,141400
2016-01-18,400,402000,141600
2016-01-19,400,402400,141800
2016-01-20,400,402700,142000
2016-01-21,400,403300,142200
2016-01-22,400,404200,142400
2016-01-23,400,405200,142500
2016-01-24,400,406000,142800
2016-01-25,400,406400,143000
2016-01-26,400,407600,143500
2016-01-27,400,407900,143800
2016-01-28,400,408500,143800
2016-01-29,400,409700,144200
2016-01-30,400,410900,144400
2016-01-31,400,411600,144900
2016-02-01,400,412100,144900
2016-02-02,400,412700,145300
2016-02-03,400,413300,145400
2016-02-04,400,413900,145600
2016-02-05,400,414300,145700
2016-02-06,400,415400,145800
2016-02-07,400,416400,146200
2016-02-08,400,416900,146500
2016-02-09,400,417700,146500
2016-02-10,400,418200,146900
2016-02-11,400,418400,147100
2016-02-12,400,419400,147300
2016-02-13,400,419800,147600
2016-02-14,400,420900,147700
2016-02-15,400,421700,147800
2016-02-16,400,422200,147900
2016-02-17,400,422600,148300
2016-02-18,400,423000,148600
2016-02-19,400,423600,148800
2016-02-20,400,423800,149100
2016-02-21,400,424300,149500
2016-02-22,400,425100,149600
2016-02-23,400,426000,149700
2016-02-24,400,426100,149800
2016-02-25,400,426400,149800
2016-02-26,400,426800,149900
2016-02-27,400,427800,150100
2016-02-28,400,428100,150200
2016-02-29,400,429100,150400
2016-03-01,400,429400,150500
2016-03-02,400,429800,150900
2016-03-03,400,429900,151100
2016-03-04,400,430000,151400
2016-03-05,400,430300,151500
2016-03-06,400,430600,151600
2016-03-07,400,431000,151600
2016-03-08,400,431400,151700
2016-03-09,400,431900,151700
2016-03-10,400,432500,151900
2016-03-11,400,433000,152000
2016-03-12,500,433800,152200
2016-03-13,500,434800,152300
2016-03-14,500,434900,152400
2016-03-15,500,435100,152500
2016-03-16,500,435600,152500
2016-03-17,500,436200,152500
2016-03-18,500,437100,152600
2016-03-19,500,437400,152900
2016-03-20,500,438400,153200
2016-03-21,500,438500,153300
2016-03-22,500,439000,153400
2016-03-23,500,439500,153600
2016-03-24,500,439800,153600
2016-03-25,500,439900,153800
2016-03-26,500,440200,153900
2016-03-27,500,440500,154000
2016-03-28,500,440900,154300
2016-03-29,500,441300,154300
2016-03-30,500,441700,154300
2016-03-31,500,442000,154300
2016-04-01,500,442200,154500
2016-04-02,500,442400,154700
2016-04-03,500,443000,154800
2016-04-04,500,443700,155000
2016-04-05,500,443700,155200
2016-04-06,500,444500,155200
2016-04-07,500,444800,155200
2016-04-08,500,445400,155400
2016-04-09,500,445900,155700
2016-04-10,500,446900,155700
2016-04-11,500,447200,155800
2016-04-12,500,447300,156000
2016-04-13,500,447800,156000
2016-04-14,500,448400,156100
2016-04-15,500,448600,156100
2016-04-16,500,449000,156200
2016-04-17,500,449400,156300
2016-04-18,500,449900,156400
2016-04-19,500,449900,156400
2016-04-20,500,450000,156500
2016-04-21,500,450000,156500
2016-04-22,500,450100,156700
2016-04-23,500,450800,156700
2016-04-24,500,451400,157100
2016-04-25,500,451800,157200
2016-04-26,500,452100,157200
2016-04-27,500,452800,157600
2016-04-28,500,452800,157800
2016-04-29,500,452900,157800
2016-04-30,500,453100,157800
2016-05-01,500,453700,157800
2016-05-02,500,454000,158100
2016-05-03,500,454300,158100
2016-05-04,500,454300,158200
2016-05-05,500,454400,158500
2016-05-06,500,455000,158500
2016-05-07,500,455400,158600
2016-05-08,500,455600,159100
2016-05-09,500,455900,159200
2016-05-10,500,455900,159300
2016-05-11,500,455900,159300
2016-05-12,500,455900,159300
2016-05-13,500,456300,159300
2016-05-14,500,456800,159400
2016-05-15,500,457500,159700
2016-05-16,500,457800,159900
2016-05-17,500,457800,160000
2016-05-18,500,457900,160000
2016-05-19,500,457900,160000
2016-05-20,500,458500,160000
2016-05-21,500,458600,160100
2016-05-22,500,459200,160100
2016-05-23,500,459300,160300
2016-05-24,500,459600,160400
2016-05-25,500,459900,160400
2016-05-26,500,459900,160400
2016-05-27,500,460300,160500
2016-05-28,500,460500,160600
2016-05-29,500,460600,160600
2016-05-30,500,460800,160800
2016-05-31,500,461100,160800
2016-06-01,500,461300,160800
2016-06-02,500,461800,160900
2016-06-03,500,462500,161100
2016-06-04,500,462900,161100
2016-06-05,500,463000,161100
2016-06-06,500,463400,161200
2016-06-07,500,463500,161200
2016-06-08,500,463600,161200
2016-06-09,500,463600,161200
2016-06-10,500,463900,161300
2016-06-11,500,464300,161300
2016-06-12,500,464800,161300
2016-06-13,500,464900,161300
