Date,PS3 player count,PS4 player count,
2016-01-20,100,200,
2016-01-21,1000,13900,
2016-01-22,1500,20300,
2016-01-23,2200,26700,
2016-01-24,2200,30200,
2016-01-25,2500,32900,
2016-01-26,2800,34900,
2016-01-27,3100,37500,
2016-01-28,3600,40100,
2016-01-29,3900,42500,
2016-01-30,4300,46600,
2016-01-31,4700,49100,
2016-02-01,4900,52000,
2016-02-02,5600,54100,
2016-02-03,6100,55100,
2016-02-04,6500,57100,
2016-02-05,6500,59800,
2016-02-06,6900,62700,
2016-02-07,7600,64700,
2016-02-08,7700,67000,
2016-02-09,8100,68200,
2016-02-10,8400,70700,
2016-02-11,9100,73500,
2016-02-12,9400,75500,
2016-02-13,9700,78800,
2016-02-14,9900,81800,
2016-02-15,10000,83400,
2016-02-16,10500,86400,
2016-02-17,10800,88400,
2016-02-18,10900,89700,
2016-02-19,11300,91700,
2016-02-20,11600,94300,
2016-02-21,11800,97500,
2016-02-22,11800,99600,
2016-02-23,11900,100800,
2016-02-24,12100,102900,
2016-02-25,12200,104200,
2016-02-26,12400,105700,
2016-02-27,12500,108200,
2016-02-28,12600,110100,
2016-02-29,12700,111700,
2016-03-01,12900,112600,
2016-03-02,13100,113400,
2016-03-03,13400,115000,
2016-03-04,13500,117100,
2016-03-05,13900,118700,
2016-03-06,14100,121300,
2016-03-07,14400,122500,
2016-03-08,14600,123400,
2016-03-09,14700,125000,
2016-03-10,14900,126200,
2016-03-11,15100,127900,
2016-03-12,15300,129500,
2016-03-13,15300,131800,
2016-03-14,15300,133100,
2016-03-15,15500,133900,
2016-03-16,15500,134700,
2016-03-17,15700,136100,
2016-03-18,15800,136400,
2016-03-19,15800,137700,
2016-03-20,16100,138800,
2016-03-21,16300,140500,
2016-03-22,16500,141200,
2016-03-23,16600,141900,
2016-03-24,16600,143400,
2016-03-25,16600,144200,
2016-03-26,16900,145600,
2016-03-27,17100,147100,
2016-03-28,17100,147500,
2016-03-29,17400,148500,
2016-03-30,17400,149700,
2016-03-31,17600,150500,
2016-04-01,17800,152000,
2016-04-02,17900,153100,
2016-04-03,17900,154600,
2016-04-04,18200,155900,
2016-04-05,18300,156600,
2016-04-06,18600,157200,
2016-04-07,18800,158100,
2016-04-08,18800,159000,
2016-04-09,19000,159600,
2016-04-10,19000,160900,
2016-04-11,19100,161500,
2016-04-12,19200,162100,
2016-04-13,19200,162800,
2016-04-14,19200,163800,
2016-04-15,19300,164700,
2016-04-16,19500,166000,
2016-04-17,19500,167400,
2016-04-18,19800,168000,
2016-04-19,19900,168600,
2016-04-20,19900,169400,
2016-04-21,20000,170200,
2016-04-22,20200,170700,
2016-04-23,20300,171700,
2016-04-24,20400,173200,
