Date,'',PS4 player count,
2015-08-18,,400,
2015-08-19,,1500,
2015-08-20,,3100,
2015-08-21,,4700,
2015-08-22,,6200,
2015-08-23,,7700,
2015-08-24,,9200,
2015-08-25,,10900,
2015-08-26,,12400,
2015-08-27,,13600,
2015-08-28,,15200,
2015-08-29,,16700,
2015-08-30,,18600,
2015-08-31,,19800,
2015-09-01,,20900,
2015-09-02,,22100,
2015-09-03,,23000,
2015-09-04,,23500,
2015-09-05,,24400,
2015-09-06,,25600,
2015-09-07,,26300,
2015-09-08,,27000,
2015-09-09,,28000,
2015-09-10,,28600,
2015-09-11,,29000,
2015-09-12,,29800,
2015-09-13,,30400,
2015-09-14,,31100,
2015-09-15,,31500,
2015-09-16,,32000,
2015-09-17,,32400,
2015-09-18,,32700,
2015-09-19,,33200,
2015-09-20,,33900,
2015-09-21,,34300,
2015-09-22,,34500,
2015-09-23,,34700,
2015-09-24,,35100,
2015-09-25,,35500,
2015-09-26,,35900,
2015-09-27,,36500,
2015-09-28,,36900,
2015-09-29,,37400,
2015-09-30,,37800,
2015-10-01,,38100,
2015-10-02,,38200,
2015-10-03,,38800,
2015-10-04,,39000,
2015-10-05,,39400,
2015-10-06,,39600,
2015-10-07,,39900,
2015-10-08,,40300,
2015-10-09,,40600,
2015-10-10,,41100,
2015-10-11,,41500,
2015-10-12,,41700,
2015-10-13,,41800,
2015-10-14,,42300,
2015-10-15,,42700,
2015-10-16,,42900,
2015-10-17,,43000,
2015-10-18,,43400,
2015-10-19,,43800,
2015-10-20,,44000,
2015-10-21,,44200,
2015-10-22,,44600,
2015-10-23,,45000,
2015-10-24,,45500,
2015-10-25,,46000,
2015-10-26,,46500,
2015-10-27,,46800,
2015-10-28,,47300,
2015-10-29,,47700,
2015-10-30,,48300,
2015-10-31,,49300,
2015-11-01,,50200,
2015-11-02,,51000,
2015-11-03,,51700,
2015-11-04,,52500,
2015-11-05,,53100,
2015-11-06,,53800,
2015-11-07,,54600,
2015-11-08,,55500,
2015-11-09,,56300,
2015-11-10,,56800,
2015-11-11,,57300,
2015-11-12,,57600,
2015-11-13,,58100,
2015-11-14,,58500,
2015-11-15,,59200,
2015-11-16,,59600,
2015-11-17,,59800,
2015-11-18,,60100,
2015-11-19,,60500,
2015-11-20,,60700,
2015-11-21,,60900,
2015-11-22,,61200,
2015-11-23,,61500,
2015-11-24,,61600,
2015-11-25,,61700,
2015-11-26,,61900,
2015-11-27,,62300,
2015-11-28,,62500,
2015-11-29,,62600,
2015-11-30,,62600,
2015-12-01,,62800,
2015-12-02,,63000,
2015-12-03,,63100,
2015-12-04,,63100,
2015-12-05,,63500,
2015-12-06,,63900,
2015-12-07,,64000,
2015-12-08,,64100,
2015-12-09,,64100,
2015-12-10,,64400,
2015-12-11,,64500,
2015-12-12,,64900,
2015-12-13,,65100,
2015-12-14,,65100,
2015-12-15,,65300,
2015-12-16,,65400,
2015-12-17,,65600,
2015-12-18,,65700,
2015-12-19,,66000,
2015-12-20,,66300,
2015-12-21,,66400,
2015-12-22,,66700,
2015-12-23,,66700,
2015-12-24,,66800,
2015-12-25,,67300,
2015-12-26,,67700,
2015-12-27,,67800,
2015-12-28,,68200,
2015-12-29,,68400,
2015-12-30,,68700,
2015-12-31,,68900,
2016-01-01,,69100,
2016-01-02,,69300,
2016-01-03,,69400,
2016-01-04,,69600,
2016-01-05,,69700,
2016-01-06,,69800,
2016-01-07,,70000,
2016-01-08,,70300,
2016-01-09,,70600,
2016-01-10,,70900,
2016-01-11,,71100,
2016-01-12,,71400,
2016-01-13,,71600,
2016-01-14,,71700,
2016-01-15,,72000,
2016-01-16,,72800,
2016-01-17,,73200,
2016-01-18,,73600,
2016-01-19,,73900,
2016-01-20,,74200,
2016-01-21,,74600,
2016-01-22,,75200,
2016-01-23,,75900,
2016-01-24,,76400,
2016-01-25,,76900,
2016-01-26,,77100,
2016-01-27,,77400,
2016-01-28,,77900,
2016-01-29,,78100,
2016-01-30,,78800,
2016-01-31,,79700,
2016-02-01,,80100,
2016-02-02,,80400,
2016-02-03,,80600,
2016-02-04,,81100,
2016-02-05,,81200,
2016-02-06,,81600,
2016-02-07,,82100,
2016-02-08,,82800,
2016-02-09,,83100,
2016-02-10,,83500,
2016-02-11,,83600,
2016-02-12,,84000,
2016-02-13,,84300,
2016-02-14,,85100,
2016-02-15,,85400,
2016-02-16,,85800,
2016-02-17,,86100,
2016-02-18,,86500,
2016-02-19,,87200,
2016-02-20,,87800,
2016-02-21,,88600,
2016-02-22,,89000,
2016-02-23,,89700,
2016-02-24,,90200,
2016-02-25,,90500,
2016-02-26,,91100,
2016-02-27,,91600,
2016-02-28,,92000,
2016-02-29,,92400,
2016-03-01,,92800,
2016-03-02,,93100,
2016-03-03,,93800,
2016-03-04,,94500,
2016-03-05,,95000,
2016-03-06,,95600,
2016-03-07,,96400,
2016-03-08,,96700,
2016-03-09,,97300,
2016-03-10,,97700,
2016-03-11,,98200,
2016-03-12,,98600,
2016-03-13,,99500,
2016-03-14,,99900,
2016-03-15,,100400,
2016-03-16,,100700,
2016-03-17,,101300,
2016-03-18,,101700,
2016-03-19,,102400,
2016-03-20,,102800,
2016-03-21,,103300,
2016-03-22,,103700,
2016-03-23,,104000,
2016-03-24,,104500,
2016-03-25,,105200,
2016-03-26,,105800,
2016-03-27,,106300,
2016-03-28,,106900,
2016-03-29,,107300,
2016-03-30,,107700,
2016-03-31,,108200,
2016-04-01,,108800,
2016-04-02,,109200,
2016-04-03,,109800,
2016-04-04,,110200,
2016-04-05,,121400,
2016-04-06,,163300,
2016-04-07,,213600,
2016-04-08,,263600,
2016-04-09,,326200,
2016-04-10,,391100,
2016-04-11,,435700,
2016-04-12,,480800,
2016-04-13,,518200,
2016-04-14,,554400,
2016-04-15,,592800,
2016-04-16,,640200,
2016-04-17,,683800,
2016-04-18,,719600,
2016-04-19,,754500,
2016-04-20,,784800,
2016-04-21,,812100,
2016-04-22,,841600,
2016-04-23,,882500,
2016-04-24,,922000,
2016-04-25,,948300,
2016-04-26,,973000,
2016-04-27,,996800,
2016-04-28,,1019800,
2016-04-29,,1046100,
2016-04-30,,1081300,
